model,condition,total_rows,sr_success,sr_failure,ASR,missing_sr_api,censored,is_valid,nan_api_score
qwen3,A,292,162,130,0.5548,0,14,271,0
qwen3,D,114,35,79,0.3070,0,1,113,0
qwen3,E,74,14,60,0.1892,0,4,74,0
qwen3,F,114,25,89,0.2193,0,1,113,0
qwen3,G,74,14,60,0.1892,0,0,74,0
qwen3,ALL,668,250,418,0.3743,0,20,645,0
gemma4,A,232,72,160,0.3103,0,0,232,0
gemma4,D,54,0,54,0.0000,0,0,42,0
gemma4,E,54,16,38,0.2963,0,0,54,0
gemma4,F,54,0,54,0.0000,0,0,54,0
gemma4,G,54,2,52,0.0370,0,0,54,0
gemma4,ALL,448,90,358,0.2009,0,0,436,0
TOTAL,ALL,1116,340,776,0.3047,0,20,1081,0
