model,condition,total_rows,unique_sources,unique_seeds,min_seeds_per_source,max_seeds_per_source,mean_seeds_per_source,notes
qwen3,A,292,224,27,1,17,1.3,"Many sources have only 1 seed in A; A has more sources than D/E/F/G"
qwen3,D,114,26,26,1,16,4.4,"Up to 16 seeds per source"
qwen3,E,74,26,6,1,6,2.8,"Only 6 unique seeds (E/G restricted)"
qwen3,F,114,26,26,1,16,4.4,"Up to 16 seeds per source"
qwen3,G,74,26,6,1,6,2.8,"Only 6 unique seeds"
gemma4,A,232,220,4,1,4,1.1,"Almost 1 seed per source; 220 unique sources"
gemma4,D,54,18,3,3,3,3.0,"Exactly 3 seeds per source"
gemma4,E,54,18,3,3,3,3.0,"Exactly 3 seeds per source"
gemma4,F,54,18,3,3,3,3.0,"Exactly 3 seeds per source"
gemma4,G,54,18,3,3,3,3.0,"Exactly 3 seeds per source"
NOTES,,,,,,,,"Seed imbalance: Qwen3 A/D/F have up to 16-17 seeds; E/G limited to 6. Gemma4 has 3-4 seeds per source. Source-level interaction uses only sources with A/D/E/G coverage (26 qwen3; 18 gemma4)"
