=== Phase6 mlpKO: doublespeak_causality/data/bench/bench_curated.json n=2 gran=layer pos=all ===
Wed Aug  5 01:52:26 PM IDT 2026
n-803
git=00974e537d365b6be979d23ae7ff70f764789a32
GPU ok: NVIDIA L40S
[KO] cohort=curated L=32 comp=mlp_out positions=all gran=layer windows=['L0', 'L1', 'L2', 'L3']... -> /home/sharifm/students/omeryosef/first_poc/teza_first_poc_with_mahmood/doublespeak_causality/outputs/phase6_KO_curated_mlp_out_all_layer_20260805_135853_714855
[KO] 1024 rows -> /home/sharifm/students/omeryosef/first_poc/teza_first_poc_with_mahmood/doublespeak_causality/outputs/phase6_KO_curated_mlp_out_all_layer_20260805_135853_714855
  == split=dev (n_valid=2) ==
    L0: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, -0.0] S3=0.0
    L1: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, 0.0] S3=0.0
    L10: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, -0.0] S3=0.0
    L11: n=2 C1=1.0 NEC_specific(rand-C3)=[0.0, 0.0, 0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, -0.0] S3=0.0
    L12: n=2 C1=1.0 NEC_specific(rand-C3)=[0.0, 0.0, 0.0] SUF_specific(S3-Srand)=[0.0, 0.0, 0.0] S3=0.0
    L13: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[0.0, 0.0, 0.0] S3=0.0
    L14: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, 0.0] S3=0.0
    L15: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, 0.0] S3=0.0
    L16: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, 0.0] S3=0.0
    L17: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[0.0, 0.0, 0.0] S3=0.0
    L18: n=2 C1=1.0 NEC_specific(rand-C3)=[0.0, 0.0, 0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, -0.0] S3=0.0
    L19: n=2 C1=1.0 NEC_specific(rand-C3)=[-0.0, -0.0, -0.0] SUF_specific(S3-Srand)=[-0.0, -0.0, -0.0] S3=0.0
