=== Phase3 residual patching (resid_post): doublespeak_causality/data/behavioral/beh_curated.json ===
Sun Aug  2 11:48:59 PM IDT 2026
n-802
git=16807651f04a189d82b8a43a4d3244faf15921c0
GPU ok: NVIDIA L40S
[curated_0000_a565e852] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.000@L30
[curated_0001_9c05d6d7] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.000@L30
[curated_0002_1721000e] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.000@L30
[curated_0003_4f6222d0] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.000@L30
[curated_0004_e597bb1e] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.000@L30
[curated_0005_da64ed50] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.001@L30
[curated_0006_bfdd2522] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.000@L30
[curated_0007_fcdac46d] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.000@L30
[curated_0008_549d9a5c] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.001@L30
[curated_0009_6e99b0fd] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.002@L30
[curated_0010_300feb57] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.010@L30
[curated_0011_bfd54a2e] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L5 | sufficiency best pharm 0.003@L30
[curated_0012_bca2b384] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L29 | sufficiency best pharm 0.001@L30
[curated_0013_bd3627c8] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L29 | sufficiency best pharm 0.010@L30
[curated_0014_fa704c67] identity_ok=True baseDS_pharm=0.000 | necessity best drop +0.000@L30 | sufficiency best pharm 0.004@L30
