layer,metric,target,n,rho_pooled,rho_within_domain,p_perm_within_domain_rho,p_estimand,rho_partial_n_examples_pooled,rho_partial_n_examples_within_domain,p_perm_within_domain_partial,n_domains,identified
0,logit_lens_boombness,asr_score,72,0.276386,0.274302,0.004998,rho_within_domain,-0.105374,-0.022098,,6,yes
0,logit_lens_boombness,refusal,72,-0.487465,-0.412745,0.001,rho_within_domain,,,,6,yes
0,logit_lens_boombness,n_examples,72,0.853909,0.951531,0.0005,rho_within_domain,,,,6,yes
0,logit_lens_boombness,comprehension,72,0.33185,0.342982,0.003498,rho_within_domain,,,,6,yes
0,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
0,direction_boombness,asr_score,72,0.250493,0.184694,0.098951,rho_within_domain,0.419246,0.300673,,6,yes
0,direction_boombness,refusal,72,0.515307,0.449623,0.0005,rho_within_domain,,,,6,yes
0,direction_boombness,n_examples,72,-0.259587,-0.250832,0.045477,rho_within_domain,,,,6,yes
0,direction_boombness,comprehension,72,0.00329,-0.157307,0.185407,rho_within_domain,,,,6,yes
0,direction_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
0,probe_boombness,asr_score,72,0.187716,0.214841,0.033983,rho_within_domain,-0.128683,-0.098727,,6,yes
0,probe_boombness,refusal,72,-0.469539,-0.364486,0.0005,rho_within_domain,,,,6,yes
0,probe_boombness,n_examples,72,0.728409,0.839015,0.0005,rho_within_domain,,,,6,yes
0,probe_boombness,comprehension,72,0.09721,0.34486,0.003498,rho_within_domain,,,,6,yes
0,probe_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
4,logit_lens_boombness,asr_score,72,-0.172582,-0.210723,0.086457,rho_within_domain,-0.275022,-0.392735,,6,yes
4,logit_lens_boombness,refusal,72,-0.275907,-0.208451,0.105947,rho_within_domain,,,,6,yes
4,logit_lens_boombness,n_examples,72,0.402658,0.414623,0.001,rho_within_domain,,,,6,yes
4,logit_lens_boombness,comprehension,72,0.023298,0.214074,0.083958,rho_within_domain,,,,6,yes
4,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
4,direction_boombness,asr_score,72,0.391256,0.323569,0.007996,rho_within_domain,0.126729,0.153121,,6,yes
4,direction_boombness,refusal,72,-0.500102,-0.404455,0.001,rho_within_domain,,,,6,yes
4,direction_boombness,n_examples,72,0.867638,0.935629,0.0005,rho_within_domain,,,,6,yes
4,direction_boombness,comprehension,72,0.408415,0.316415,0.007996,rho_within_domain,,,,6,yes
4,direction_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
4,probe_boombness,asr_score,72,0.28763,0.145142,0.242879,rho_within_domain,0.009843,-0.039562,,6,yes
4,probe_boombness,refusal,72,-0.526965,-0.431529,0.0005,rho_within_domain,,,,6,yes
4,probe_boombness,n_examples,72,0.511178,0.549821,0.0005,rho_within_domain,,,,6,yes
4,probe_boombness,comprehension,72,0.298273,0.44152,0.0005,rho_within_domain,,,,6,yes
4,probe_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
8,logit_lens_boombness,asr_score,72,-0.180449,-0.170967,0.153923,rho_within_domain,-0.091691,-0.115723,,6,yes
8,logit_lens_boombness,refusal,72,-0.152323,-0.147139,0.189905,rho_within_domain,,,,6,yes
8,logit_lens_boombness,n_examples,72,-0.17885,-0.263366,0.036482,rho_within_domain,,,,6,yes
8,logit_lens_boombness,comprehension,72,-0.050919,-0.123401,0.350825,rho_within_domain,,,,6,yes
8,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
8,direction_boombness,asr_score,72,0.402765,0.29693,0.014993,rho_within_domain,0.168869,0.104178,,6,yes
8,direction_boombness,refusal,72,-0.50686,-0.37317,0.002499,rho_within_domain,,,,6,yes
8,direction_boombness,n_examples,72,0.715723,0.857366,0.0005,rho_within_domain,,,,6,yes
8,direction_boombness,comprehension,72,0.480516,0.336145,0.004498,rho_within_domain,,,,6,yes
8,direction_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
8,probe_boombness,asr_score,72,0.196846,0.087098,0.454773,rho_within_domain,-0.087967,-0.069144,,6,yes
8,probe_boombness,refusal,72,-0.516831,-0.43236,0.0005,rho_within_domain,,,,6,yes
8,probe_boombness,n_examples,72,0.432505,0.398767,0.001,rho_within_domain,,,,6,yes
8,probe_boombness,comprehension,72,0.340204,0.472539,0.0005,rho_within_domain,,,,6,yes
8,probe_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
12,logit_lens_boombness,asr_score,72,-0.209762,-0.025592,0.818091,rho_within_domain,-0.01191,0.174535,0.129935,6,yes
12,logit_lens_boombness,refusal,72,0.33511,0.368481,0.002499,rho_within_domain,,,,6,yes
12,logit_lens_boombness,n_examples,72,-0.451832,-0.533385,0.0005,rho_within_domain,,,,6,yes
12,logit_lens_boombness,comprehension,72,-0.114309,-0.155594,0.197901,rho_within_domain,,,,6,yes
12,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
12,direction_boombness,asr_score,72,0.216666,0.228466,0.076462,rho_within_domain,0.009408,0.107671,0.394803,6,yes
12,direction_boombness,refusal,72,-0.483206,-0.314831,0.003998,rho_within_domain,,,,6,yes
12,direction_boombness,n_examples,72,0.379787,0.410487,0.001,rho_within_domain,,,,6,yes
12,direction_boombness,comprehension,72,0.527992,0.361181,0.002999,rho_within_domain,,,,6,yes
12,direction_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
12,probe_boombness,asr_score,72,0.426208,0.28419,0.009995,rho_within_domain,0.094696,0.054433,0.645177,6,yes
12,probe_boombness,refusal,72,-0.501634,-0.431608,0.001,rho_within_domain,,,,6,yes
12,probe_boombness,n_examples,72,0.612362,0.633175,0.0005,rho_within_domain,,,,6,yes
12,probe_boombness,comprehension,72,0.484412,0.462086,0.0005,rho_within_domain,,,,6,yes
12,probe_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
16,logit_lens_boombness,asr_score,72,-0.208328,-0.176328,0.092954,rho_within_domain,0.11959,0.04703,,6,yes
16,logit_lens_boombness,refusal,72,0.496774,0.385528,0.0005,rho_within_domain,,,,6,yes
16,logit_lens_boombness,n_examples,72,-0.733883,-0.704006,0.0005,rho_within_domain,,,,6,yes
16,logit_lens_boombness,comprehension,72,-0.219246,-0.273013,0.027486,rho_within_domain,,,,6,yes
16,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
16,direction_boombness,asr_score,72,-0.042821,-0.150896,0.195902,rho_within_domain,0.073381,-0.029646,,6,yes
16,direction_boombness,refusal,72,0.084477,0.091127,0.369315,rho_within_domain,,,,6,yes
16,direction_boombness,n_examples,72,-0.35238,-0.419096,0.001,rho_within_domain,,,,6,yes
16,direction_boombness,comprehension,72,0.296079,0.097635,0.429285,rho_within_domain,,,,6,yes
16,direction_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
16,probe_boombness,asr_score,72,0.292474,0.202053,0.074963,rho_within_domain,0.011983,0.003444,,6,yes
16,probe_boombness,refusal,72,-0.488118,-0.413493,0.001499,rho_within_domain,,,,6,yes
16,probe_boombness,n_examples,72,0.533488,0.533385,0.0005,rho_within_domain,,,,6,yes
16,probe_boombness,comprehension,72,0.523566,0.375429,0.001999,rho_within_domain,,,,6,yes
16,probe_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
20,logit_lens_boombness,asr_score,72,-0.29056,-0.295845,0.005997,rho_within_domain,-0.025202,-0.082392,,6,yes
20,logit_lens_boombness,refusal,72,0.470512,0.405542,0.0005,rho_within_domain,,,,6,yes
20,logit_lens_boombness,n_examples,72,-0.670694,-0.714963,0.0005,rho_within_domain,,,,6,yes
20,logit_lens_boombness,comprehension,72,-0.285637,-0.26999,0.027986,rho_within_domain,,,,6,yes
20,logit_lens_boombness,role_style_eta2,72,0.0,,,"none (statistic is eta^2, not a correlation)",,,,6,NO - role_style is collinear with bank_block (§9)
20,direction_boombness,asr_score,72,-0.132422,-0.183729,0.127436,rho_within_domain,0.012976,-0.08303,,6,yes
20,direction_boombness,refusal,72,0.202744,0.219037,0.05997,rho_within_domain,,,,6,yes
20,direction_boombness,n_examples,72,-0.387618,-0.395226,0.001999,rho_within_domain,,,,6,yes
20,direction_boombness,comprehension,72,0.303562,0.084048,0.487256,rho_within_domain,,,,6,yes
