stage,metric,value,unit,source
4.7,n_total_rows,48,rows,condition_summary.csv
4.7,n_source_prompts,12,prompts,condition_summary.csv
4.7,A_n_censored,0,rows,condition_summary.csv
4.7,D_n_censored,1,rows,condition_summary.csv
4.7,F_n_censored,1,rows,condition_summary.csv
4.7,E_n_censored,3,rows,condition_summary.csv
4.7,A_cc_success,10/12,fraction,condition_summary.csv
4.7,D_cc_success,5/11,fraction,condition_summary.csv
4.7,F_cc_success,3/11,fraction,condition_summary.csv
4.7,E_cc_success,4/9,fraction,condition_summary.csv
4.7,A_cc_rate,0.833,rate,condition_summary.csv
4.7,D_cc_rate,0.455,rate,condition_summary.csv
4.7,F_cc_rate,0.273,rate,condition_summary.csv
4.7,E_cc_rate,0.444,rate,condition_summary.csv
4.7,A_mean_think_tokens,11458,tokens,condition_summary.csv
4.7,D_mean_think_tokens,2924,tokens,condition_summary.csv
4.7,F_mean_think_tokens,824,tokens,condition_summary.csv
4.7,AF_think_ratio,13.97,ratio,sign_tests.json
4.7,AD_sign_test_p,0.03125,p-value,sign_tests.json
4.7,AF_sign_test_p,0.00781,p-value,sign_tests.json
4.7,AF_mcnemar_p,0.01563,p-value,sign_tests.json
4.7,AE_sign_test_p,0.03125,p-value,sign_tests.json
4.7,AD_score_diff,0.4167,difference,paired_contrasts.csv
4.7,AF_score_diff,0.5833,difference,paired_contrasts.csv
4.7,AE_score_diff,0.4896,difference,paired_contrasts.csv
4.7,AD_LOGO_always_positive,True,bool,logo_sensitivity.json
4.7,AF_LOGO_always_positive,True,bool,logo_sensitivity.json
4.7,A_L22_first500_mean,7.265,projection,mechanistic_summary.csv
4.7,D_L22_first500_mean,9.057,projection,mechanistic_summary.csv
4.7,F_L22_first500_mean,8.499,projection,mechanistic_summary.csv
4.7,AD_L22_first500_diff,-1.7927,difference,mechanistic_contrasts.csv
4.7,L22_spearman_rho_vs_log_think_condA,-0.6783,rho,mechanistic_contrasts.csv
4.8,n_total_rows,60,rows,condition_summary.csv
4.8,n_censored,0,rows,condition_summary.csv
4.8,A_success,12/20,fraction,condition_summary.csv
4.8,D_success,10/20,fraction,condition_summary.csv
4.8,F_success,8/20,fraction,condition_summary.csv
4.8,A_rate,0.60,rate,condition_summary.csv
4.8,D_rate,0.50,rate,condition_summary.csv
4.8,F_rate,0.40,rate,condition_summary.csv
4.8,n_cells,12,cells,analysis_summary.json
4.8,n_matched_cells,3,cells,analysis_summary.json
4.8,within_cell_variance,0.0533,variance,variance_decomposition.json
4.8,between_cell_variance,0.1967,variance,variance_decomposition.json
4.8,variance_ratio,3.69,ratio,variance_decomposition.json
4.8,goal1_total_success,0/15,fraction,cell_summary.csv
4.8,goal3_total_success,15/15,fraction,cell_summary.csv
4.8,A_L22_first500_mean,7.117,projection,projection_summary.jsonl
4.8,D_L22_first500_mean,8.946,projection,projection_summary.jsonl
4.8,F_L22_first500_mean,8.078,projection,projection_summary.jsonl
