alpha_onset,alpha_thinking,beta_censoring,best_condition_combined,A_selected,best_per_goal,corr_with_sr_success,corr_with_think_tokens,corr_with_onset_percent,corr_with_censored,overselect_long_risk,mean_reward_A,mean_reward_D,mean_reward_F
0.0,0.0,0.0,A,Yes,"{'0': 'A', '1': 'E', '2': 'D', '3': 'A'}",0.9992,0.1852,-0.1762,-0.2121,No,0.6836,0.4648,0.3398
0.0,0.0,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9941,0.199,-0.1671,-0.3094,No,0.6836,0.457,0.332
0.0,0.0,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9802,0.2102,-0.157,-0.3978,No,0.6836,0.4492,0.3242
0.0,0.0,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9343,0.2253,-0.1359,-0.5451,No,0.6836,0.4336,0.3086
0.0,0.1,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9976,0.2207,-0.174,-0.2398,No,0.7775,0.5401,0.4059
0.0,0.1,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.99,0.2328,-0.1647,-0.3341,No,0.7775,0.5323,0.3981
0.0,0.1,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9742,0.2421,-0.1545,-0.4194,No,0.7775,0.5244,0.3903
0.0,0.1,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9265,0.2534,-0.1334,-0.5606,No,0.7775,0.5088,0.3747
0.0,0.25,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9895,0.2706,-0.1699,-0.2782,No,0.9184,0.6529,0.505
0.0,0.25,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9789,0.28,-0.1603,-0.3678,No,0.9184,0.6451,0.4972
0.0,0.25,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9611,0.2865,-0.1501,-0.4483,No,0.9184,0.6373,0.4894
0.0,0.25,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9119,0.2925,-0.1295,-0.5807,No,0.9184,0.6217,0.4738
0.0,0.5,0.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.964,0.3438,-0.1613,-0.3337,Yes,1.1531,0.841,0.6702
0.0,0.5,0.25,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9501,0.3488,-0.1517,-0.4149,Yes,1.1531,0.8332,0.6623
0.0,0.5,0.5,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.9307,0.351,-0.1418,-0.4874,Yes,1.1531,0.8254,0.6545
0.0,0.5,1.0,A,Yes,"{'0': 'A', '1': 'A', '2': 'D', '3': 'A'}",0.8821,0.3494,-0.1223,-0.6063,Yes,1.1531,0.8097,0.6389
