step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,2,E,True,1.05,0.2467,0.2467,0.2467,0.26,1.05,0.105,,stage4_7,cost_mechanistic
2,3,A,True,1.1,0.2605,0.2465,0.2465,0.2465,1.1,0.11,4.599,stage4_7,cost_mechanistic
3,2,E,False,0.05,0.2468,0.2468,0.2468,0.2595,-0.055,0.0995,,stage4_7,cost_mechanistic
4,1,E,False,-0.25,0.2508,0.2508,0.2508,0.2477,-0.25,-0.025,,stage4_7,cost_mechanistic
5,1,A,False,0.1,0.252,0.2504,0.2504,0.2473,0.125,-0.0125,,stage4_8,cost_mechanistic
6,1,E,True,1.05,0.2486,0.247,0.247,0.2573,1.0625,0.0937,,stage4_7,cost_mechanistic
7,1,E,False,0.05,0.2487,0.2472,0.2472,0.2569,-0.0437,0.0894,,stage4_7,cost_mechanistic
8,1,D,False,0.1,0.2487,0.2473,0.2472,0.2569,0.0106,0.0904,,stage4_8,cost_mechanistic
9,3,D,True,1.1,0.2571,0.2559,0.2435,0.2435,0.99,0.209,,stage4_8,cost_mechanistic
10,1,F,False,0.0114,0.2489,0.2475,0.2464,0.2571,-0.079,0.0825,,stage4_8,cost_mechanistic
11,1,D,False,0.1,0.2489,0.2477,0.2464,0.2571,0.0175,0.0843,,stage4_8,cost_mechanistic
12,2,F,False,0.0254,0.2471,0.2471,0.2462,0.2597,-0.0741,0.0921,6.928,stage4_7,cost_mechanistic
13,0,F,False,0.1,0.2497,0.2497,0.2509,0.2497,0.1,0.01,,stage4_8,cost_mechanistic
14,3,A,True,1.1,0.2656,0.2528,0.2408,0.2408,0.891,0.2981,,stage4_8,cost_mechanistic
15,2,F,False,0.0907,0.2471,0.2471,0.2461,0.2597,-0.0014,0.0919,,stage4_8,cost_mechanistic
16,1,F,False,0.1,0.2488,0.2476,0.2465,0.257,0.0157,0.0859,,stage4_8,cost_mechanistic
17,1,E,False,0.05,0.2489,0.2477,0.2466,0.2567,-0.0359,0.0823,,stage4_7,cost_mechanistic
18,2,F,False,0.1,0.2471,0.2471,0.2462,0.2597,0.0081,0.0928,7.929,stage4_7,cost_mechanistic
19,0,F,False,0.1,0.2494,0.2494,0.2518,0.2494,0.09,0.019,,stage4_8,cost_mechanistic
20,2,F,False,0.1,0.247,0.247,0.2463,0.2597,0.0072,0.0935,7.929,stage4_7,cost_mechanistic
21,0,A,True,1.1,0.2597,0.246,0.2483,0.246,1.081,0.1271,,stage4_8,cost_mechanistic
22,2,F,False,0.1,0.247,0.247,0.2463,0.2596,0.0065,0.0941,7.929,stage4_7,cost_mechanistic
23,0,E,False,-0.25,0.2609,0.2471,0.2495,0.2425,-0.3771,0.0894,,stage4_7,cost_mechanistic
24,3,E,True,1.05,0.263,0.2505,0.2387,0.2478,0.7519,0.3733,,stage4_7,cost_mechanistic
25,1,A,False,0.1,0.2491,0.2477,0.2466,0.2566,0.0177,0.084,,stage4_8,cost_mechanistic
26,1,E,True,1.05,0.246,0.2446,0.2435,0.2659,0.966,0.1806,,stage4_7,cost_mechanistic
27,0,F,False,0.1,0.2609,0.2471,0.2496,0.2425,0.0106,0.0905,,stage4_8,cost_mechanistic
28,0,D,False,0.1,0.2608,0.2472,0.2495,0.2424,0.0095,0.0914,,stage4_8,cost_mechanistic
29,0,A,True,1.1,0.2705,0.2439,0.2462,0.2393,1.0086,0.1923,6.335,stage4_7,cost_mechanistic
30,2,E,False,0.05,0.2472,0.2472,0.2465,0.2592,-0.0441,0.0897,,stage4_7,cost_mechanistic
31,3,A,True,1.1,0.27,0.2481,0.2365,0.2454,0.7267,0.446,6.166,stage4_7,cost_mechanistic
32,1,F,False,0.0114,0.2465,0.2451,0.2419,0.2665,-0.1692,0.1637,,stage4_8,cost_mechanistic
33,0,A,False,0.1,0.2697,0.2442,0.2465,0.2396,-0.0923,0.183,,stage4_8,cost_mechanistic
34,3,F,True,1.1,0.2677,0.2462,0.2425,0.2436,0.654,0.5114,,stage4_8,cost_mechanistic
35,1,D,False,0.1,0.2467,0.2445,0.2421,0.2667,-0.0637,0.1573,,stage4_8,cost_mechanistic
36,2,D,False,0.1,0.2471,0.2472,0.2465,0.2592,0.0103,0.0907,8.379,stage4_7,cost_mechanistic
37,3,A,True,1.1,0.2734,0.2443,0.2407,0.2417,0.5886,0.5702,4.599,stage4_7,cost_mechanistic
38,3,A,True,1.1,0.2785,0.2425,0.239,0.24,0.5298,0.6232,,stage4_8,cost_mechanistic
39,1,E,True,1.05,0.2438,0.2416,0.2393,0.2753,0.8927,0.2466,,stage4_7,cost_mechanistic
40,1,F,False,0.0896,0.2442,0.2421,0.2379,0.2759,-0.1571,0.2309,8.025,stage4_7,cost_mechanistic
41,0,A,True,1.1,0.2785,0.2412,0.2435,0.2367,0.917,0.2747,,stage4_8,cost_mechanistic
42,0,F,False,0.1,0.2792,0.2417,0.2419,0.2372,-0.1747,0.2573,,stage4_8,cost_mechanistic
43,3,E,True,1.05,0.2769,0.2413,0.2378,0.2439,0.4268,0.6659,,stage4_7,cost_mechanistic
44,2,A,True,1.1,0.2567,0.2442,0.2434,0.2558,1.0093,0.1917,,stage4_8,cost_mechanistic
45,2,E,False,0.05,0.2571,0.2446,0.2438,0.2544,-0.1417,0.1775,,stage4_7,cost_mechanistic
46,2,E,True,1.05,0.2542,0.2419,0.2411,0.2628,0.8725,0.2648,,stage4_7,cost_mechanistic
47,2,F,False,0.1,0.2547,0.2424,0.2396,0.2633,-0.1648,0.2483,7.929,stage4_7,cost_mechanistic
48,2,E,True,1.05,0.2519,0.2399,0.2372,0.271,0.8017,0.3284,,stage4_7,cost_mechanistic
49,1,A,True,1.1,0.2524,0.2396,0.2354,0.2726,0.8691,0.3178,8.848,stage4_7,cost_mechanistic
50,3,A,True,1.1,0.2812,0.2399,0.2364,0.2425,0.4341,0.7093,,stage4_8,cost_mechanistic
51,3,D,True,1.1,0.2797,0.2435,0.2354,0.2414,0.3907,0.7484,,stage4_8,cost_mechanistic
52,3,A,True,1.1,0.2831,0.2424,0.2343,0.2403,0.3516,0.7835,,stage4_8,cost_mechanistic
53,2,E,False,0.05,0.2529,0.2407,0.238,0.2684,-0.2784,0.3006,,stage4_7,cost_mechanistic
54,3,A,True,1.1,0.2862,0.2413,0.2333,0.2392,0.3165,0.8152,6.166,stage4_7,cost_mechanistic
55,0,D,False,-0.25,0.2811,0.2371,0.2433,0.2386,-0.5073,0.2065,,stage4_7,cost_mechanistic
56,2,E,False,0.05,0.2537,0.2415,0.2388,0.266,-0.2506,0.2755,,stage4_7,cost_mechanistic
57,3,A,True,1.1,0.2889,0.2404,0.2324,0.2383,0.2848,0.8437,,stage4_8,cost_mechanistic
58,1,A,True,1.1,0.2598,0.2373,0.2332,0.2697,0.7822,0.396,4.398,stage4_7,cost_mechanistic
59,3,D,True,1.1,0.2879,0.2428,0.2317,0.2376,0.2563,0.8693,6.91,stage4_7,cost_mechanistic
60,2,D,True,1.1,0.2512,0.2492,0.2365,0.2631,0.8245,0.358,6.599,stage4_7,cost_mechanistic
