step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,2,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
2,0,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
3,3,E,True,1.0,0.2468,0.2468,0.2468,0.2595,1.0,0.1,,stage4_7,cost_l22_deflect
4,2,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
5,3,E,True,1.0,0.244,0.244,0.244,0.2681,0.9,0.19,,stage4_7,cost_l22_deflect
6,3,E,True,1.0,0.2414,0.2414,0.2414,0.2759,0.81,0.271,,stage4_7,cost_l22_deflect
7,0,F,False,0.0619,0.2498,0.2498,0.2506,0.2498,0.0619,0.0062,6.768,stage4_7,cost_l22_deflect
8,1,A,True,1.2347,0.2618,0.2461,0.2461,0.2461,1.2347,0.1235,4.398,stage4_7,cost_l22_deflect
9,0,D,False,0.1026,0.2495,0.2507,0.2503,0.2495,0.0964,0.0158,6.21,stage4_7,cost_l22_deflect
10,1,F,False,0.0,0.2622,0.2464,0.2449,0.2464,-0.1235,0.1111,,stage4_8,cost_l22_deflect
11,0,E,False,-0.3,0.2505,0.2517,0.2513,0.2466,-0.3158,-0.0158,,stage4_7,cost_l22_deflect
12,1,A,False,0.0,0.2611,0.2468,0.2453,0.2468,-0.1111,0.1,,stage4_8,cost_l22_deflect
13,3,E,True,1.0,0.239,0.239,0.239,0.283,0.729,0.3439,,stage4_7,cost_l22_deflect
14,3,E,False,0.0,0.2401,0.2401,0.2401,0.2797,-0.3439,0.3095,,stage4_7,cost_l22_deflect
15,0,A,True,1.0,0.2601,0.2484,0.248,0.2434,1.0158,0.0858,,stage4_8,cost_l22_deflect
16,0,A,True,1.0,0.2689,0.2455,0.2451,0.2406,0.9142,0.1772,,stage4_8,cost_l22_deflect
17,2,A,True,1.0971,0.2604,0.2465,0.2465,0.2465,1.0971,0.1097,6.285,stage4_7,cost_l22_deflect
18,3,D,True,1.0,0.2382,0.2465,0.2382,0.2771,0.6905,0.3786,,stage4_8,cost_l22_deflect
19,3,D,True,1.0516,0.2363,0.2529,0.2363,0.2745,0.673,0.4459,6.91,stage4_7,cost_l22_deflect
20,1,F,False,0.0,0.2614,0.2471,0.2444,0.2471,-0.1,0.09,,stage4_8,cost_l22_deflect
21,1,F,False,0.0,0.2617,0.2474,0.2435,0.2474,-0.09,0.081,,stage4_8,cost_l22_deflect
22,0,D,False,0.0,0.2695,0.2438,0.2456,0.2411,-0.1772,0.1595,,stage4_8,cost_l22_deflect
23,3,A,True,1.22,0.2435,0.2505,0.2342,0.2717,0.7742,0.5233,4.599,stage4_7,cost_l22_deflect
24,1,F,False,-0.6146,0.2641,0.2494,0.2371,0.2494,-0.6956,0.0114,16.048,stage4_7,cost_l22_deflect
25,1,A,False,0.0,0.2639,0.2495,0.2371,0.2495,-0.0114,0.0103,,stage4_8,cost_l22_deflect
26,2,D,True,1.0,0.2574,0.2549,0.2438,0.2438,0.8903,0.1987,,stage4_8,cost_l22_deflect
27,0,E,False,0.0,0.2701,0.2443,0.246,0.2396,-0.1595,0.1436,,stage4_7,cost_l22_deflect
28,3,E,True,1.0,0.2419,0.2489,0.2328,0.2764,0.4767,0.5709,,stage4_7,cost_l22_deflect
29,0,E,False,0.0,0.2706,0.2447,0.2464,0.2383,-0.1436,0.1292,,stage4_7,cost_l22_deflect
30,2,F,True,1.0,0.2548,0.2524,0.2514,0.2415,0.8013,0.2789,,stage4_8,cost_l22_deflect
31,1,E,True,1.0,0.2605,0.2464,0.2343,0.2588,0.9897,0.1093,,stage4_7,cost_l22_deflect
32,1,E,False,0.0,0.2608,0.2467,0.2346,0.2578,-0.1093,0.0983,,stage4_7,cost_l22_deflect
33,2,D,True,1.0742,0.2522,0.2599,0.2488,0.2391,0.7953,0.3584,6.599,stage4_7,cost_l22_deflect
34,1,D,False,-0.4703,0.2627,0.2414,0.2362,0.2597,-0.5686,0.0415,14.068,stage4_7,cost_l22_deflect
