step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,2,D,True,1.0,0.2468,0.2595,0.2468,0.2468,1.0,0.1,,stage4_8,cost_asr
2,1,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
3,3,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,,stage4_8,cost_asr
4,3,E,True,1.0,0.2565,0.2441,0.2441,0.2553,0.9,0.19,,stage4_7,cost_asr
5,0,A,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,5.045,stage4_7,cost_asr
6,0,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,8.514,stage4_7,cost_asr
7,1,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_asr
8,3,A,True,1.0,0.2642,0.2416,0.2416,0.2526,0.81,0.271,,stage4_8,cost_asr
9,2,F,False,0.0,0.2471,0.2598,0.2459,0.2471,-0.1,0.09,7.929,stage4_7,cost_asr
10,0,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
11,1,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,8.848,stage4_7,cost_asr
12,3,D,True,1.0,0.2617,0.2484,0.2395,0.2503,0.729,0.3439,,stage4_8,cost_asr
13,2,F,False,0.0,0.2474,0.2601,0.2451,0.2474,-0.09,0.081,6.928,stage4_7,cost_asr
14,3,D,True,1.0,0.2595,0.2546,0.2376,0.2483,0.6561,0.4095,,stage4_8,cost_asr
15,1,F,False,0.0,0.2598,0.2471,0.2459,0.2471,-0.1,0.09,,stage4_8,cost_asr
16,2,A,True,1.0,0.2561,0.257,0.2423,0.2446,0.919,0.1729,6.285,stage4_7,cost_asr
17,2,A,True,1.0,0.264,0.2542,0.2398,0.242,0.8271,0.2556,6.285,stage4_7,cost_asr
18,0,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,,stage4_8,cost_asr
19,1,D,True,1.0,0.2568,0.2557,0.2432,0.2444,0.91,0.181,14.812,stage4_7,cost_asr
20,0,E,False,0.0,0.2598,0.2471,0.2471,0.2459,-0.1,0.09,,stage4_7,cost_asr
21,2,F,False,0.0,0.2648,0.255,0.2374,0.2427,-0.2556,0.23,6.928,stage4_7,cost_asr
22,1,E,False,0.0,0.2573,0.2563,0.2437,0.2427,-0.181,0.1629,,stage4_7,cost_asr
23,1,D,False,0.0,0.2579,0.2548,0.2442,0.2432,-0.1629,0.1466,14.068,stage4_7,cost_asr
24,1,F,False,0.0,0.2584,0.2552,0.2428,0.2436,-0.1466,0.1319,,stage4_8,cost_asr
25,3,A,True,1.0,0.2651,0.2526,0.2359,0.2464,0.5905,0.4686,4.599,stage4_7,cost_asr
26,3,D,True,1.0,0.2632,0.2576,0.2344,0.2447,0.5314,0.5217,,stage4_8,cost_asr
27,1,F,False,0.0,0.2588,0.2557,0.2416,0.244,-0.1319,0.1188,,stage4_8,cost_asr
28,3,F,True,1.0,0.2617,0.2561,0.2388,0.2434,0.4783,0.5695,,stage4_8,cost_asr
29,2,D,True,1.0,0.2621,0.2623,0.2352,0.2404,0.77,0.307,,stage4_8,cost_asr
30,1,A,True,1.0,0.2672,0.2526,0.2389,0.2412,0.8812,0.2069,4.398,stage4_7,cost_asr
31,1,A,False,0.0,0.2653,0.2534,0.2395,0.2419,-0.2069,0.1862,,stage4_8,cost_asr
32,0,A,True,1.0,0.2686,0.2442,0.2442,0.243,0.91,0.181,,stage4_8,cost_asr
33,0,D,False,0.0,0.2692,0.2425,0.2447,0.2435,-0.181,0.1629,,stage4_8,cost_asr
34,3,E,False,0.0,0.2635,0.258,0.2404,0.2381,-0.5695,0.5126,,stage4_7,cost_asr
35,3,A,True,1.0,0.2682,0.2562,0.2389,0.2367,0.4874,0.5613,,stage4_8,cost_asr
36,3,E,True,1.0,0.2667,0.2549,0.2377,0.2407,0.4387,0.6052,,stage4_7,cost_asr
37,0,E,False,0.0,0.2698,0.243,0.2452,0.242,-0.1629,0.1466,,stage4_7,cost_asr
38,2,A,True,1.0,0.2687,0.2598,0.2332,0.2383,0.693,0.3763,5.957,stage4_7,cost_asr
