step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,3,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,6.195,stage4_7,cost_asr
2,1,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,8.848,stage4_7,cost_asr
3,3,D,True,1.0,0.2468,0.2595,0.2468,0.2468,1.0,0.1,,stage4_8,cost_asr
4,2,A,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
5,2,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
6,2,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,6.928,stage4_7,cost_asr
7,2,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_asr
8,0,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,4.688,stage4_7,cost_asr
9,0,D,False,0.0,0.2598,0.2459,0.2471,0.2471,-0.1,0.09,,stage4_7,cost_asr
10,2,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,,stage4_8,cost_asr
11,1,A,True,1.0,0.2681,0.244,0.244,0.244,0.9,0.19,8.848,stage4_7,cost_asr
12,1,D,True,1.0,0.2653,0.2516,0.2416,0.2416,0.81,0.271,14.812,stage4_7,cost_asr
13,0,A,True,1.0,0.2686,0.243,0.2442,0.2442,0.91,0.181,4.688,stage4_7,cost_asr
14,3,A,True,1.0,0.2553,0.2565,0.2441,0.2441,0.9,0.19,,stage4_8,cost_asr
15,1,F,False,0.0,0.2662,0.2524,0.2391,0.2423,-0.271,0.2439,,stage4_8,cost_asr
16,0,F,False,0.0,0.2692,0.2435,0.2425,0.2447,-0.181,0.1629,8.514,stage4_7,cost_asr
17,2,A,False,0.0,0.2585,0.2472,0.2472,0.2472,-0.1,0.09,,stage4_8,cost_asr
18,2,F,False,0.0,0.2588,0.2474,0.2463,0.2474,-0.09,0.081,,stage4_8,cost_asr
19,0,E,False,0.0,0.2698,0.244,0.243,0.2432,-0.1629,0.1466,,stage4_7,cost_asr
20,0,A,True,1.0,0.278,0.2412,0.2403,0.2405,0.8534,0.2319,,stage4_8,cost_asr
21,3,E,True,1.0,0.2527,0.2538,0.2417,0.2517,0.81,0.271,,stage4_7,cost_asr
22,0,F,False,0.0,0.2789,0.2419,0.2381,0.2411,-0.2319,0.2088,,stage4_8,cost_asr
23,2,D,True,1.0,0.2558,0.2561,0.2435,0.2446,0.919,0.1729,7.982,stage4_7,cost_asr
24,1,A,False,0.0,0.2638,0.2532,0.2398,0.2431,-0.2439,0.2195,4.782,stage4_7,cost_asr
25,0,E,False,0.0,0.2797,0.2425,0.2387,0.2392,-0.2088,0.1879,,stage4_7,cost_asr
26,3,D,True,1.0,0.2503,0.2608,0.2395,0.2493,0.729,0.3439,,stage4_8,cost_asr
27,3,A,True,1.0,0.2566,0.2585,0.2376,0.2473,0.6561,0.4095,,stage4_8,cost_asr
28,1,A,False,0.0,0.2618,0.254,0.2405,0.2438,-0.2195,0.1976,,stage4_8,cost_asr
29,2,E,True,1.0,0.2531,0.2534,0.2411,0.2524,0.8271,0.2556,,stage4_7,cost_asr
30,3,F,True,1.0,0.2547,0.2566,0.2431,0.2456,0.5905,0.4686,,stage4_8,cost_asr
31,0,E,False,0.0,0.2804,0.243,0.2392,0.2375,-0.1879,0.1691,,stage4_7,cost_asr
32,2,F,False,0.0,0.2539,0.2542,0.2387,0.2532,-0.2556,0.23,7.929,stage4_7,cost_asr
33,2,F,False,0.0,0.2546,0.2549,0.2366,0.2539,-0.23,0.207,7.929,stage4_7,cost_asr
34,2,E,False,0.0,0.2553,0.2556,0.2372,0.2519,-0.207,0.1863,,stage4_7,cost_asr
35,0,D,False,0.0,0.281,0.2414,0.2397,0.2379,-0.1691,0.1522,,stage4_7,cost_asr
36,0,F,False,0.0,0.2816,0.2418,0.2383,0.2383,-0.1522,0.137,,stage4_8,cost_asr
37,1,E,False,0.0,0.2624,0.2546,0.241,0.242,-0.1976,0.1778,,stage4_7,cost_asr
38,1,F,False,0.0,0.263,0.2551,0.2394,0.2425,-0.1778,0.16,,stage4_8,cost_asr
39,2,E,True,1.0,0.2526,0.2529,0.2349,0.2597,0.8137,0.2677,,stage4_7,cost_asr
40,0,F,False,0.0,0.2821,0.2422,0.237,0.2387,-0.137,0.1233,,stage4_8,cost_asr
41,2,F,False,0.0,0.2534,0.2537,0.2324,0.2605,-0.2677,0.2409,7.929,stage4_7,cost_asr
42,0,A,True,1.0,0.2907,0.2393,0.2342,0.2358,0.8767,0.2109,,stage4_8,cost_asr
43,1,A,True,1.0,0.2711,0.2522,0.2368,0.2398,0.84,0.244,4.398,stage4_7,cost_asr
44,2,D,True,1.0,0.2509,0.2609,0.2303,0.2579,0.7591,0.3168,,stage4_8,cost_asr
45,2,A,True,1.0,0.2573,0.2586,0.2285,0.2556,0.6832,0.3852,,stage4_8,cost_asr
46,1,A,False,0.0,0.2687,0.2531,0.2376,0.2406,-0.244,0.2196,,stage4_8,cost_asr
47,1,A,True,1.0,0.2763,0.2504,0.2352,0.2381,0.7804,0.2977,4.398,stage4_7,cost_asr
48,0,A,True,1.0,0.2984,0.2367,0.2316,0.2333,0.7891,0.2898,6.335,stage4_7,cost_asr
49,1,F,False,0.0,0.2774,0.2512,0.2325,0.2389,-0.2977,0.2679,,stage4_8,cost_asr
50,1,D,False,0.0,0.2784,0.2487,0.2332,0.2397,-0.2679,0.2411,,stage4_8,cost_asr
51,2,D,False,0.0,0.2587,0.2549,0.2295,0.2569,-0.3852,0.3466,8.379,stage4_7,cost_asr
52,1,A,False,0.0,0.2761,0.2496,0.2339,0.2405,-0.2411,0.217,,stage4_8,cost_asr
53,0,A,True,1.0,0.3054,0.2343,0.2294,0.2309,0.7102,0.3609,4.688,stage4_7,cost_asr
54,1,E,False,0.0,0.2769,0.2502,0.2345,0.2385,-0.217,0.1953,,stage4_7,cost_asr
55,1,F,False,0.0,0.2776,0.2508,0.2327,0.239,-0.1953,0.1758,,stage4_8,cost_asr
56,2,F,True,1.0,0.2566,0.253,0.2355,0.2549,0.6534,0.412,,stage4_8,cost_asr
57,1,A,False,0.0,0.2759,0.2514,0.2332,0.2395,-0.1758,0.1582,,stage4_8,cost_asr
58,1,F,False,0.0,0.2764,0.2518,0.2318,0.2399,-0.1582,0.1424,6.649,stage4_7,cost_asr
59,0,A,True,1.0,0.3117,0.2321,0.2273,0.2289,0.6391,0.4248,,stage4_8,cost_asr
60,3,D,True,1.0,0.2529,0.2617,0.2415,0.2439,0.5314,0.5217,,stage4_8,cost_asr
61,2,E,True,1.0,0.2546,0.251,0.2338,0.2605,0.588,0.4708,,stage4_7,cost_asr
62,1,F,False,0.0,0.2769,0.2523,0.2305,0.2403,-0.1424,0.1281,,stage4_8,cost_asr
63,2,F,False,0.0,0.2561,0.2524,0.2296,0.2619,-0.4708,0.4237,7.929,stage4_7,cost_asr
64,1,F,False,0.0,0.2774,0.2526,0.2293,0.2407,-0.1281,0.1153,6.649,stage4_7,cost_asr
65,1,E,False,0.0,0.2778,0.253,0.2296,0.2396,-0.1153,0.1038,,stage4_7,cost_asr
66,0,E,False,0.0,0.3136,0.2331,0.2282,0.225,-0.4248,0.3823,,stage4_7,cost_asr
67,0,A,True,1.0,0.3197,0.231,0.2262,0.223,0.6177,0.4441,,stage4_8,cost_asr
68,3,A,True,1.0,0.2574,0.26,0.2401,0.2425,0.4783,0.5695,6.166,stage4_7,cost_asr
69,3,D,True,1.0,0.256,0.2641,0.2388,0.2411,0.4305,0.6126,,stage4_8,cost_asr
70,3,D,True,1.0,0.2546,0.2678,0.2376,0.2399,0.3874,0.6513,,stage4_8,cost_asr
71,2,A,True,1.0,0.2615,0.2505,0.228,0.2599,0.5763,0.4813,,stage4_8,cost_asr
72,3,E,True,1.0,0.2535,0.2666,0.2367,0.2432,0.3487,0.6862,,stage4_7,cost_asr
73,0,E,False,0.0,0.3218,0.232,0.2272,0.219,-0.4441,0.3997,,stage4_7,cost_asr
74,3,D,True,1.0,0.2524,0.2697,0.2357,0.2422,0.3138,0.7176,,stage4_8,cost_asr
75,0,F,False,0.0,0.3236,0.233,0.2236,0.2199,-0.3997,0.3597,,stage4_8,cost_asr
76,0,D,False,0.0,0.3254,0.2297,0.2243,0.2206,-0.3597,0.3237,5.099,stage4_7,cost_asr
77,1,E,True,1.0,0.2745,0.2502,0.2273,0.248,0.8962,0.1934,,stage4_7,cost_asr
78,0,D,False,0.0,0.3269,0.2267,0.2251,0.2213,-0.3237,0.2914,5.099,stage4_7,cost_asr
79,0,A,True,1.0,0.334,0.2243,0.2227,0.219,0.7086,0.3622,,stage4_8,cost_asr
80,0,A,True,1.0,0.3403,0.2222,0.2206,0.217,0.6378,0.426,,stage4_8,cost_asr
81,3,F,True,1.0,0.2516,0.2687,0.2383,0.2414,0.2824,0.7458,,stage4_8,cost_asr
82,1,A,True,1.0,0.2823,0.2474,0.225,0.2452,0.8066,0.2741,4.398,stage4_7,cost_asr
83,1,F,False,0.0,0.2833,0.2482,0.2226,0.246,-0.2741,0.2467,,stage4_8,cost_asr
84,2,E,False,0.0,0.2632,0.2521,0.2293,0.2554,-0.4813,0.4332,,stage4_7,cost_asr
85,1,D,False,0.0,0.2843,0.2459,0.2232,0.2467,-0.2467,0.222,,stage4_8,cost_asr
86,3,A,True,1.0,0.254,0.2678,0.2376,0.2407,0.2542,0.7712,,stage4_8,cost_asr
87,3,E,True,1.0,0.2533,0.267,0.237,0.2428,0.2288,0.7941,,stage4_7,cost_asr
88,3,D,True,1.0,0.2526,0.2689,0.2364,0.2421,0.2059,0.8147,,stage4_8,cost_asr
89,0,A,True,1.0,0.346,0.2202,0.2187,0.2151,0.574,0.4834,,stage4_8,cost_asr
90,2,A,False,0.0,0.2591,0.2535,0.2305,0.2568,-0.4332,0.3899,,stage4_8,cost_asr
91,1,A,False,0.0,0.2821,0.2466,0.2238,0.2475,-0.222,0.1998,4.782,stage4_7,cost_asr
92,3,F,True,1.0,0.252,0.2683,0.2381,0.2416,0.1853,0.8332,,stage4_8,cost_asr
93,1,E,True,1.0,0.279,0.2442,0.2218,0.255,0.8002,0.2798,,stage4_7,cost_asr
94,2,D,True,1.0,0.257,0.2593,0.2288,0.2548,0.6101,0.4509,,stage4_8,cost_asr
95,2,A,True,1.0,0.2623,0.2574,0.2273,0.253,0.5491,0.5058,,stage4_8,cost_asr
96,2,D,True,1.0,0.2605,0.2621,0.226,0.2513,0.4942,0.5552,,stage4_8,cost_asr
97,1,E,False,0.0,0.2801,0.2451,0.2225,0.2524,-0.2798,0.2518,,stage4_7,cost_asr
98,0,D,False,0.0,0.3485,0.2159,0.2196,0.216,-0.4834,0.4351,,stage4_8,cost_asr
99,2,E,False,0.0,0.2624,0.264,0.2274,0.2461,-0.5552,0.4997,,stage4_7,cost_asr
100,3,E,True,1.0,0.2515,0.2677,0.2376,0.2432,0.1668,0.8499,,stage4_7,cost_asr
101,1,A,False,0.0,0.2776,0.2459,0.2232,0.2533,-0.2518,0.2267,4.782,stage4_7,cost_asr
102,3,F,True,1.0,0.2511,0.2672,0.239,0.2427,0.1501,0.8649,,stage4_8,cost_asr
103,2,F,False,0.0,0.264,0.2656,0.2229,0.2475,-0.4997,0.4497,7.929,stage4_7,cost_asr
104,3,F,True,1.0,0.2507,0.2667,0.2402,0.2424,0.1351,0.8784,10.282,stage4_7,cost_asr
105,0,A,True,1.0,0.3541,0.214,0.2177,0.2141,0.5649,0.4916,4.688,stage4_7,cost_asr
106,0,F,False,0.0,0.3568,0.2149,0.2133,0.215,-0.4916,0.4424,6.768,stage4_7,cost_asr
107,1,A,False,0.0,0.2754,0.2467,0.2238,0.2541,-0.2267,0.204,4.782,stage4_7,cost_asr
108,3,D,True,1.0,0.2502,0.2679,0.2399,0.242,0.1216,0.8906,,stage4_8,cost_asr
109,3,D,False,0.0,0.2532,0.2595,0.2426,0.2448,-0.8906,0.8015,6.343,stage4_7,cost_asr
110,0,E,False,0.0,0.3592,0.2157,0.214,0.2111,-0.4424,0.3982,,stage4_7,cost_asr
111,2,E,False,0.0,0.2655,0.2672,0.224,0.2433,-0.4497,0.4048,,stage4_7,cost_asr
