step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,0,A,True,1.1,0.2605,0.2465,0.2465,0.2465,1.1,0.11,,stage4_8,cost_mechanistic
2,1,D,False,0.0995,0.2497,0.2509,0.2497,0.2497,0.0995,0.01,14.068,stage4_7,cost_mechanistic
3,2,E,True,1.05,0.2467,0.2467,0.2467,0.26,1.05,0.105,,stage4_7,cost_mechanistic
4,2,E,True,1.05,0.2437,0.2437,0.2437,0.269,0.945,0.1995,,stage4_7,cost_mechanistic
5,3,D,True,1.1,0.2465,0.2605,0.2465,0.2465,1.1,0.11,,stage4_8,cost_mechanistic
6,1,E,False,-0.25,0.2505,0.2517,0.2505,0.2473,-0.26,-0.016,,stage4_7,cost_mechanistic
7,1,E,False,0.05,0.2503,0.2515,0.2503,0.2479,0.066,-0.0094,,stage4_7,cost_mechanistic
8,1,D,False,0.1,0.2499,0.2526,0.2499,0.2475,0.1094,0.0015,6.075,stage4_7,cost_mechanistic
9,0,A,True,1.1,0.27,0.2433,0.2433,0.2433,0.99,0.209,,stage4_8,cost_mechanistic
10,0,F,False,0.1,0.2704,0.2437,0.2423,0.2437,-0.109,0.1981,6.768,stage4_7,cost_mechanistic
11,3,F,True,1.0999,0.2435,0.2571,0.2559,0.2435,0.9899,0.209,,stage4_8,cost_mechanistic
12,2,E,False,0.05,0.2441,0.2441,0.2441,0.2676,-0.1495,0.1845,,stage4_7,cost_mechanistic
13,2,D,True,1.1,0.2414,0.2527,0.2414,0.2644,0.9155,0.2761,,stage4_8,cost_mechanistic
14,3,E,True,1.05,0.2411,0.2544,0.2532,0.2514,0.841,0.2931,,stage4_7,cost_mechanistic
15,3,D,True,1.1,0.2386,0.2621,0.2505,0.2488,0.8069,0.3738,,stage4_8,cost_mechanistic
16,0,E,False,-0.25,0.2719,0.2449,0.2436,0.2395,-0.4481,0.1533,,stage4_7,cost_mechanistic
17,2,E,True,1.05,0.239,0.2501,0.239,0.2718,0.7739,0.3535,,stage4_7,cost_mechanistic
18,2,F,True,1.0997,0.237,0.2479,0.246,0.2692,0.7462,0.4281,9.255,stage4_7,cost_mechanistic
19,1,E,False,-0.25,0.2507,0.2534,0.2507,0.2452,-0.2515,-0.0236,,stage4_7,cost_mechanistic
20,1,F,False,0.0896,0.2504,0.253,0.2518,0.2449,0.1132,-0.0123,8.025,stage4_7,cost_mechanistic
21,1,E,True,1.05,0.2471,0.2496,0.2484,0.2549,1.0623,0.0939,,stage4_7,cost_mechanistic
22,0,A,True,1.1,0.2811,0.2418,0.2405,0.2365,0.9467,0.248,,stage4_8,cost_mechanistic
23,0,A,False,0.0998,0.2797,0.2423,0.241,0.237,-0.1481,0.2331,5.045,stage4_7,cost_mechanistic
24,0,A,True,1.1,0.2882,0.2394,0.2382,0.2342,0.8669,0.3198,,stage4_8,cost_mechanistic
25,1,E,False,0.05,0.2472,0.2498,0.2486,0.2545,-0.0439,0.0895,,stage4_7,cost_mechanistic
26,0,F,False,0.1,0.289,0.24,0.2361,0.2348,-0.2198,0.2978,,stage4_8,cost_mechanistic
27,3,F,True,1.1,0.2366,0.2595,0.2574,0.2465,0.7262,0.4464,,stage4_8,cost_mechanistic
28,0,A,True,1.1,0.2969,0.2373,0.2335,0.2322,0.8022,0.3781,,stage4_8,cost_mechanistic
29,3,E,True,1.05,0.2349,0.2575,0.2554,0.2522,0.6036,0.5068,,stage4_7,cost_mechanistic
30,3,E,True,1.05,0.2334,0.2557,0.2536,0.2573,0.5432,0.5611,,stage4_7,cost_mechanistic
31,2,D,True,1.1,0.2351,0.2542,0.244,0.2667,0.6719,0.4953,,stage4_8,cost_mechanistic
32,1,A,True,1.1,0.2568,0.2466,0.2455,0.2512,1.0105,0.1906,8.848,stage4_7,cost_mechanistic
33,2,A,True,1.1,0.2407,0.2524,0.2423,0.2647,0.6047,0.5558,,stage4_8,cost_mechanistic
34,1,F,False,0.0998,0.257,0.2469,0.2446,0.2515,-0.0908,0.1815,,stage4_8,cost_mechanistic
35,0,E,False,0.05,0.2982,0.2382,0.2343,0.2292,-0.3281,0.3453,,stage4_7,cost_mechanistic
36,2,D,True,1.1,0.2391,0.2575,0.2406,0.2628,0.5442,0.6102,,stage4_8,cost_mechanistic
37,3,F,True,1.1,0.2319,0.2539,0.2587,0.2555,0.5389,0.615,,stage4_8,cost_mechanistic
38,3,A,True,1.1,0.2363,0.2524,0.2572,0.254,0.485,0.6635,,stage4_8,cost_mechanistic
39,1,E,True,1.05,0.2541,0.2442,0.242,0.2597,0.8685,0.2683,,stage4_7,cost_mechanistic
40,3,A,True,1.1,0.2403,0.2511,0.2558,0.2527,0.4365,0.7071,,stage4_8,cost_mechanistic
41,0,F,False,0.1,0.2993,0.2388,0.2321,0.2298,-0.2453,0.3207,,stage4_8,cost_mechanistic
42,2,A,False,0.1,0.2344,0.2591,0.242,0.2644,-0.5102,0.5592,,stage4_8,cost_mechanistic
43,0,F,False,0.1,0.3002,0.2394,0.2301,0.2304,-0.2207,0.2987,8.514,stage4_7,cost_mechanistic
44,0,A,True,1.1,0.3081,0.2366,0.2275,0.2278,0.8013,0.3788,6.335,stage4_7,cost_mechanistic
45,0,F,False,0.1,0.3093,0.2373,0.225,0.2284,-0.2788,0.3509,,stage4_8,cost_mechanistic
46,2,F,True,1.0997,0.233,0.2574,0.2471,0.2626,0.5405,0.6132,9.255,stage4_7,cost_mechanistic
47,2,E,True,1.05,0.2317,0.2558,0.2457,0.2668,0.4368,0.6569,,stage4_7,cost_mechanistic
48,1,A,False,0.1,0.2525,0.2447,0.2425,0.2603,-0.1683,0.2515,,stage4_8,cost_mechanistic
49,2,E,False,0.05,0.2334,0.2579,0.2476,0.261,-0.6069,0.5962,,stage4_7,cost_mechanistic
50,3,D,True,1.1,0.2392,0.2548,0.2545,0.2514,0.3929,0.7464,6.91,stage4_7,cost_mechanistic
51,3,F,True,1.0986,0.2382,0.2537,0.2579,0.2503,0.3521,0.7816,10.282,stage4_7,cost_mechanistic
52,2,E,False,0.05,0.235,0.2598,0.2494,0.2559,-0.5462,0.5416,,stage4_7,cost_mechanistic
53,0,A,True,1.1,0.3167,0.2347,0.2226,0.226,0.7491,0.4258,4.688,stage4_7,cost_mechanistic
54,3,E,True,1.05,0.2374,0.2528,0.257,0.2528,0.2684,0.8085,,stage4_7,cost_mechanistic
55,1,A,True,1.1,0.2606,0.2421,0.2399,0.2574,0.8485,0.3364,4.398,stage4_7,cost_mechanistic
56,3,D,False,0.1,0.2394,0.2462,0.2593,0.2551,-0.7085,0.7376,6.343,stage4_7,cost_mechanistic
57,0,D,False,0.1,0.3182,0.2317,0.2233,0.2267,-0.3258,0.3932,,stage4_8,cost_mechanistic
58,2,D,True,1.1,0.2334,0.2651,0.2475,0.2539,0.5584,0.5974,,stage4_8,cost_mechanistic
59,3,E,True,1.05,0.2385,0.2452,0.2582,0.2581,0.3124,0.7689,,stage4_7,cost_mechanistic
60,0,A,True,1.1,0.3252,0.2293,0.2211,0.2244,0.7068,0.4639,,stage4_8,cost_mechanistic
61,1,D,True,1.1,0.2581,0.2493,0.2378,0.2549,0.7636,0.4127,14.812,stage4_7,cost_mechanistic
62,2,D,False,0.1,0.2348,0.2604,0.2491,0.2556,-0.4974,0.5477,8.379,stage4_7,cost_mechanistic
63,3,E,False,0.05,0.2406,0.2474,0.2607,0.2513,-0.7189,0.697,,stage4_7,cost_mechanistic
64,1,D,False,0.1,0.2591,0.2463,0.2386,0.2559,-0.3127,0.3814,,stage4_8,cost_mechanistic
65,2,D,True,1.1,0.2332,0.2657,0.2473,0.2537,0.5523,0.6029,,stage4_8,cost_mechanistic
66,3,D,True,1.1,0.2394,0.2512,0.2593,0.25,0.403,0.7373,,stage4_8,cost_mechanistic
67,2,F,True,1.0973,0.2319,0.264,0.252,0.2522,0.4944,0.6524,,stage4_8,cost_mechanistic
68,0,F,False,0.1,0.3269,0.2301,0.2178,0.2252,-0.3639,0.4275,,stage4_8,cost_mechanistic
69,2,E,False,0.05,0.2335,0.2661,0.2539,0.2465,-0.6024,0.5921,,stage4_7,cost_mechanistic
70,3,E,False,0.05,0.2414,0.2534,0.2616,0.2437,-0.6873,0.6685,,stage4_7,cost_mechanistic
71,1,E,True,1.05,0.2568,0.2442,0.2367,0.2623,0.6686,0.4483,,stage4_7,cost_mechanistic
72,0,E,False,-0.25,0.3302,0.2316,0.2191,0.2191,-0.6775,0.3598,,stage4_7,cost_mechanistic
73,1,D,False,0.1,0.2579,0.241,0.2376,0.2634,-0.3483,0.4135,,stage4_8,cost_mechanistic
74,3,A,True,1.1,0.2454,0.252,0.2602,0.2424,0.4315,0.7117,,stage4_8,cost_mechanistic
75,2,A,True,1.1,0.2382,0.2644,0.2524,0.2451,0.5079,0.6429,,stage4_8,cost_mechanistic
