step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,2,E,True,1.0,0.2468,0.2468,0.2468,0.2595,1.0,0.1,,stage4_7,cost_l22_deflect
2,0,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
3,3,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,,stage4_8,cost_l22_deflect
4,3,A,True,0.9206,0.2674,0.2442,0.2442,0.2442,0.8206,0.1821,8.706,stage4_7,cost_l22_deflect
5,1,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
6,1,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
7,0,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
8,2,E,False,0.0,0.2472,0.2472,0.2472,0.2585,-0.1,0.09,,stage4_7,cost_l22_deflect
9,3,A,True,1.0,0.2752,0.2416,0.2416,0.2416,0.8179,0.2639,,stage4_8,cost_l22_deflect
10,0,F,False,0.0619,0.2498,0.2498,0.2506,0.2498,0.0619,0.0062,6.768,stage4_7,cost_l22_deflect
11,2,A,False,0.0,0.2463,0.2474,0.2474,0.2588,-0.09,0.081,,stage4_8,cost_l22_deflect
12,0,E,False,-0.3,0.2508,0.2508,0.2515,0.2469,-0.3062,-0.0244,,stage4_7,cost_l22_deflect
13,1,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
14,3,F,True,1.0,0.2725,0.2395,0.2485,0.2395,0.7361,0.3375,,stage4_8,cost_l22_deflect
15,2,E,False,0.0,0.2466,0.2477,0.2477,0.2581,-0.081,0.0729,,stage4_7,cost_l22_deflect
16,2,D,True,0.9734,0.2438,0.2562,0.2449,0.2551,0.9005,0.1629,7.982,stage4_7,cost_l22_deflect
17,0,E,False,-0.3,0.2516,0.2516,0.2524,0.2444,-0.2756,-0.052,,stage4_7,cost_l22_deflect
18,2,D,True,1.0,0.2412,0.2642,0.2423,0.2523,0.8371,0.2467,,stage4_8,cost_l22_deflect
19,1,F,False,-0.6146,0.2519,0.2519,0.2443,0.2519,-0.6146,-0.0615,16.048,stage4_7,cost_l22_deflect
20,1,D,False,0.0,0.2517,0.2525,0.2441,0.2517,0.0615,-0.0553,,stage4_8,cost_l22_deflect
21,3,F,False,-0.3,0.2749,0.2413,0.2426,0.2413,-0.6375,0.2737,,stage4_7,cost_l22_deflect
22,1,A,False,0.0,0.2522,0.2523,0.2439,0.2515,0.0553,-0.0498,,stage4_8,cost_l22_deflect
23,0,F,False,0.0,0.2514,0.2514,0.2529,0.2442,0.052,-0.0468,,stage4_8,cost_l22_deflect
24,0,D,False,0.1026,0.251,0.2528,0.2524,0.2438,0.1494,-0.0318,6.21,stage4_7,cost_l22_deflect
25,0,E,False,0.0,0.2509,0.2528,0.2523,0.2441,0.0318,-0.0287,,stage4_7,cost_l22_deflect
26,2,F,True,1.0,0.2391,0.2616,0.2494,0.2499,0.7533,0.322,,stage4_8,cost_l22_deflect
27,2,D,True,1.0,0.2371,0.2681,0.2471,0.2477,0.678,0.3898,,stage4_8,cost_l22_deflect
28,2,D,True,1.0,0.2352,0.274,0.2451,0.2457,0.6102,0.4508,,stage4_8,cost_l22_deflect
29,0,E,False,0.0,0.2508,0.2527,0.2522,0.2443,0.0287,-0.0258,,stage4_7,cost_l22_deflect
30,2,F,False,0.0,0.2364,0.2756,0.241,0.247,-0.4508,0.4057,,stage4_8,cost_l22_deflect
31,3,F,True,1.0,0.2722,0.2392,0.2494,0.2392,0.7263,0.3464,,stage4_8,cost_l22_deflect
32,2,F,False,-0.0228,0.2376,0.2772,0.237,0.2482,-0.4285,0.3629,7.929,stage4_7,cost_l22_deflect
33,0,D,False,0.1026,0.2504,0.2539,0.2518,0.244,0.1284,-0.013,6.21,stage4_7,cost_l22_deflect
34,1,D,True,0.4755,0.2505,0.2573,0.2423,0.2498,0.5253,0.0027,14.812,stage4_7,cost_l22_deflect
35,0,D,False,0.1836,0.2497,0.2557,0.2512,0.2434,0.1965,0.0067,5.099,stage4_7,cost_l22_deflect
36,1,A,True,0.9103,0.2591,0.2542,0.2396,0.247,0.9075,0.0935,8.848,stage4_7,cost_l22_deflect
37,0,A,True,1.0,0.2592,0.2524,0.248,0.2404,0.9933,0.106,,stage4_8,cost_l22_deflect
38,0,A,True,1.0,0.2677,0.2495,0.2451,0.2377,0.894,0.1954,,stage4_8,cost_l22_deflect
