layer,pair,cosine_similarity
0,startofthink_vs_endofthink,
0,startofthink_vs_behavioral,
0,endofthink_vs_behavioral,
1,startofthink_vs_endofthink,0.209088
1,startofthink_vs_behavioral,-0.025137
1,endofthink_vs_behavioral,-0.326143
2,startofthink_vs_endofthink,0.196921
2,startofthink_vs_behavioral,0.024982
2,endofthink_vs_behavioral,-0.254078
3,startofthink_vs_endofthink,0.083
3,startofthink_vs_behavioral,0.035587
3,endofthink_vs_behavioral,0.260896
4,startofthink_vs_endofthink,0.148202
4,startofthink_vs_behavioral,-0.053661
4,endofthink_vs_behavioral,0.406915
5,startofthink_vs_endofthink,0.110833
5,startofthink_vs_behavioral,0.003404
5,endofthink_vs_behavioral,0.531296
6,startofthink_vs_endofthink,0.188518
6,startofthink_vs_behavioral,-0.007773
6,endofthink_vs_behavioral,0.400269
7,startofthink_vs_endofthink,0.197758
7,startofthink_vs_behavioral,0.01153
7,endofthink_vs_behavioral,0.129985
8,startofthink_vs_endofthink,0.17506
8,startofthink_vs_behavioral,0.085445
8,endofthink_vs_behavioral,-0.033019
9,startofthink_vs_endofthink,0.135338
9,startofthink_vs_behavioral,0.052417
9,endofthink_vs_behavioral,0.143316
10,startofthink_vs_endofthink,-0.019486
10,startofthink_vs_behavioral,0.016022
10,endofthink_vs_behavioral,0.487959
11,startofthink_vs_endofthink,-0.070906
11,startofthink_vs_behavioral,-0.057304
11,endofthink_vs_behavioral,0.678864
12,startofthink_vs_endofthink,0.030911
12,startofthink_vs_behavioral,-0.046869
12,endofthink_vs_behavioral,0.44781
13,startofthink_vs_endofthink,0.057511
13,startofthink_vs_behavioral,-0.03556
13,endofthink_vs_behavioral,0.418024
14,startofthink_vs_endofthink,0.083403
14,startofthink_vs_behavioral,-0.013792
14,endofthink_vs_behavioral,0.157643
15,startofthink_vs_endofthink,0.136615
15,startofthink_vs_behavioral,0.01107
15,endofthink_vs_behavioral,0.020948
16,startofthink_vs_endofthink,0.065816
16,startofthink_vs_behavioral,0.062164
16,endofthink_vs_behavioral,-0.064395
17,startofthink_vs_endofthink,0.13361
17,startofthink_vs_behavioral,-0.002015
17,endofthink_vs_behavioral,-0.115009
18,startofthink_vs_endofthink,0.221508
18,startofthink_vs_behavioral,-0.076204
18,endofthink_vs_behavioral,-0.189957
19,startofthink_vs_endofthink,0.178253
19,startofthink_vs_behavioral,-0.109087
19,endofthink_vs_behavioral,-0.196925
20,startofthink_vs_endofthink,0.059464
20,startofthink_vs_behavioral,-0.06568
20,endofthink_vs_behavioral,-0.172215
21,startofthink_vs_endofthink,0.092962
21,startofthink_vs_behavioral,-0.055811
21,endofthink_vs_behavioral,-0.199893
22,startofthink_vs_endofthink,0.143499
22,startofthink_vs_behavioral,-0.058367
22,endofthink_vs_behavioral,-0.253921
23,startofthink_vs_endofthink,0.107382
23,startofthink_vs_behavioral,-0.018724
23,endofthink_vs_behavioral,-0.261526
24,startofthink_vs_endofthink,0.281954
24,startofthink_vs_behavioral,-0.143113
24,endofthink_vs_behavioral,-0.412724
25,startofthink_vs_endofthink,0.376832
25,startofthink_vs_behavioral,-0.181775
25,endofthink_vs_behavioral,-0.457677
26,startofthink_vs_endofthink,0.459288
26,startofthink_vs_behavioral,-0.273922
26,endofthink_vs_behavioral,-0.471927
27,startofthink_vs_endofthink,0.403111
27,startofthink_vs_behavioral,-0.226576
27,endofthink_vs_behavioral,-0.458408
28,startofthink_vs_endofthink,0.363256
28,startofthink_vs_behavioral,-0.209123
28,endofthink_vs_behavioral,-0.45863
29,startofthink_vs_endofthink,0.217076
29,startofthink_vs_behavioral,-0.161548
29,endofthink_vs_behavioral,-0.492807
30,startofthink_vs_endofthink,0.248856
30,startofthink_vs_behavioral,-0.171508
30,endofthink_vs_behavioral,-0.416071
31,startofthink_vs_endofthink,0.261592
31,startofthink_vs_behavioral,-0.174701
31,endofthink_vs_behavioral,-0.429148
32,startofthink_vs_endofthink,0.249764
32,startofthink_vs_behavioral,-0.156059
32,endofthink_vs_behavioral,-0.436532
33,startofthink_vs_endofthink,0.207433
33,startofthink_vs_behavioral,-0.119947
33,endofthink_vs_behavioral,-0.430636
34,startofthink_vs_endofthink,0.183243
34,startofthink_vs_behavioral,-0.11006
34,endofthink_vs_behavioral,-0.422705
35,startofthink_vs_endofthink,0.204095
35,startofthink_vs_behavioral,-0.125538
35,endofthink_vs_behavioral,-0.450144
36,startofthink_vs_endofthink,0.153133
36,startofthink_vs_behavioral,-0.113528
36,endofthink_vs_behavioral,-0.445807
37,startofthink_vs_endofthink,0.113011
37,startofthink_vs_behavioral,-0.112111
37,endofthink_vs_behavioral,-0.412678
38,startofthink_vs_endofthink,0.061385
38,startofthink_vs_behavioral,-0.081173
38,endofthink_vs_behavioral,-0.390497
39,startofthink_vs_endofthink,0.040555
39,startofthink_vs_behavioral,-0.081799
39,endofthink_vs_behavioral,-0.367442
40,startofthink_vs_endofthink,-0.002784
40,startofthink_vs_behavioral,-0.040637
40,endofthink_vs_behavioral,-0.360492
41,startofthink_vs_endofthink,-0.028491
41,startofthink_vs_behavioral,-0.026693
41,endofthink_vs_behavioral,-0.347037
