prompt_type,time_point,layer,rank,n,mean,std
direct_harm,endofresponse,17,0,31,1.800329,0.281793
direct_harm,endofresponse,17,1,31,2.496779,0.766025
direct_harm,endofresponse,17,2,31,4.429489,0.455601
direct_harm,endofresponse,17,3,31,-6.060919,1.724486
direct_harm,endofresponse,17,4,31,-5.000403,1.719174
direct_harm,endofresponse,18,0,31,-0.144033,0.320534
direct_harm,endofresponse,18,1,31,1.229629,0.896976
direct_harm,endofresponse,18,2,31,3.483005,0.408638
direct_harm,endofresponse,18,3,31,-2.368216,1.259877
direct_harm,endofresponse,18,4,31,-6.08227,0.943766
direct_harm,endofresponse,21,0,31,1.744201,0.633304
direct_harm,endofresponse,21,1,31,0.215988,1.28168
direct_harm,endofresponse,21,2,31,4.201914,0.47845
direct_harm,endofresponse,21,3,31,1.04938,1.260179
direct_harm,endofresponse,21,4,31,1.097771,0.62497
direct_harm,endofresponse,24,0,31,-2.83942,2.582881
direct_harm,endofresponse,24,1,31,1.773694,0.400238
direct_harm,endofresponse,24,2,31,-0.946716,0.828951
direct_harm,endofresponse,24,3,31,3.528742,0.450465
direct_harm,endofresponse,24,4,31,1.882427,0.569191
direct_harm,endofresponse,35,0,31,1.058634,0.45612
direct_harm,endofresponse,35,1,31,-1.258131,0.311718
direct_harm,endofresponse,35,2,31,-6.554878,1.114095
direct_harm,endofresponse,35,3,31,-2.568064,0.375426
direct_harm,endofresponse,35,4,31,0.954525,0.393452
direct_harm,endofthink,17,0,31,4.748847,0.473479
direct_harm,endofthink,17,1,31,0.409514,0.448664
direct_harm,endofthink,17,2,31,5.053627,0.392261
direct_harm,endofthink,17,3,31,-12.550795,1.005173
direct_harm,endofthink,17,4,31,-17.153845,3.09335
direct_harm,endofthink,18,0,31,0.576164,0.502039
direct_harm,endofthink,18,1,31,-1.948712,0.545719
direct_harm,endofthink,18,2,31,2.385984,0.478182
direct_harm,endofthink,18,3,31,-17.710956,1.45011
direct_harm,endofthink,18,4,31,-13.383687,1.468886
direct_harm,endofthink,21,0,31,1.09549,0.48118
direct_harm,endofthink,21,1,31,-7.327112,1.317932
direct_harm,endofthink,21,2,31,1.380615,0.482245
direct_harm,endofthink,21,3,31,-2.51131,0.472269
direct_harm,endofthink,21,4,31,-4.180684,0.549652
direct_harm,endofthink,24,0,31,-12.95569,3.72195
direct_harm,endofthink,24,1,31,1.104497,0.361581
direct_harm,endofthink,24,2,31,-2.945607,0.535326
direct_harm,endofthink,24,3,31,2.61155,0.38149
direct_harm,endofthink,24,4,31,-0.137774,0.373982
direct_harm,endofthink,35,0,31,-3.01344,0.93962
direct_harm,endofthink,35,1,31,-1.399422,0.515728
direct_harm,endofthink,35,2,31,-34.907656,6.291245
direct_harm,endofthink,35,3,31,-5.477526,0.743446
direct_harm,endofthink,35,4,31,1.658064,0.945153
direct_harm,startofthink,17,0,31,3.91328,0.216182
direct_harm,startofthink,17,1,31,2.421364,0.213403
direct_harm,startofthink,17,2,31,1.172821,0.224646
direct_harm,startofthink,17,3,31,-5.398297,0.391652
direct_harm,startofthink,17,4,31,-0.915614,0.55874
direct_harm,startofthink,18,0,31,0.176922,0.273392
direct_harm,startofthink,18,1,31,-2.381295,0.495537
direct_harm,startofthink,18,2,31,0.99704,0.490458
direct_harm,startofthink,18,3,31,-4.574231,0.727709
direct_harm,startofthink,18,4,31,-3.227318,0.457092
direct_harm,startofthink,21,0,31,1.375793,0.264826
direct_harm,startofthink,21,1,31,-2.027989,0.369388
direct_harm,startofthink,21,2,31,-0.287056,0.402118
direct_harm,startofthink,21,3,31,2.301851,0.426897
direct_harm,startofthink,21,4,31,0.027402,0.304932
direct_harm,startofthink,24,0,31,-3.841125,0.799061
direct_harm,startofthink,24,1,31,1.086304,0.399931
direct_harm,startofthink,24,2,31,0.473338,0.390684
direct_harm,startofthink,24,3,31,1.550442,0.233611
direct_harm,startofthink,24,4,31,-0.795833,0.35198
direct_harm,startofthink,35,0,31,-1.099422,0.266591
direct_harm,startofthink,35,1,31,-0.696519,0.135488
direct_harm,startofthink,35,2,31,-3.509214,0.508832
direct_harm,startofthink,35,3,31,-3.990117,0.228891
direct_harm,startofthink,35,4,31,-1.216895,0.176305
harmless,endofresponse,17,0,48,1.896812,0.613613
harmless,endofresponse,17,1,48,1.721562,0.621554
harmless,endofresponse,17,2,48,4.597876,0.598223
harmless,endofresponse,17,3,48,-3.50188,1.349143
harmless,endofresponse,17,4,48,-2.527605,1.507367
harmless,endofresponse,18,0,48,-0.689628,0.817929
harmless,endofresponse,18,1,48,2.678509,0.548257
harmless,endofresponse,18,2,48,3.035017,0.69097
harmless,endofresponse,18,3,48,2.071183,1.964284
harmless,endofresponse,18,4,48,-5.523986,1.009376
harmless,endofresponse,21,0,48,2.42306,0.60448
harmless,endofresponse,21,1,48,0.661967,1.262526
harmless,endofresponse,21,2,48,3.917015,0.699821
harmless,endofresponse,21,3,48,3.376102,1.539324
harmless,endofresponse,21,4,48,1.523676,0.709661
harmless,endofresponse,24,0,48,5.221311,1.841007
harmless,endofresponse,24,1,48,3.042564,0.515155
harmless,endofresponse,24,2,48,0.189604,1.022022
harmless,endofresponse,24,3,48,3.137385,0.718994
harmless,endofresponse,24,4,48,1.200987,0.687487
harmless,endofresponse,35,0,48,0.45578,0.704095
harmless,endofresponse,35,1,48,-1.829948,0.496724
harmless,endofresponse,35,2,48,-2.525141,1.144082
harmless,endofresponse,35,3,48,-2.819475,0.643788
harmless,endofresponse,35,4,48,-0.036733,0.494031
harmless,endofthink,17,0,48,3.869134,0.728126
harmless,endofthink,17,1,48,0.933453,0.446082
harmless,endofthink,17,2,48,4.019883,0.438167
harmless,endofthink,17,3,48,-9.007348,1.266551
harmless,endofthink,17,4,48,-12.62547,3.214124
harmless,endofthink,18,0,48,0.124525,0.980914
harmless,endofthink,18,1,48,0.826062,0.817649
harmless,endofthink,18,2,48,1.972109,1.025141
harmless,endofthink,18,3,48,-7.198937,2.499026
harmless,endofthink,18,4,48,-8.883,2.13363
harmless,endofthink,21,0,48,1.844753,0.746862
harmless,endofthink,21,1,48,1.863566,2.271694
harmless,endofthink,21,2,48,0.382832,1.065575
harmless,endofthink,21,3,48,-1.010715,0.835997
harmless,endofthink,21,4,48,-2.074023,0.964274
harmless,endofthink,24,0,48,6.308579,4.370622
harmless,endofthink,24,1,48,1.637776,0.807969
harmless,endofthink,24,2,48,-0.104412,0.996113
harmless,endofthink,24,3,48,2.890562,0.742631
harmless,endofthink,24,4,48,1.369552,0.727578
harmless,endofthink,35,0,48,-0.195673,1.383369
harmless,endofthink,35,1,48,-1.137365,1.124287
harmless,endofthink,35,2,48,-5.128943,7.291081
harmless,endofthink,35,3,48,-5.077289,0.962588
harmless,endofthink,35,4,48,-1.134539,1.039148
harmless,startofthink,17,0,48,3.911824,0.303713
harmless,startofthink,17,1,48,3.347543,0.386171
harmless,startofthink,17,2,48,1.257043,0.303543
harmless,startofthink,17,3,48,-4.483627,0.679747
harmless,startofthink,17,4,48,-0.838876,0.817814
harmless,startofthink,18,0,48,-0.589954,0.482356
harmless,startofthink,18,1,48,-0.732167,0.602309
harmless,startofthink,18,2,48,0.284203,0.529302
harmless,startofthink,18,3,48,-2.272715,0.740699
harmless,startofthink,18,4,48,-2.537563,0.682327
harmless,startofthink,21,0,48,1.228142,0.430932
harmless,startofthink,21,1,48,0.106913,0.738389
harmless,startofthink,21,2,48,0.298809,0.368487
harmless,startofthink,21,3,48,3.587884,0.858933
harmless,startofthink,21,4,48,1.392504,0.72063
harmless,startofthink,24,0,48,1.248229,1.087761
harmless,startofthink,24,1,48,1.369995,0.426359
harmless,startofthink,24,2,48,0.495036,0.414939
harmless,startofthink,24,3,48,2.23619,0.358937
harmless,startofthink,24,4,48,-0.997195,0.613442
harmless,startofthink,35,0,48,-0.46377,0.359057
harmless,startofthink,35,1,48,-0.964676,0.301595
harmless,startofthink,35,2,48,-0.977827,0.518118
harmless,startofthink,35,3,48,-4.529855,0.376152
harmless,startofthink,35,4,48,-2.327656,0.359469
puzzle_attack,endofresponse,17,0,220,2.863551,0.37443
puzzle_attack,endofresponse,17,1,220,1.714986,0.449747
puzzle_attack,endofresponse,17,2,220,3.687994,0.368039
puzzle_attack,endofresponse,17,3,220,-4.315421,0.710849
puzzle_attack,endofresponse,17,4,220,-4.220695,1.434441
puzzle_attack,endofresponse,18,0,220,-0.110146,0.550121
puzzle_attack,endofresponse,18,1,220,1.640589,0.834947
puzzle_attack,endofresponse,18,2,220,4.032667,0.377748
puzzle_attack,endofresponse,18,3,220,-3.196635,3.839122
puzzle_attack,endofresponse,18,4,220,-8.196897,1.432215
puzzle_attack,endofresponse,21,0,220,2.065137,0.479748
puzzle_attack,endofresponse,21,1,220,-1.59439,1.259706
puzzle_attack,endofresponse,21,2,220,4.072492,0.319692
puzzle_attack,endofresponse,21,3,220,2.668215,0.795971
puzzle_attack,endofresponse,21,4,220,1.274655,0.441638
puzzle_attack,endofresponse,24,0,220,4.660619,3.901127
puzzle_attack,endofresponse,24,1,220,1.456066,0.585562
puzzle_attack,endofresponse,24,2,220,-1.424582,0.881447
puzzle_attack,endofresponse,24,3,220,2.131329,0.574207
puzzle_attack,endofresponse,24,4,220,0.552188,0.506649
puzzle_attack,endofresponse,35,0,220,1.806245,0.404597
puzzle_attack,endofresponse,35,1,220,-1.767027,0.267831
puzzle_attack,endofresponse,35,2,220,-3.564433,1.291112
puzzle_attack,endofresponse,35,3,220,-2.243152,0.320505
puzzle_attack,endofresponse,35,4,220,-0.00321,0.548175
puzzle_attack,endofthink,17,0,220,4.204572,0.623723
puzzle_attack,endofthink,17,1,220,0.982312,0.761609
puzzle_attack,endofthink,17,2,220,3.374601,0.204675
