layer,subspace_rank,n_complied,n_refused,auc_raw,auc,p_value
17,4,62,144,0.7468,0.7468,0.0
18,3,62,144,0.7246,0.7246,0.0
24,0,62,144,0.7106,0.7106,0.0
17,3,62,144,0.7051,0.7051,0.0
18,1,62,144,0.6943,0.6943,0.0
21,4,62,144,0.6827,0.6827,0.0
21,1,62,144,0.6772,0.6772,0.0001
35,3,62,144,0.3365,0.6635,0.0002
35,2,62,144,0.6627,0.6627,0.0002
18,4,62,144,0.6579,0.6579,0.0003
17,1,62,144,0.6576,0.6576,0.0003
21,3,62,144,0.6486,0.6486,0.0007
18,2,62,144,0.6427,0.6427,0.0012
24,1,62,144,0.5999,0.5999,0.0231
35,4,62,144,0.4162,0.5838,0.0568
24,2,62,144,0.5604,0.5604,0.17
35,0,62,144,0.5603,0.5603,0.1708
24,4,62,144,0.5526,0.5526,0.2316
35,1,62,144,0.5391,0.5391,0.3745
24,3,62,144,0.4631,0.5369,0.4026
21,0,62,144,0.5325,0.5325,0.4607
21,2,62,144,0.5321,0.5321,0.4654
17,0,62,144,0.4776,0.5224,0.6112
17,2,62,144,0.5208,0.5208,0.6364
18,0,62,144,0.5009,0.5009,0.9848
