bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,17,0,complied,10253,3.490258,0.994291
0,0.05,17,0,refused,30799,3.464792,0.992385
0,0.05,17,1,complied,10253,2.127011,1.314845
0,0.05,17,1,refused,30799,2.224482,1.284325
0,0.05,17,2,complied,10253,3.703671,1.069547
0,0.05,17,2,refused,30799,3.784005,1.037908
0,0.05,17,3,complied,10253,-5.668198,1.316738
0,0.05,17,3,refused,30799,-5.940494,1.381145
0,0.05,17,4,complied,10253,-5.32945,1.690976
0,0.05,17,4,refused,30799,-5.579992,1.70638
0,0.05,18,0,complied,10253,-1.459332,1.076774
0,0.05,18,0,refused,30799,-1.445681,1.052415
0,0.05,18,1,complied,10253,-0.225913,1.2448
0,0.05,18,1,refused,30799,-0.193888,1.191516
0,0.05,18,2,complied,10253,1.493523,1.090263
0,0.05,18,2,refused,30799,1.590521,1.05686
0,0.05,18,3,complied,10253,-3.268065,1.758434
0,0.05,18,3,refused,30799,-3.637139,1.695755
0,0.05,18,4,complied,10253,-8.328396,1.660894
0,0.05,18,4,refused,30799,-8.251136,1.696103
0,0.05,21,0,complied,10253,1.912916,1.269468
0,0.05,21,0,refused,30799,1.905402,1.250271
0,0.05,21,1,complied,10253,-4.136486,1.815255
0,0.05,21,1,refused,30799,-4.260218,1.807943
0,0.05,21,2,complied,10253,0.661169,1.130886
0,0.05,21,2,refused,30799,0.682728,1.153053
0,0.05,21,3,complied,10253,-0.212816,1.328098
0,0.05,21,3,refused,30799,-0.258709,1.330003
0,0.05,21,4,complied,10253,0.376908,1.285584
0,0.05,21,4,refused,30799,0.394616,1.300214
0,0.05,24,0,complied,10253,3.051583,2.160333
0,0.05,24,0,refused,30799,2.533279,2.232513
0,0.05,24,1,complied,10253,2.1846,1.139392
0,0.05,24,1,refused,30799,2.209499,1.159654
0,0.05,24,2,complied,10253,1.114845,1.110338
0,0.05,24,2,refused,30799,0.955899,1.143361
0,0.05,24,3,complied,10253,2.379077,1.162828
0,0.05,24,3,refused,30799,2.291519,1.238251
0,0.05,24,4,complied,10253,1.968404,1.118006
0,0.05,24,4,refused,30799,1.994999,1.032644
0,0.05,35,0,complied,10253,-0.261538,1.346689
0,0.05,35,0,refused,30799,-0.331584,1.420734
0,0.05,35,1,complied,10253,-2.039909,1.179217
0,0.05,35,1,refused,30799,-1.973754,1.213302
0,0.05,35,2,complied,10253,-3.834871,2.127623
0,0.05,35,2,refused,30799,-4.339877,2.206262
0,0.05,35,3,complied,10253,-5.069621,1.454732
0,0.05,35,3,refused,30799,-5.030971,1.498481
0,0.05,35,4,complied,10253,-1.585681,1.721302
0,0.05,35,4,refused,30799,-1.516759,1.703374
1,0.15,17,0,complied,10235,3.913823,1.015099
1,0.15,17,0,refused,30766,3.764316,1.041101
1,0.15,17,1,complied,10235,2.09091,1.182612
1,0.15,17,1,refused,30766,2.018514,1.184125
1,0.15,17,2,complied,10235,3.639751,1.019523
1,0.15,17,2,refused,30766,3.680915,1.042592
1,0.15,17,3,complied,10235,-6.068688,1.217445
1,0.15,17,3,refused,30766,-6.258034,1.211236
1,0.15,17,4,complied,10235,-5.617501,1.55893
1,0.15,17,4,refused,30766,-5.882621,1.572616
1,0.15,18,0,complied,10235,-1.283819,1.051139
1,0.15,18,0,refused,30766,-1.363328,1.047836
1,0.15,18,1,complied,10235,-0.125002,1.209902
1,0.15,18,1,refused,30766,-0.214842,1.187037
1,0.15,18,2,complied,10235,1.611131,1.036812
1,0.15,18,2,refused,30766,1.576683,1.046814
1,0.15,18,3,complied,10235,-3.083619,1.68796
1,0.15,18,3,refused,30766,-3.401877,1.669352
1,0.15,18,4,complied,10235,-8.607612,1.343919
1,0.15,18,4,refused,30766,-8.748016,1.396453
1,0.15,21,0,complied,10235,2.054365,1.249233
1,0.15,21,0,refused,30766,2.001112,1.250069
1,0.15,21,1,complied,10235,-4.146566,1.714611
1,0.15,21,1,refused,30766,-4.192036,1.685725
1,0.15,21,2,complied,10235,0.983712,1.107693
1,0.15,21,2,refused,30766,0.921896,1.078268
1,0.15,21,3,complied,10235,-0.09779,1.318783
1,0.15,21,3,refused,30766,-0.158777,1.283148
1,0.15,21,4,complied,10235,0.441356,1.329858
1,0.15,21,4,refused,30766,0.244095,1.336499
1,0.15,24,0,complied,10235,2.135386,2.004882
1,0.15,24,0,refused,30766,1.896614,1.834233
1,0.15,24,1,complied,10235,2.045796,1.119838
1,0.15,24,1,refused,30766,2.091373,1.118815
1,0.15,24,2,complied,10235,1.120703,1.046119
1,0.15,24,2,refused,30766,1.092553,1.056349
1,0.15,24,3,complied,10235,2.495856,1.199131
1,0.15,24,3,refused,30766,2.522287,1.136585
1,0.15,24,4,complied,10235,1.351699,1.153965
1,0.15,24,4,refused,30766,1.406252,1.170826
1,0.15,35,0,complied,10235,-0.352555,1.35958
1,0.15,35,0,refused,30766,-0.326995,1.321086
1,0.15,35,1,complied,10235,-1.910316,1.186723
1,0.15,35,1,refused,30766,-1.877883,1.127833
1,0.15,35,2,complied,10235,-4.301403,2.04406
1,0.15,35,2,refused,30766,-4.3249,2.106795
1,0.15,35,3,complied,10235,-5.224889,1.308009
1,0.15,35,3,refused,30766,-5.081721,1.305356
1,0.15,35,4,complied,10235,-1.408863,1.679439
1,0.15,35,4,refused,30766,-1.374568,1.642848
2,0.25,17,0,complied,10233,4.045637,1.00684
2,0.25,17,0,refused,30760,3.934733,1.049362
2,0.25,17,1,complied,10233,2.330566,1.155791
2,0.25,17,1,refused,30760,2.165839,1.168934
2,0.25,17,2,complied,10233,3.657607,1.033595
2,0.25,17,2,refused,30760,3.697879,1.070557
2,0.25,17,3,complied,10233,-6.191153,1.282976
2,0.25,17,3,refused,30760,-6.369193,1.246235
2,0.25,17,4,complied,10233,-5.571092,1.60484
2,0.25,17,4,refused,30760,-5.865567,1.612606
2,0.25,18,0,complied,10233,-1.363309,1.092723
2,0.25,18,0,refused,30760,-1.407831,1.08097
2,0.25,18,1,complied,10233,0.129185,1.111173
2,0.25,18,1,refused,30760,-0.002946,1.155947
2,0.25,18,2,complied,10233,1.611696,1.052407
2,0.25,18,2,refused,30760,1.632311,1.059371
2,0.25,18,3,complied,10233,-3.095038,1.67489
2,0.25,18,3,refused,30760,-3.340618,1.681571
2,0.25,18,4,complied,10233,-8.79084,1.367499
2,0.25,18,4,refused,30760,-8.93801,1.364504
2,0.25,21,0,complied,10233,2.130164,1.240215
2,0.25,21,0,refused,30760,2.152955,1.284772
2,0.25,21,1,complied,10233,-4.006854,1.654583
2,0.25,21,1,refused,30760,-4.094061,1.662106
2,0.25,21,2,complied,10233,1.009448,1.149243
2,0.25,21,2,refused,30760,1.044523,1.110384
2,0.25,21,3,complied,10233,0.051307,1.308594
2,0.25,21,3,refused,30760,-0.034633,1.311283
2,0.25,21,4,complied,10233,0.568205,1.273076
2,0.25,21,4,refused,30760,0.420461,1.327548
2,0.25,24,0,complied,10233,2.180278,2.115301
2,0.25,24,0,refused,30760,1.921306,1.926277
2,0.25,24,1,complied,10233,2.206617,1.07071
2,0.25,24,1,refused,30760,2.211447,1.064779
2,0.25,24,2,complied,10233,1.277973,1.170974
2,0.25,24,2,refused,30760,1.19908,1.13889
2,0.25,24,3,complied,10233,2.473185,1.17749
2,0.25,24,3,refused,30760,2.466778,1.179509
2,0.25,24,4,complied,10233,1.325668,1.091237
2,0.25,24,4,refused,30760,1.302504,1.105869
2,0.25,35,0,complied,10233,-0.429449,1.41817
2,0.25,35,0,refused,30760,-0.494291,1.393313
2,0.25,35,1,complied,10233,-1.815931,1.188414
2,0.25,35,1,refused,30760,-1.862863,1.15697
2,0.25,35,2,complied,10233,-4.485469,2.329794
2,0.25,35,2,refused,30760,-4.631968,2.384928
2,0.25,35,3,complied,10233,-5.202112,1.348387
2,0.25,35,3,refused,30760,-5.103222,1.308859
2,0.25,35,4,complied,10233,-1.252725,1.635643
2,0.25,35,4,refused,30760,-1.219001,1.62432
3,0.35,17,0,complied,10233,3.981138,1.026058
3,0.35,17,0,refused,30762,3.979013,1.044762
3,0.35,17,1,complied,10233,2.381483,1.155615
3,0.35,17,1,refused,30762,2.253788,1.178247
3,0.35,17,2,complied,10233,3.733865,1.061832
3,0.35,17,2,refused,30762,3.758466,1.07657
3,0.35,17,3,complied,10233,-6.303005,1.329151
3,0.35,17,3,refused,30762,-6.47247,1.270646
3,0.35,17,4,complied,10233,-5.669815,1.639891
3,0.35,17,4,refused,30762,-5.916986,1.62876
3,0.35,18,0,complied,10233,-1.528537,1.137343
3,0.35,18,0,refused,30762,-1.458255,1.106512
3,0.35,18,1,complied,10233,0.143035,1.13608
3,0.35,18,1,refused,30762,0.064907,1.122234
3,0.35,18,2,complied,10233,1.692527,1.087055
3,0.35,18,2,refused,30762,1.682627,1.07981
3,0.35,18,3,complied,10233,-3.125894,1.742128
3,0.35,18,3,refused,30762,-3.375997,1.684159
3,0.35,18,4,complied,10233,-8.928256,1.374798
3,0.35,18,4,refused,30762,-9.058747,1.342986
3,0.35,21,0,complied,10233,2.249601,1.239031
3,0.35,21,0,refused,30762,2.227246,1.264451
3,0.35,21,1,complied,10233,-4.079739,1.672017
3,0.35,21,1,refused,30762,-4.089549,1.655166
3,0.35,21,2,complied,10233,1.057706,1.162058
3,0.35,21,2,refused,30762,1.043982,1.13988
3,0.35,21,3,complied,10233,0.022241,1.319629
3,0.35,21,3,refused,30762,-0.019694,1.306052
3,0.35,21,4,complied,10233,0.656288,1.240884
3,0.35,21,4,refused,30762,0.494226,1.308184
3,0.35,24,0,complied,10233,2.329373,2.149171
3,0.35,24,0,refused,30762,2.006907,1.953032
3,0.35,24,1,complied,10233,2.217061,1.005905
3,0.35,24,1,refused,30762,2.232249,1.047267
3,0.35,24,2,complied,10233,1.371389,1.187914
3,0.35,24,2,refused,30762,1.341395,1.179894
3,0.35,24,3,complied,10233,2.51469,1.155142
3,0.35,24,3,refused,30762,2.394463,1.159713
3,0.35,24,4,complied,10233,1.379619,1.084157
3,0.35,24,4,refused,30762,1.334868,1.092049
3,0.35,35,0,complied,10233,-0.547527,1.415639
3,0.35,35,0,refused,30762,-0.563002,1.41588
3,0.35,35,1,complied,10233,-1.950135,1.20428
3,0.35,35,1,refused,30762,-1.919692,1.170742
3,0.35,35,2,complied,10233,-4.920676,2.68853
3,0.35,35,2,refused,30762,-4.777548,2.564669
3,0.35,35,3,complied,10233,-5.283426,1.367102
3,0.35,35,3,refused,30762,-5.154478,1.303289
3,0.35,35,4,complied,10233,-1.194797,1.638811
3,0.35,35,4,refused,30762,-1.149751,1.615762
4,0.45,17,0,complied,10226,3.91738,1.055102
4,0.45,17,0,refused,30746,3.95806,1.028282
4,0.45,17,1,complied,10226,2.316935,1.200255
4,0.45,17,1,refused,30746,2.29026,1.162883
4,0.45,17,2,complied,10226,3.921681,1.126538
4,0.45,17,2,refused,30746,3.831414,1.094811
4,0.45,17,3,complied,10226,-6.471217,1.358896
4,0.45,17,3,refused,30746,-6.482304,1.298209
4,0.45,17,4,complied,10226,-5.922714,1.699555
4,0.45,17,4,refused,30746,-6.032598,1.672804
4,0.45,18,0,complied,10226,-1.50085,1.170242
4,0.45,18,0,refused,30746,-1.486272,1.120729
4,0.45,18,1,complied,10226,0.084314,1.128334
4,0.45,18,1,refused,30746,0.001307,1.125076
4,0.45,18,2,complied,10226,1.875856,1.097122
4,0.45,18,2,refused,30746,1.698247,1.09391
4,0.45,18,3,complied,10226,-3.41883,1.828844
4,0.45,18,3,refused,30746,-3.413466,1.732541
4,0.45,18,4,complied,10226,-9.014878,1.42933
4,0.45,18,4,refused,30746,-9.120523,1.353421
4,0.45,21,0,complied,10226,2.24803,1.193548
4,0.45,21,0,refused,30746,2.242114,1.239938
4,0.45,21,1,complied,10226,-4.074545,1.681734
4,0.45,21,1,refused,30746,-4.075023,1.665559
4,0.45,21,2,complied,10226,1.031436,1.174958
4,0.45,21,2,refused,30746,1.038283,1.1583
4,0.45,21,3,complied,10226,-0.02411,1.338474
4,0.45,21,3,refused,30746,-0.048075,1.312428
4,0.45,21,4,complied,10226,0.516753,1.275911
4,0.45,21,4,refused,30746,0.511496,1.316749
4,0.45,24,0,complied,10226,2.460309,2.0642
4,0.45,24,0,refused,30746,2.068429,2.016144
4,0.45,24,1,complied,10226,2.201165,1.03618
4,0.45,24,1,refused,30746,2.134111,1.036469
4,0.45,24,2,complied,10226,1.43434,1.19515
4,0.45,24,2,refused,30746,1.388601,1.219773
4,0.45,24,3,complied,10226,2.502666,1.186044
4,0.45,24,3,refused,30746,2.427776,1.131422
4,0.45,24,4,complied,10226,1.437268,1.124494
4,0.45,24,4,refused,30746,1.353009,1.107741
4,0.45,35,0,complied,10226,-0.543887,1.449063
4,0.45,35,0,refused,30746,-0.565446,1.392308
4,0.45,35,1,complied,10226,-1.950595,1.149963
4,0.45,35,1,refused,30746,-1.952316,1.164717
4,0.45,35,2,complied,10226,-4.668028,2.753242
4,0.45,35,2,refused,30746,-4.691443,2.463926
4,0.45,35,3,complied,10226,-5.219112,1.327523
4,0.45,35,3,refused,30746,-5.070463,1.255465
4,0.45,35,4,complied,10226,-1.143605,1.549289
4,0.45,35,4,refused,30746,-1.082308,1.601659
5,0.55,17,0,complied,10242,3.96785,1.008887
5,0.55,17,0,refused,30781,3.936659,1.024082
5,0.55,17,1,complied,10242,2.382501,1.173484
5,0.55,17,1,refused,30781,2.341518,1.154498
5,0.55,17,2,complied,10242,3.899774,1.096239
5,0.55,17,2,refused,30781,3.895893,1.108162
5,0.55,17,3,complied,10242,-6.473252,1.333493
5,0.55,17,3,refused,30781,-6.571798,1.323813
5,0.55,17,4,complied,10242,-6.048586,1.717568
5,0.55,17,4,refused,30781,-6.188787,1.673984
5,0.55,18,0,complied,10242,-1.461949,1.119979
5,0.55,18,0,refused,30781,-1.522096,1.150835
5,0.55,18,1,complied,10242,0.045689,1.134668
5,0.55,18,1,refused,30781,-0.008149,1.118185
5,0.55,18,2,complied,10242,1.847587,1.071298
5,0.55,18,2,refused,30781,1.748923,1.092969
5,0.55,18,3,complied,10242,-3.417675,1.792182
5,0.55,18,3,refused,30781,-3.530873,1.760375
5,0.55,18,4,complied,10242,-9.021676,1.413494
5,0.55,18,4,refused,30781,-9.180959,1.385142
5,0.55,21,0,complied,10242,2.230757,1.198559
5,0.55,21,0,refused,30781,2.288152,1.228252
5,0.55,21,1,complied,10242,-4.03586,1.664917
5,0.55,21,1,refused,30781,-4.146857,1.670862
5,0.55,21,2,complied,10242,1.033648,1.194019
5,0.55,21,2,refused,30781,1.050696,1.170944
5,0.55,21,3,complied,10242,-0.00493,1.320333
5,0.55,21,3,refused,30781,-0.062108,1.326663
5,0.55,21,4,complied,10242,0.524121,1.261224
5,0.55,21,4,refused,30781,0.496974,1.302275
5,0.55,24,0,complied,10242,2.344257,2.03127
5,0.55,24,0,refused,30781,2.130492,2.072636
5,0.55,24,1,complied,10242,2.288654,1.027065
5,0.55,24,1,refused,30781,2.162368,1.037343
5,0.55,24,2,complied,10242,1.464669,1.215385
5,0.55,24,2,refused,30781,1.382727,1.225047
5,0.55,24,3,complied,10242,2.530575,1.155982
5,0.55,24,3,refused,30781,2.460674,1.141176
