layer,subspace_rank,n_complied,n_refused,auc_raw,auc,p_value
16,0,62,144,0.7388,0.7388,0.0
17,0,62,144,0.7248,0.7248,0.0
26,2,62,144,0.6891,0.6891,0.0
26,0,62,144,0.3143,0.6857,0.0
17,1,62,144,0.6685,0.6685,0.0001
31,2,62,144,0.6517,0.6517,0.0006
34,3,62,144,0.6368,0.6368,0.0019
31,3,62,144,0.6343,0.6343,0.0023
31,4,62,144,0.6328,0.6328,0.0025
16,1,62,144,0.6233,0.6233,0.005
34,4,62,144,0.6214,0.6214,0.0058
26,4,62,144,0.6053,0.6053,0.0166
34,2,62,144,0.5883,0.5883,0.0448
26,1,62,144,0.4201,0.5799,0.0694
16,3,62,144,0.5727,0.5727,0.0984
31,1,62,144,0.5698,0.5698,0.1127
31,0,62,144,0.4387,0.5613,0.1637
17,2,62,144,0.5591,0.5591,0.1789
26,3,62,144,0.5494,0.5494,0.2617
16,4,62,144,0.5441,0.5441,0.316
34,0,62,144,0.4626,0.5374,0.3954
17,3,62,144,0.5277,0.5277,0.5299
17,4,62,144,0.5215,0.5215,0.6256
16,2,62,144,0.4935,0.5065,0.8835
34,1,62,144,0.4973,0.5027,0.9522
