bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,16,0,complied,10253,10.912047,1.85189
0,0.05,16,0,refused,30799,10.759009,1.934141
0,0.05,16,1,complied,10253,12.640011,1.854075
0,0.05,16,1,refused,30799,12.506286,1.957456
0,0.05,16,2,complied,10253,4.927506,1.108019
0,0.05,16,2,refused,30799,4.840125,1.067265
0,0.05,16,3,complied,10253,1.208721,1.111226
0,0.05,16,3,refused,30799,1.344085,1.111636
0,0.05,16,4,complied,10253,1.947907,1.000973
0,0.05,16,4,refused,30799,2.070206,1.069627
0,0.05,17,0,complied,10253,7.994299,1.652948
0,0.05,17,0,refused,30799,7.838976,1.752377
0,0.05,17,1,complied,10253,7.679168,2.064426
0,0.05,17,1,refused,30799,7.433756,2.238371
0,0.05,17,2,complied,10253,3.959569,1.189834
0,0.05,17,2,refused,30799,3.879005,1.159853
0,0.05,17,3,complied,10253,1.53867,1.28589
0,0.05,17,3,refused,30799,1.704996,1.259885
0,0.05,17,4,complied,10253,1.912707,1.252792
0,0.05,17,4,refused,30799,2.137561,1.22843
0,0.05,26,0,complied,10253,-1.395131,0.971216
0,0.05,26,0,refused,30799,-1.440531,1.010664
0,0.05,26,1,complied,10253,1.748744,1.142089
0,0.05,26,1,refused,30799,1.771972,1.135756
0,0.05,26,2,complied,10253,-0.655415,2.270024
0,0.05,26,2,refused,30799,-0.650119,2.56988
0,0.05,26,3,complied,10253,2.445652,1.143566
0,0.05,26,3,refused,30799,2.258419,1.147654
0,0.05,26,4,complied,10253,5.104732,1.43817
0,0.05,26,4,refused,30799,4.938396,1.400933
0,0.05,31,0,complied,10253,-2.6573,1.323812
0,0.05,31,0,refused,30799,-2.607,1.340467
0,0.05,31,1,complied,10253,-1.429318,1.294795
0,0.05,31,1,refused,30799,-1.367782,1.337992
0,0.05,31,2,complied,10253,5.001387,1.770285
0,0.05,31,2,refused,30799,5.080807,1.91515
0,0.05,31,3,complied,10253,5.679141,2.46033
0,0.05,31,3,refused,30799,5.424622,2.431251
0,0.05,31,4,complied,10253,36.727794,7.181462
0,0.05,31,4,refused,30799,36.418531,7.189321
0,0.05,34,0,complied,10253,-2.525485,1.270661
0,0.05,34,0,refused,30799,-2.510525,1.263951
0,0.05,34,1,complied,10253,-1.099417,1.228761
0,0.05,34,1,refused,30799,-1.041763,1.216383
0,0.05,34,2,complied,10253,6.219437,1.671957
0,0.05,34,2,refused,30799,6.251621,1.771625
0,0.05,34,3,complied,10253,8.543206,2.624667
0,0.05,34,3,refused,30799,8.346822,2.632566
0,0.05,34,4,complied,10253,47.885213,7.375451
0,0.05,34,4,refused,30799,47.712663,7.39098
1,0.15,16,0,complied,10235,11.228918,1.845365
1,0.15,16,0,refused,30766,10.998983,1.799381
1,0.15,16,1,complied,10235,13.159652,1.880032
1,0.15,16,1,refused,30766,12.947786,1.832011
1,0.15,16,2,complied,10235,5.240046,1.141487
1,0.15,16,2,refused,30766,5.101814,1.1975
1,0.15,16,3,complied,10235,1.107511,1.0804
1,0.15,16,3,refused,30766,1.106659,1.088591
1,0.15,16,4,complied,10235,1.971383,1.024288
1,0.15,16,4,refused,30766,1.99931,1.03801
1,0.15,17,0,complied,10235,8.235056,1.566978
1,0.15,17,0,refused,30766,8.050886,1.544411
1,0.15,17,1,complied,10235,7.987817,1.724931
1,0.15,17,1,refused,30766,7.730629,1.751385
1,0.15,17,2,complied,10235,4.09134,1.253699
1,0.15,17,2,refused,30766,3.890172,1.348934
1,0.15,17,3,complied,10235,1.398338,1.286972
1,0.15,17,3,refused,30766,1.451112,1.28786
1,0.15,17,4,complied,10235,1.833592,1.162602
1,0.15,17,4,refused,30766,1.86562,1.162876
1,0.15,26,0,complied,10235,-0.92396,0.979935
1,0.15,26,0,refused,30766,-0.781654,0.955081
1,0.15,26,1,complied,10235,2.096619,1.065734
1,0.15,26,1,refused,30766,2.136359,1.081415
1,0.15,26,2,complied,10235,-0.223308,1.325696
1,0.15,26,2,refused,30766,-0.288139,1.375498
1,0.15,26,3,complied,10235,2.535788,1.151863
1,0.15,26,3,refused,30766,2.427226,1.147223
1,0.15,26,4,complied,10235,4.857761,1.357195
1,0.15,26,4,refused,30766,4.730122,1.285549
1,0.15,31,0,complied,10235,-2.324302,1.295081
1,0.15,31,0,refused,30766,-2.239298,1.259302
1,0.15,31,1,complied,10235,-1.600922,1.360485
1,0.15,31,1,refused,30766,-1.520383,1.359097
1,0.15,31,2,complied,10235,5.13839,1.549209
1,0.15,31,2,refused,30766,5.048458,1.536756
1,0.15,31,3,complied,10235,6.130783,2.476947
1,0.15,31,3,refused,30766,5.876466,2.418945
1,0.15,31,4,complied,10235,36.665276,7.051063
1,0.15,31,4,refused,30766,35.877775,6.567605
1,0.15,34,0,complied,10235,-2.509737,1.303773
1,0.15,34,0,refused,30766,-2.395625,1.271966
1,0.15,34,1,complied,10235,-1.315213,1.239826
1,0.15,34,1,refused,30766,-1.168998,1.260722
1,0.15,34,2,complied,10235,6.394689,1.590841
1,0.15,34,2,refused,30766,6.290126,1.540485
1,0.15,34,3,complied,10235,8.750528,2.716966
1,0.15,34,3,refused,30766,8.462286,2.585226
1,0.15,34,4,complied,10235,47.848908,7.744539
1,0.15,34,4,refused,30766,46.93618,6.994068
2,0.25,16,0,complied,10233,11.350547,1.838125
2,0.25,16,0,refused,30760,11.064133,1.817955
2,0.25,16,1,complied,10233,13.32021,1.894515
2,0.25,16,1,refused,30760,13.085761,1.895253
2,0.25,16,2,complied,10233,5.269119,1.071718
2,0.25,16,2,refused,30760,5.202306,1.156725
2,0.25,16,3,complied,10233,1.126907,1.052117
2,0.25,16,3,refused,30760,1.09231,1.065291
2,0.25,16,4,complied,10233,2.001144,1.026996
2,0.25,16,4,refused,30760,1.963113,1.051311
2,0.25,17,0,complied,10233,8.469142,1.556364
2,0.25,17,0,refused,30760,8.211816,1.531772
2,0.25,17,1,complied,10233,8.23291,1.691008
2,0.25,17,1,refused,30760,7.915381,1.762772
2,0.25,17,2,complied,10233,4.109237,1.190509
2,0.25,17,2,refused,30760,3.927989,1.294198
2,0.25,17,3,complied,10233,1.376427,1.21817
2,0.25,17,3,refused,30760,1.378128,1.247935
2,0.25,17,4,complied,10233,1.81133,1.140937
2,0.25,17,4,refused,30760,1.754406,1.154102
2,0.25,26,0,complied,10233,-0.859765,0.999223
2,0.25,26,0,refused,30760,-0.77536,1.040055
2,0.25,26,1,complied,10233,2.399824,1.090306
2,0.25,26,1,refused,30760,2.383107,1.083045
2,0.25,26,2,complied,10233,-0.211083,1.452495
2,0.25,26,2,refused,30760,-0.43158,1.412703
2,0.25,26,3,complied,10233,2.382226,1.228947
2,0.25,26,3,refused,30760,2.384971,1.213879
2,0.25,26,4,complied,10233,4.702772,1.412575
2,0.25,26,4,refused,30760,4.68778,1.372345
2,0.25,31,0,complied,10233,-2.318875,1.265752
2,0.25,31,0,refused,30760,-2.260528,1.251981
2,0.25,31,1,complied,10233,-1.580114,1.356751
2,0.25,31,1,refused,30760,-1.638621,1.338191
2,0.25,31,2,complied,10233,5.30868,1.583126
2,0.25,31,2,refused,30760,5.257092,1.525377
2,0.25,31,3,complied,10233,6.452932,2.429102
2,0.25,31,3,refused,30760,6.389268,2.384484
2,0.25,31,4,complied,10233,37.45421,6.859453
2,0.25,31,4,refused,30760,37.016768,6.552077
2,0.25,34,0,complied,10233,-2.568683,1.341853
2,0.25,34,0,refused,30760,-2.518839,1.293996
2,0.25,34,1,complied,10233,-1.349411,1.240179
2,0.25,34,1,refused,30760,-1.344412,1.238717
2,0.25,34,2,complied,10233,6.502942,1.552548
2,0.25,34,2,refused,30760,6.448352,1.527609
2,0.25,34,3,complied,10233,9.126519,2.624172
2,0.25,34,3,refused,30760,9.031259,2.539842
2,0.25,34,4,complied,10233,48.370064,7.717973
2,0.25,34,4,refused,30760,47.802756,7.248146
3,0.35,16,0,complied,10233,11.50724,1.835395
3,0.35,16,0,refused,30762,11.25167,1.795596
3,0.35,16,1,complied,10233,13.4421,1.91036
3,0.35,16,1,refused,30762,13.221484,1.897163
3,0.35,16,2,complied,10233,5.215538,1.055004
3,0.35,16,2,refused,30762,5.182081,1.117127
3,0.35,16,3,complied,10233,1.152985,1.039838
3,0.35,16,3,refused,30762,1.084281,1.043223
3,0.35,16,4,complied,10233,1.966274,1.00101
3,0.35,16,4,refused,30762,1.953175,1.027452
3,0.35,17,0,complied,10233,8.564826,1.515939
3,0.35,17,0,refused,30762,8.430413,1.520859
3,0.35,17,1,complied,10233,8.371404,1.711688
3,0.35,17,1,refused,30762,8.143695,1.803173
3,0.35,17,2,complied,10233,4.042082,1.152176
3,0.35,17,2,refused,30762,3.929298,1.265876
3,0.35,17,3,complied,10233,1.329022,1.180497
3,0.35,17,3,refused,30762,1.347945,1.222293
3,0.35,17,4,complied,10233,1.65941,1.117688
3,0.35,17,4,refused,30762,1.719516,1.141386
3,0.35,26,0,complied,10233,-0.770904,1.075509
3,0.35,26,0,refused,30762,-0.797971,1.070632
3,0.35,26,1,complied,10233,2.580001,1.108361
3,0.35,26,1,refused,30762,2.477717,1.09298
3,0.35,26,2,complied,10233,-0.181035,1.67962
3,0.35,26,2,refused,30762,-0.450771,1.473748
3,0.35,26,3,complied,10233,2.316796,1.242703
3,0.35,26,3,refused,30762,2.276541,1.211549
3,0.35,26,4,complied,10233,4.763419,1.461539
3,0.35,26,4,refused,30762,4.611179,1.409273
3,0.35,31,0,complied,10233,-2.249774,1.271783
3,0.35,31,0,refused,30762,-2.227574,1.2238
3,0.35,31,1,complied,10233,-1.57168,1.335017
3,0.35,31,1,refused,30762,-1.602013,1.31525
3,0.35,31,2,complied,10233,5.464247,1.592067
3,0.35,31,2,refused,30762,5.362747,1.511832
3,0.35,31,3,complied,10233,6.683057,2.379128
3,0.35,31,3,refused,30762,6.5333,2.335626
3,0.35,31,4,complied,10233,38.399566,6.826918
3,0.35,31,4,refused,30762,37.539081,6.413668
3,0.35,34,0,complied,10233,-2.595573,1.305492
3,0.35,34,0,refused,30762,-2.523698,1.292478
3,0.35,34,1,complied,10233,-1.421803,1.218751
3,0.35,34,1,refused,30762,-1.347618,1.218443
3,0.35,34,2,complied,10233,6.66773,1.553133
3,0.35,34,2,refused,30762,6.537471,1.505278
3,0.35,34,3,complied,10233,9.439919,2.535801
3,0.35,34,3,refused,30762,9.219813,2.463268
3,0.35,34,4,complied,10233,49.278509,7.796328
3,0.35,34,4,refused,30762,48.23095,7.181772
4,0.45,16,0,complied,10226,11.506281,1.844955
4,0.45,16,0,refused,30746,11.322901,1.723826
4,0.45,16,1,complied,10226,13.380108,1.924552
4,0.45,16,1,refused,30746,13.303555,1.856798
4,0.45,16,2,complied,10226,5.084072,1.129478
4,0.45,16,2,refused,30746,5.116289,1.112568
4,0.45,16,3,complied,10226,1.118304,1.01778
4,0.45,16,3,refused,30746,1.092555,1.034468
4,0.45,16,4,complied,10226,1.965898,0.989591
4,0.45,16,4,refused,30746,1.948691,1.022098
4,0.45,17,0,complied,10226,8.667748,1.53637
4,0.45,17,0,refused,30746,8.487597,1.471324
4,0.45,17,1,complied,10226,8.35989,1.833407
4,0.45,17,1,refused,30746,8.233042,1.749791
4,0.45,17,2,complied,10226,3.854047,1.281108
4,0.45,17,2,refused,30746,3.885532,1.285355
4,0.45,17,3,complied,10226,1.326899,1.204374
4,0.45,17,3,refused,30746,1.379788,1.213923
4,0.45,17,4,complied,10226,1.659654,1.139751
4,0.45,17,4,refused,30746,1.737993,1.135043
4,0.45,26,0,complied,10226,-0.946876,1.09627
4,0.45,26,0,refused,30746,-0.862023,1.060453
4,0.45,26,1,complied,10226,2.44286,1.085429
4,0.45,26,1,refused,30746,2.497562,1.084528
4,0.45,26,2,complied,10226,-0.136026,1.755929
4,0.45,26,2,refused,30746,-0.348053,1.462723
4,0.45,26,3,complied,10226,2.160861,1.204922
4,0.45,26,3,refused,30746,2.294579,1.267657
4,0.45,26,4,complied,10226,4.595378,1.452999
4,0.45,26,4,refused,30746,4.608479,1.450266
4,0.45,31,0,complied,10226,-2.167661,1.2105
4,0.45,31,0,refused,30746,-2.197722,1.231657
4,0.45,31,1,complied,10226,-1.452928,1.299695
4,0.45,31,1,refused,30746,-1.507864,1.303682
4,0.45,31,2,complied,10226,5.536249,1.562714
4,0.45,31,2,refused,30746,5.378531,1.52818
4,0.45,31,3,complied,10226,6.726383,2.330074
4,0.45,31,3,refused,30746,6.51884,2.348053
4,0.45,31,4,complied,10226,38.033455,6.445261
4,0.45,31,4,refused,30746,37.290187,6.240577
