layer,subspace_rank,n_complied,n_refused,auc_raw,auc,p_value
16,3,62,144,0.6165,0.6165,0.0081
16,2,62,144,0.6112,0.6112,0.0114
38,0,62,144,0.6035,0.6035,0.0186
33,1,62,144,0.4026,0.5974,0.0267
40,0,62,144,0.5972,0.5972,0.0271
40,1,62,144,0.4058,0.5942,0.0322
38,1,62,144,0.4115,0.5885,0.0442
33,0,62,144,0.5883,0.5883,0.0448
41,1,62,144,0.412,0.588,0.0453
16,0,62,144,0.5865,0.5865,0.0493
41,0,62,144,0.5813,0.5813,0.0645
16,1,62,144,0.5719,0.5719,0.1021
40,2,62,144,0.5687,0.5687,0.1186
33,3,62,144,0.5652,0.5652,0.1384
16,4,62,144,0.5575,0.5575,0.1916
40,3,62,144,0.5561,0.5561,0.2022
38,2,62,144,0.5544,0.5544,0.216
33,2,62,144,0.5526,0.5526,0.2316
38,3,62,144,0.5505,0.5505,0.251
41,2,62,144,0.5321,0.5321,0.4654
33,4,62,144,0.4688,0.5312,0.4779
41,4,62,144,0.5288,0.5288,0.5134
40,4,62,144,0.5286,0.5286,0.5167
41,3,62,144,0.5121,0.5121,0.7841
38,4,62,144,0.4886,0.5114,0.7959
