bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,16,0,complied,10253,-2.361177,1.002526
0,0.05,16,0,refused,30799,-2.295194,1.016708
0,0.05,16,1,complied,10253,-4.884484,1.345155
0,0.05,16,1,refused,30799,-4.918775,1.335025
0,0.05,16,2,complied,10253,-1.479705,0.977933
0,0.05,16,2,refused,30799,-1.387878,1.021862
0,0.05,16,3,complied,10253,-1.748969,0.897967
0,0.05,16,3,refused,30799,-1.776314,0.937252
0,0.05,16,4,complied,10253,-2.581513,0.960394
0,0.05,16,4,refused,30799,-2.533275,0.936077
0,0.05,33,0,complied,10253,26.852728,4.585971
0,0.05,33,0,refused,30799,26.974687,4.605664
0,0.05,33,1,complied,10253,2.131608,1.186757
0,0.05,33,1,refused,30799,2.152115,1.226436
0,0.05,33,2,complied,10253,10.075408,2.133454
0,0.05,33,2,refused,30799,10.164511,2.195956
0,0.05,33,3,complied,10253,3.667873,1.484908
0,0.05,33,3,refused,30799,3.699524,1.635425
0,0.05,33,4,complied,10253,2.289636,2.092043
0,0.05,33,4,refused,30799,2.251378,2.404506
0,0.05,38,0,complied,10253,28.806175,3.919807
0,0.05,38,0,refused,30799,29.1394,3.887924
0,0.05,38,1,complied,10253,1.847653,1.157727
0,0.05,38,1,refused,30799,1.825854,1.172702
0,0.05,38,2,complied,10253,10.969188,1.756288
0,0.05,38,2,refused,30799,11.131315,1.833506
0,0.05,38,3,complied,10253,3.259955,1.539864
0,0.05,38,3,refused,30799,3.343773,1.695417
0,0.05,38,4,complied,10253,1.620767,1.548096
0,0.05,38,4,refused,30799,1.714688,1.743835
0,0.05,40,0,complied,10253,24.751192,2.820174
0,0.05,40,0,refused,30799,24.937276,2.778632
0,0.05,40,1,complied,10253,1.649219,1.149351
0,0.05,40,1,refused,30799,1.611695,1.104984
0,0.05,40,2,complied,10253,9.346246,1.701738
0,0.05,40,2,refused,30799,9.400628,1.77892
0,0.05,40,3,complied,10253,3.20441,1.428636
0,0.05,40,3,refused,30799,3.238164,1.542413
0,0.05,40,4,complied,10253,1.640285,1.343136
0,0.05,40,4,refused,30799,1.663447,1.483755
0,0.05,41,0,complied,10253,21.325984,2.543533
0,0.05,41,0,refused,30799,21.310979,2.526754
0,0.05,41,1,complied,10253,0.484723,1.139039
0,0.05,41,1,refused,30799,0.470535,1.096034
0,0.05,41,2,complied,10253,8.872233,1.569372
0,0.05,41,2,refused,30799,8.848403,1.609342
0,0.05,41,3,complied,10253,3.935199,1.241117
0,0.05,41,3,refused,30799,3.932652,1.309613
0,0.05,41,4,complied,10253,2.106965,1.204452
0,0.05,41,4,refused,30799,2.09559,1.292318
1,0.15,16,0,complied,10235,-2.519934,0.922915
1,0.15,16,0,refused,30766,-2.527424,0.938782
1,0.15,16,1,complied,10235,-4.861453,1.16109
1,0.15,16,1,refused,30766,-4.828088,1.172069
1,0.15,16,2,complied,10235,-1.72316,0.894784
1,0.15,16,2,refused,30766,-1.771853,0.91625
1,0.15,16,3,complied,10235,-1.955131,0.865122
1,0.15,16,3,refused,30766,-2.036011,0.887631
1,0.15,16,4,complied,10235,-2.906395,0.992177
1,0.15,16,4,refused,30766,-2.845823,1.015378
1,0.15,33,0,complied,10235,26.658368,4.414411
1,0.15,33,0,refused,30766,26.053109,4.205955
1,0.15,33,1,complied,10235,2.053893,1.184805
1,0.15,33,1,refused,30766,1.991942,1.183751
1,0.15,33,2,complied,10235,10.058202,2.034602
1,0.15,33,2,refused,30766,9.807749,2.051567
1,0.15,33,3,complied,10235,3.753777,1.409796
