layer,subspace_rank,n_complied,n_refused,auc_raw,auc,p_value
18,3,62,144,0.3088,0.6912,0.0
30,4,62,144,0.6902,0.6902,0.0
19,3,62,144,0.3116,0.6884,0.0
20,3,62,144,0.3413,0.6587,0.0003
18,1,62,144,0.3414,0.6586,0.0003
20,4,62,144,0.6267,0.6267,0.004
21,3,62,144,0.3744,0.6256,0.0043
30,1,62,144,0.6246,0.6246,0.0046
21,0,62,144,0.6104,0.6104,0.012
21,1,62,144,0.6091,0.6091,0.0131
20,1,62,144,0.6053,0.6053,0.0167
21,4,62,144,0.6033,0.6033,0.0189
19,4,62,144,0.4022,0.5978,0.0262
19,2,62,144,0.4047,0.5953,0.0302
30,0,62,144,0.4079,0.5921,0.0363
19,1,62,144,0.4299,0.5701,0.111
30,3,62,144,0.5606,0.5606,0.1684
19,0,62,144,0.557,0.557,0.1951
18,4,62,144,0.448,0.552,0.2376
18,2,62,144,0.4561,0.5439,0.3185
20,2,62,144,0.4577,0.5423,0.3361
20,0,62,144,0.5417,0.5417,0.3432
18,0,62,144,0.5292,0.5292,0.5068
21,2,62,144,0.5192,0.5192,0.664
30,2,62,144,0.5062,0.5062,0.8895
