bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,18,0,complied,10253,1.441477,1.229629
0,0.05,18,0,refused,30799,1.453141,1.156308
0,0.05,18,1,complied,10253,-7.946157,1.606508
0,0.05,18,1,refused,30799,-7.864836,1.686365
0,0.05,18,2,complied,10253,-4.988457,1.238189
0,0.05,18,2,refused,30799,-4.924737,1.312641
0,0.05,18,3,complied,10253,-12.869545,1.995473
0,0.05,18,3,refused,30799,-12.689393,2.262756
0,0.05,18,4,complied,10253,-5.847434,1.43126
0,0.05,18,4,refused,30799,-5.729543,1.45406
0,0.05,19,0,complied,10253,2.914066,1.379889
0,0.05,19,0,refused,30799,2.878126,1.334711
0,0.05,19,1,complied,10253,-7.39324,1.887722
0,0.05,19,1,refused,30799,-7.341662,1.980327
0,0.05,19,2,complied,10253,-5.458269,1.623558
0,0.05,19,2,refused,30799,-5.475666,1.641537
0,0.05,19,3,complied,10253,-10.109871,1.811646
0,0.05,19,3,refused,30799,-10.022472,1.897283
0,0.05,19,4,complied,10253,-4.750496,1.576099
0,0.05,19,4,refused,30799,-4.667983,1.544287
0,0.05,20,0,complied,10253,1.434463,1.311035
0,0.05,20,0,refused,30799,1.439558,1.304238
0,0.05,20,1,complied,10253,-3.726377,1.563325
0,0.05,20,1,refused,30799,-3.67378,1.622132
0,0.05,20,2,complied,10253,-4.031423,1.759447
0,0.05,20,2,refused,30799,-3.976226,1.760527
0,0.05,20,3,complied,10253,-4.380786,1.594644
0,0.05,20,3,refused,30799,-4.312679,1.62378
0,0.05,20,4,complied,10253,1.606258,1.71709
0,0.05,20,4,refused,30799,1.661369,1.742108
0,0.05,21,0,complied,10253,0.319514,1.371705
0,0.05,21,0,refused,30799,0.354124,1.382312
0,0.05,21,1,complied,10253,-1.092512,1.500604
0,0.05,21,1,refused,30799,-1.053699,1.505449
0,0.05,21,2,complied,10253,-2.977396,1.666989
0,0.05,21,2,refused,30799,-2.850996,1.669428
0,0.05,21,3,complied,10253,-1.099058,1.361011
0,0.05,21,3,refused,30799,-1.070727,1.369899
0,0.05,21,4,complied,10253,6.058061,2.29166
0,0.05,21,4,refused,30799,6.150908,2.298906
0,0.05,30,0,complied,10253,-5.775073,2.773999
0,0.05,30,0,refused,30799,-5.794588,2.9952
0,0.05,30,1,complied,10253,2.209057,1.356669
0,0.05,30,1,refused,30799,2.307107,1.422439
0,0.05,30,2,complied,10253,4.602756,1.276359
0,0.05,30,2,refused,30799,4.612084,1.279793
0,0.05,30,3,complied,10253,-1.102127,1.311798
0,0.05,30,3,refused,30799,-1.176933,1.331441
0,0.05,30,4,complied,10253,-0.923481,1.45516
0,0.05,30,4,refused,30799,-1.039481,1.44626
1,0.15,18,0,complied,10235,1.467013,1.253662
1,0.15,18,0,refused,30766,1.466447,1.233484
1,0.15,18,1,complied,10235,-8.494216,1.343216
1,0.15,18,1,refused,30766,-8.296063,1.423255
1,0.15,18,2,complied,10235,-5.277785,1.147883
1,0.15,18,2,refused,30766,-5.137814,1.188094
1,0.15,18,3,complied,10235,-13.171832,1.74462
1,0.15,18,3,refused,30766,-13.009671,1.81088
1,0.15,18,4,complied,10235,-6.300865,1.292667
1,0.15,18,4,refused,30766,-6.128934,1.343759
1,0.15,19,0,complied,10235,2.855165,1.367795
1,0.15,19,0,refused,30766,2.783748,1.366043
1,0.15,19,1,complied,10235,-8.331717,1.761234
1,0.15,19,1,refused,30766,-8.187258,1.781179
1,0.15,19,2,complied,10235,-5.814867,1.548305
1,0.15,19,2,refused,30766,-5.696532,1.529185
1,0.15,19,3,complied,10235,-10.089812,1.659729
1,0.15,19,3,refused,30766,-9.890742,1.680962
1,0.15,19,4,complied,10235,-5.359995,1.609357
1,0.15,19,4,refused,30766,-5.212102,1.62977
1,0.15,20,0,complied,10235,1.367912,1.336283
1,0.15,20,0,refused,30766,1.305465,1.363147
1,0.15,20,1,complied,10235,-4.150022,1.431207
1,0.15,20,1,refused,30766,-4.164739,1.44634
1,0.15,20,2,complied,10235,-4.327036,1.620579
1,0.15,20,2,refused,30766,-4.241591,1.660156
1,0.15,20,3,complied,10235,-4.145959,1.462478
1,0.15,20,3,refused,30766,-4.000953,1.522549
1,0.15,20,4,complied,10235,1.454856,1.798927
1,0.15,20,4,refused,30766,1.406366,1.76787
1,0.15,21,0,complied,10235,-0.014143,1.341939
1,0.15,21,0,refused,30766,-0.011151,1.338333
1,0.15,21,1,complied,10235,-1.475427,1.414484
1,0.15,21,1,refused,30766,-1.540739,1.402443
1,0.15,21,2,complied,10235,-3.485141,1.609319
1,0.15,21,2,refused,30766,-3.4779,1.610624
1,0.15,21,3,complied,10235,-0.945174,1.270983
1,0.15,21,3,refused,30766,-0.931936,1.267988
1,0.15,21,4,complied,10235,6.224408,2.099635
1,0.15,21,4,refused,30766,6.027409,2.14035
1,0.15,30,0,complied,10235,-5.360647,2.820821
1,0.15,30,0,refused,30766,-5.457551,2.805734
1,0.15,30,1,complied,10235,2.218866,1.34539
1,0.15,30,1,refused,30766,2.179533,1.288473
1,0.15,30,2,complied,10235,4.680807,1.338009
1,0.15,30,2,refused,30766,4.639591,1.307019
1,0.15,30,3,complied,10235,-1.374772,1.255853
1,0.15,30,3,refused,30766,-1.33933,1.218873
1,0.15,30,4,complied,10235,-1.49122,1.650404
1,0.15,30,4,refused,30766,-1.6248,1.627758
2,0.25,18,0,complied,10233,1.734988,1.228717
2,0.25,18,0,refused,30760,1.661311,1.222898
2,0.25,18,1,complied,10233,-8.78193,1.390945
2,0.25,18,1,refused,30760,-8.498946,1.493845
2,0.25,18,2,complied,10233,-5.252088,1.141158
2,0.25,18,2,refused,30760,-5.145289,1.194649
2,0.25,18,3,complied,10233,-13.539664,1.784635
2,0.25,18,3,refused,30760,-13.209207,1.951983
2,0.25,18,4,complied,10233,-6.448856,1.240304
2,0.25,18,4,refused,30760,-6.247117,1.278545
2,0.25,19,0,complied,10233,3.073969,1.388849
2,0.25,19,0,refused,30760,2.99344,1.404397
2,0.25,19,1,complied,10233,-8.68718,1.699694
2,0.25,19,1,refused,30760,-8.484324,1.841183
2,0.25,19,2,complied,10233,-5.993892,1.416258
2,0.25,19,2,refused,30760,-5.890645,1.450579
2,0.25,19,3,complied,10233,-10.454763,1.670025
2,0.25,19,3,refused,30760,-10.157479,1.729739
2,0.25,19,4,complied,10233,-5.470794,1.579292
2,0.25,19,4,refused,30760,-5.301535,1.618069
2,0.25,20,0,complied,10233,1.462676,1.374436
2,0.25,20,0,refused,30760,1.405909,1.347616
2,0.25,20,1,complied,10233,-4.239244,1.457516
2,0.25,20,1,refused,30760,-4.222512,1.514984
2,0.25,20,2,complied,10233,-4.378418,1.56959
2,0.25,20,2,refused,30760,-4.303295,1.65352
2,0.25,20,3,complied,10233,-4.314398,1.473233
2,0.25,20,3,refused,30760,-4.120956,1.491893
2,0.25,20,4,complied,10233,1.552962,1.773436
2,0.25,20,4,refused,30760,1.511085,1.768761
2,0.25,21,0,complied,10233,-0.014166,1.374903
2,0.25,21,0,refused,30760,-0.016186,1.352523
2,0.25,21,1,complied,10233,-1.42478,1.396033
2,0.25,21,1,refused,30760,-1.433202,1.4023
2,0.25,21,2,complied,10233,-3.503908,1.596316
2,0.25,21,2,refused,30760,-3.434528,1.588423
2,0.25,21,3,complied,10233,-1.036457,1.294901
2,0.25,21,3,refused,30760,-0.984392,1.297725
2,0.25,21,4,complied,10233,6.250905,2.019504
2,0.25,21,4,refused,30760,6.160818,2.06797
2,0.25,30,0,complied,10233,-5.655322,2.840971
2,0.25,30,0,refused,30760,-5.542504,2.928519
2,0.25,30,1,complied,10233,2.337108,1.314484
2,0.25,30,1,refused,30760,2.343415,1.282108
2,0.25,30,2,complied,10233,4.886894,1.354992
2,0.25,30,2,refused,30760,4.921756,1.314934
2,0.25,30,3,complied,10233,-1.418183,1.281345
2,0.25,30,3,refused,30760,-1.35057,1.260806
2,0.25,30,4,complied,10233,-1.41124,1.510875
2,0.25,30,4,refused,30760,-1.578729,1.477748
3,0.35,18,0,complied,10233,1.824322,1.226282
3,0.35,18,0,refused,30762,1.792095,1.240562
3,0.35,18,1,complied,10233,-9.008496,1.468466
3,0.35,18,1,refused,30762,-8.678448,1.490788
3,0.35,18,2,complied,10233,-5.311546,1.170533
3,0.35,18,2,refused,30762,-5.195416,1.205624
3,0.35,18,3,complied,10233,-13.730034,1.805768
3,0.35,18,3,refused,30762,-13.40831,1.850139
3,0.35,18,4,complied,10233,-6.425486,1.220232
3,0.35,18,4,refused,30762,-6.317057,1.285068
3,0.35,19,0,complied,10233,3.190738,1.414931
3,0.35,19,0,refused,30762,3.145061,1.428555
3,0.35,19,1,complied,10233,-8.866665,1.753989
3,0.35,19,1,refused,30762,-8.663121,1.816073
3,0.35,19,2,complied,10233,-6.121069,1.424488
3,0.35,19,2,refused,30762,-5.987722,1.417325
3,0.35,19,3,complied,10233,-10.592714,1.700952
3,0.35,19,3,refused,30762,-10.342509,1.666064
3,0.35,19,4,complied,10233,-5.405683,1.551379
3,0.35,19,4,refused,30762,-5.317262,1.599358
3,0.35,20,0,complied,10233,1.529307,1.351466
3,0.35,20,0,refused,30762,1.486892,1.347161
3,0.35,20,1,complied,10233,-4.37551,1.472211
3,0.35,20,1,refused,30762,-4.300967,1.510508
3,0.35,20,2,complied,10233,-4.516611,1.588862
3,0.35,20,2,refused,30762,-4.378234,1.640247
3,0.35,20,3,complied,10233,-4.329517,1.479751
3,0.35,20,3,refused,30762,-4.193583,1.455952
3,0.35,20,4,complied,10233,1.590026,1.782663
3,0.35,20,4,refused,30762,1.557594,1.752124
3,0.35,21,0,complied,10233,0.032305,1.348328
3,0.35,21,0,refused,30762,0.03468,1.371944
3,0.35,21,1,complied,10233,-1.366987,1.38302
3,0.35,21,1,refused,30762,-1.399437,1.3653
3,0.35,21,2,complied,10233,-3.558828,1.618603
3,0.35,21,2,refused,30762,-3.496977,1.595086
3,0.35,21,3,complied,10233,-1.004231,1.327969
3,0.35,21,3,refused,30762,-1.006868,1.288328
3,0.35,21,4,complied,10233,6.318164,2.028874
3,0.35,21,4,refused,30762,6.166171,2.039446
3,0.35,30,0,complied,10233,-5.757089,2.893598
3,0.35,30,0,refused,30762,-5.641037,2.919574
3,0.35,30,1,complied,10233,2.462822,1.308352
3,0.35,30,1,refused,30762,2.460541,1.267237
3,0.35,30,2,complied,10233,5.145161,1.352395
3,0.35,30,2,refused,30762,5.062628,1.305184
3,0.35,30,3,complied,10233,-1.454402,1.330756
3,0.35,30,3,refused,30762,-1.339366,1.31415
3,0.35,30,4,complied,10233,-1.311595,1.458698
3,0.35,30,4,refused,30762,-1.447175,1.443186
4,0.45,18,0,complied,10226,1.848903,1.236578
4,0.45,18,0,refused,30746,1.831484,1.231871
4,0.45,18,1,complied,10226,-8.949039,1.546108
4,0.45,18,1,refused,30746,-8.755085,1.531946
4,0.45,18,2,complied,10226,-5.269597,1.210394
4,0.45,18,2,refused,30746,-5.228397,1.199269
4,0.45,18,3,complied,10226,-13.697124,1.839839
4,0.45,18,3,refused,30746,-13.447628,1.853868
4,0.45,18,4,complied,10226,-6.385958,1.305147
4,0.45,18,4,refused,30746,-6.341157,1.278596
4,0.45,19,0,complied,10226,3.262016,1.435504
4,0.45,19,0,refused,30746,3.205311,1.452372
4,0.45,19,1,complied,10226,-8.742284,1.850964
4,0.45,19,1,refused,30746,-8.66305,1.816799
4,0.45,19,2,complied,10226,-6.069187,1.443988
4,0.45,19,2,refused,30746,-6.008793,1.413565
4,0.45,19,3,complied,10226,-10.527703,1.71142
4,0.45,19,3,refused,30746,-10.362554,1.666576
4,0.45,19,4,complied,10226,-5.391426,1.624167
4,0.45,19,4,refused,30746,-5.339498,1.597085
4,0.45,20,0,complied,10226,1.570904,1.372473
4,0.45,20,0,refused,30746,1.524045,1.368277
4,0.45,20,1,complied,10226,-4.339633,1.485469
4,0.45,20,1,refused,30746,-4.376836,1.511811
4,0.45,20,2,complied,10226,-4.445019,1.625198
4,0.45,20,2,refused,30746,-4.422747,1.630874
4,0.45,20,3,complied,10226,-4.298589,1.486279
4,0.45,20,3,refused,30746,-4.247241,1.438645
4,0.45,20,4,complied,10226,1.588722,1.7388
4,0.45,20,4,refused,30746,1.51102,1.758165
4,0.45,21,0,complied,10226,0.094732,1.367293
4,0.45,21,0,refused,30746,0.0714,1.363195
4,0.45,21,1,complied,10226,-1.379606,1.3541
