layer,pair,cosine_similarity
0,eoi_vs_startofthink,
0,eoi_vs_endofthink,
0,eoi_vs_behavioral,
0,startofthink_vs_endofthink,
0,startofthink_vs_behavioral,
0,endofthink_vs_behavioral,
1,eoi_vs_startofthink,0.313925
1,eoi_vs_endofthink,0.073194
1,eoi_vs_behavioral,0.132153
1,startofthink_vs_endofthink,0.176171
1,startofthink_vs_behavioral,0.211209
1,endofthink_vs_behavioral,0.274339
2,eoi_vs_startofthink,0.104333
2,eoi_vs_endofthink,0.103834
2,eoi_vs_behavioral,0.136578
2,startofthink_vs_endofthink,0.169656
2,startofthink_vs_behavioral,0.094986
2,endofthink_vs_behavioral,0.269708
3,eoi_vs_startofthink,
3,eoi_vs_endofthink,0.148847
3,eoi_vs_behavioral,0.086603
3,startofthink_vs_endofthink,
3,startofthink_vs_behavioral,
3,endofthink_vs_behavioral,0.260504
4,eoi_vs_startofthink,
4,eoi_vs_endofthink,0.135532
4,eoi_vs_behavioral,0.021676
4,startofthink_vs_endofthink,
4,startofthink_vs_behavioral,
4,endofthink_vs_behavioral,0.194078
5,eoi_vs_startofthink,
5,eoi_vs_endofthink,0.123329
5,eoi_vs_behavioral,0.053837
5,startofthink_vs_endofthink,
5,startofthink_vs_behavioral,
5,endofthink_vs_behavioral,0.167712
6,eoi_vs_startofthink,
6,eoi_vs_endofthink,0.21804
6,eoi_vs_behavioral,0.099127
6,startofthink_vs_endofthink,
6,startofthink_vs_behavioral,
6,endofthink_vs_behavioral,0.209461
7,eoi_vs_startofthink,
7,eoi_vs_endofthink,0.245099
7,eoi_vs_behavioral,0.105814
7,startofthink_vs_endofthink,
7,startofthink_vs_behavioral,
7,endofthink_vs_behavioral,0.191347
8,eoi_vs_startofthink,
8,eoi_vs_endofthink,0.228373
8,eoi_vs_behavioral,0.06139
8,startofthink_vs_endofthink,
8,startofthink_vs_behavioral,
8,endofthink_vs_behavioral,0.22695
9,eoi_vs_startofthink,
9,eoi_vs_endofthink,0.208965
9,eoi_vs_behavioral,0.059597
9,startofthink_vs_endofthink,
9,startofthink_vs_behavioral,
9,endofthink_vs_behavioral,0.233722
10,eoi_vs_startofthink,
10,eoi_vs_endofthink,0.163247
10,eoi_vs_behavioral,0.067557
10,startofthink_vs_endofthink,
10,startofthink_vs_behavioral,
10,endofthink_vs_behavioral,0.292266
11,eoi_vs_startofthink,
11,eoi_vs_endofthink,0.119689
11,eoi_vs_behavioral,0.054931
11,startofthink_vs_endofthink,
11,startofthink_vs_behavioral,
11,endofthink_vs_behavioral,0.293737
12,eoi_vs_startofthink,
12,eoi_vs_endofthink,0.109467
12,eoi_vs_behavioral,0.05919
12,startofthink_vs_endofthink,
12,startofthink_vs_behavioral,
12,endofthink_vs_behavioral,0.266663
13,eoi_vs_startofthink,
13,eoi_vs_endofthink,0.129217
13,eoi_vs_behavioral,0.028902
13,startofthink_vs_endofthink,
13,startofthink_vs_behavioral,
13,endofthink_vs_behavioral,0.23013
14,eoi_vs_startofthink,
14,eoi_vs_endofthink,0.103613
14,eoi_vs_behavioral,0.024957
14,startofthink_vs_endofthink,
14,startofthink_vs_behavioral,
14,endofthink_vs_behavioral,0.229144
15,eoi_vs_startofthink,
15,eoi_vs_endofthink,0.084045
15,eoi_vs_behavioral,0.033402
15,startofthink_vs_endofthink,
15,startofthink_vs_behavioral,
15,endofthink_vs_behavioral,0.215533
16,eoi_vs_startofthink,
16,eoi_vs_endofthink,0.106253
16,eoi_vs_behavioral,-0.003486
16,startofthink_vs_endofthink,
16,startofthink_vs_behavioral,
16,endofthink_vs_behavioral,0.170713
17,eoi_vs_startofthink,
17,eoi_vs_endofthink,0.076382
17,eoi_vs_behavioral,-0.023568
17,startofthink_vs_endofthink,
17,startofthink_vs_behavioral,
17,endofthink_vs_behavioral,0.161517
18,eoi_vs_startofthink,
18,eoi_vs_endofthink,0.157385
18,eoi_vs_behavioral,-0.021215
18,startofthink_vs_endofthink,
18,startofthink_vs_behavioral,
18,endofthink_vs_behavioral,0.11711
19,eoi_vs_startofthink,
19,eoi_vs_endofthink,0.13518
19,eoi_vs_behavioral,-0.029445
19,startofthink_vs_endofthink,
19,startofthink_vs_behavioral,
19,endofthink_vs_behavioral,0.119445
