prompt_id,prompt_type,compliance,time_point,layer,rank,projection
harmless_0,harmless,,startofthink,3,0,1.5359601974487305
harmless_0,harmless,,startofthink,3,1,-0.6016607880592346
harmless_0,harmless,,startofthink,3,2,-0.09923392534255981
harmless_0,harmless,,startofthink,3,3,0.07347872853279114
harmless_0,harmless,,startofthink,3,4,-0.6248083710670471
harmless_0,harmless,,startofthink,21,0,7.518133163452148
harmless_0,harmless,,startofthink,21,1,-5.975423812866211
harmless_0,harmless,,startofthink,21,2,-0.4105491638183594
harmless_0,harmless,,startofthink,21,3,-1.9141898155212402
harmless_0,harmless,,startofthink,21,4,-4.591557025909424
harmless_0,harmless,,startofthink,22,0,6.6310930252075195
harmless_0,harmless,,startofthink,22,1,-3.7104415893554688
harmless_0,harmless,,startofthink,22,2,-0.04820871353149414
harmless_0,harmless,,startofthink,22,3,-1.2124688625335693
harmless_0,harmless,,startofthink,22,4,-2.41080904006958
harmless_0,harmless,,startofthink,23,0,7.008698463439941
harmless_0,harmless,,startofthink,23,1,-4.308805465698242
harmless_0,harmless,,startofthink,23,2,-0.8373353481292725
harmless_0,harmless,,startofthink,23,3,-1.6271443367004395
harmless_0,harmless,,startofthink,23,4,-2.710296392440796
harmless_0,harmless,,startofthink,26,0,7.31173038482666
harmless_0,harmless,,startofthink,26,1,-4.420198440551758
harmless_0,harmless,,startofthink,26,2,0.5109381675720215
harmless_0,harmless,,startofthink,26,3,-4.518824577331543
harmless_0,harmless,,startofthink,26,4,-2.2932724952697754
harmless_0,harmless,,endofthink,3,0,5.319344520568848
harmless_0,harmless,,endofthink,3,1,-0.6076018214225769
harmless_0,harmless,,endofthink,3,2,0.0020819157361984253
harmless_0,harmless,,endofthink,3,3,-0.2791939973831177
harmless_0,harmless,,endofthink,3,4,-0.4449715316295624
harmless_0,harmless,,endofthink,21,0,12.666082382202148
harmless_0,harmless,,endofthink,21,1,14.461045265197754
harmless_0,harmless,,endofthink,21,2,6.197610855102539
harmless_0,harmless,,endofthink,21,3,-3.865927219390869
harmless_0,harmless,,endofthink,21,4,12.619462966918945
harmless_0,harmless,,endofthink,22,0,13.970891952514648
harmless_0,harmless,,endofthink,22,1,14.005203247070312
harmless_0,harmless,,endofthink,22,2,10.654545783996582
harmless_0,harmless,,endofthink,22,3,-1.5883457660675049
harmless_0,harmless,,endofthink,22,4,18.70716094970703
harmless_0,harmless,,endofthink,23,0,14.01068115234375
harmless_0,harmless,,endofthink,23,1,13.395855903625488
harmless_0,harmless,,endofthink,23,2,13.824230194091797
harmless_0,harmless,,endofthink,23,3,-1.7036983966827393
harmless_0,harmless,,endofthink,23,4,18.471439361572266
harmless_0,harmless,,endofthink,26,0,15.623725891113281
harmless_0,harmless,,endofthink,26,1,11.458078384399414
harmless_0,harmless,,endofthink,26,2,11.846014022827148
harmless_0,harmless,,endofthink,26,3,-3.134761095046997
harmless_0,harmless,,endofthink,26,4,17.213960647583008
harmless_0,harmless,,endofresponse,3,0,1.7522592544555664
harmless_0,harmless,,endofresponse,3,1,-0.9856616258621216
harmless_0,harmless,,endofresponse,3,2,-0.28390127420425415
harmless_0,harmless,,endofresponse,3,3,-0.7534363269805908
harmless_0,harmless,,endofresponse,3,4,-0.7548208236694336
harmless_0,harmless,,endofresponse,21,0,5.477522373199463
harmless_0,harmless,,endofresponse,21,1,-7.147316932678223
harmless_0,harmless,,endofresponse,21,2,-5.698775768280029
harmless_0,harmless,,endofresponse,21,3,-8.05592155456543
harmless_0,harmless,,endofresponse,21,4,-5.000298023223877
harmless_0,harmless,,endofresponse,22,0,5.741416931152344
harmless_0,harmless,,endofresponse,22,1,-6.850113868713379
harmless_0,harmless,,endofresponse,22,2,-5.8607940673828125
harmless_0,harmless,,endofresponse,22,3,-9.426032066345215
harmless_0,harmless,,endofresponse,22,4,-4.584449768066406
harmless_0,harmless,,endofresponse,23,0,6.150177001953125
harmless_0,harmless,,endofresponse,23,1,-8.195693969726562
harmless_0,harmless,,endofresponse,23,2,-8.507425308227539
harmless_0,harmless,,endofresponse,23,3,-11.798957824707031
harmless_0,harmless,,endofresponse,23,4,-5.756868362426758
harmless_0,harmless,,endofresponse,26,0,4.48395299911499
harmless_0,harmless,,endofresponse,26,1,-11.605545997619629
harmless_0,harmless,,endofresponse,26,2,-13.034015655517578
harmless_0,harmless,,endofresponse,26,3,-32.73484802246094
harmless_0,harmless,,endofresponse,26,4,-9.438850402832031
harmless_1,harmless,,startofthink,3,0,1.8242512941360474
harmless_1,harmless,,startofthink,3,1,-0.6021438837051392
harmless_1,harmless,,startofthink,3,2,-0.13256114721298218
harmless_1,harmless,,startofthink,3,3,-0.028084859251976013
harmless_1,harmless,,startofthink,3,4,-0.6663072109222412
harmless_1,harmless,,startofthink,21,0,8.072830200195312
harmless_1,harmless,,startofthink,21,1,-4.912439346313477
harmless_1,harmless,,startofthink,21,2,0.7306749820709229
harmless_1,harmless,,startofthink,21,3,-1.223109245300293
harmless_1,harmless,,startofthink,21,4,-3.429892063140869
harmless_1,harmless,,startofthink,22,0,7.087131977081299
harmless_1,harmless,,startofthink,22,1,-2.9656074047088623
harmless_1,harmless,,startofthink,22,2,1.4268335103988647
harmless_1,harmless,,startofthink,22,3,-0.2727149724960327
harmless_1,harmless,,startofthink,22,4,-1.045757532119751
harmless_1,harmless,,startofthink,23,0,7.39122200012207
harmless_1,harmless,,startofthink,23,1,-3.0953290462493896
harmless_1,harmless,,startofthink,23,2,0.9654302597045898
harmless_1,harmless,,startofthink,23,3,-0.4928004741668701
harmless_1,harmless,,startofthink,23,4,-0.8712418079376221
harmless_1,harmless,,startofthink,26,0,8.109580993652344
harmless_1,harmless,,startofthink,26,1,-3.6683149337768555
harmless_1,harmless,,startofthink,26,2,1.529115915298462
harmless_1,harmless,,startofthink,26,3,-3.4904842376708984
harmless_1,harmless,,startofthink,26,4,-1.1295353174209595
harmless_1,harmless,,endofthink,3,0,5.823394775390625
harmless_1,harmless,,endofthink,3,1,-0.6394789814949036
harmless_1,harmless,,endofthink,3,2,0.05107841640710831
harmless_1,harmless,,endofthink,3,3,-0.38149577379226685
harmless_1,harmless,,endofthink,3,4,-0.44415193796157837
harmless_1,harmless,,endofthink,21,0,12.220490455627441
harmless_1,harmless,,endofthink,21,1,13.632518768310547
harmless_1,harmless,,endofthink,21,2,6.48972225189209
harmless_1,harmless,,endofthink,21,3,-3.5938265323638916
harmless_1,harmless,,endofthink,21,4,12.334190368652344
harmless_1,harmless,,endofthink,22,0,12.95294189453125
harmless_1,harmless,,endofthink,22,1,12.857599258422852
harmless_1,harmless,,endofthink,22,2,10.612112998962402
harmless_1,harmless,,endofthink,22,3,-1.5844475030899048
harmless_1,harmless,,endofthink,22,4,18.337568283081055
harmless_1,harmless,,endofthink,23,0,13.058652877807617
harmless_1,harmless,,endofthink,23,1,12.799448013305664
harmless_1,harmless,,endofthink,23,2,14.215444564819336
harmless_1,harmless,,endofthink,23,3,-0.8345546722412109
harmless_1,harmless,,endofthink,23,4,18.690366744995117
harmless_1,harmless,,endofthink,26,0,14.645710945129395
harmless_1,harmless,,endofthink,26,1,14.82009506225586
harmless_1,harmless,,endofthink,26,2,15.187704086303711
harmless_1,harmless,,endofthink,26,3,2.8837761878967285
harmless_1,harmless,,endofthink,26,4,20.444263458251953
harmless_1,harmless,,endofresponse,3,0,2.1801328659057617
harmless_1,harmless,,endofresponse,3,1,-0.9908102750778198
harmless_1,harmless,,endofresponse,3,2,-0.256342351436615
harmless_1,harmless,,endofresponse,3,3,-0.6280169486999512
harmless_1,harmless,,endofresponse,3,4,-0.6983731985092163
harmless_1,harmless,,endofresponse,21,0,4.452520847320557
harmless_1,harmless,,endofresponse,21,1,-8.088890075683594
harmless_1,harmless,,endofresponse,21,2,-6.798701286315918
harmless_1,harmless,,endofresponse,21,3,-8.47779655456543
harmless_1,harmless,,endofresponse,21,4,-6.075985431671143
harmless_1,harmless,,endofresponse,22,0,5.3597941398620605
harmless_1,harmless,,endofresponse,22,1,-8.142593383789062
harmless_1,harmless,,endofresponse,22,2,-6.857258319854736
harmless_1,harmless,,endofresponse,22,3,-9.54713249206543
harmless_1,harmless,,endofresponse,22,4,-6.131015777587891
harmless_1,harmless,,endofresponse,23,0,5.831133842468262
harmless_1,harmless,,endofresponse,23,1,-8.791204452514648
harmless_1,harmless,,endofresponse,23,2,-8.951461791992188
harmless_1,harmless,,endofresponse,23,3,-11.519218444824219
harmless_1,harmless,,endofresponse,23,4,-6.510676860809326
harmless_1,harmless,,endofresponse,26,0,4.856743335723877
harmless_1,harmless,,endofresponse,26,1,-11.882381439208984
harmless_1,harmless,,endofresponse,26,2,-12.238580703735352
harmless_1,harmless,,endofresponse,26,3,-30.494319915771484
harmless_1,harmless,,endofresponse,26,4,-9.449050903320312
harmless_2,harmless,,startofthink,3,0,0.9521985054016113
harmless_2,harmless,,startofthink,3,1,-0.5434005856513977
harmless_2,harmless,,startofthink,3,2,-0.11886146664619446
harmless_2,harmless,,startofthink,3,3,0.051020458340644836
harmless_2,harmless,,startofthink,3,4,-0.6202756762504578
harmless_2,harmless,,startofthink,21,0,7.277437686920166
