prompt_type,time_point,layer,rank,n,mean,std
direct_harm,endofresponse,3,0,50,2.115553,0.270023
direct_harm,endofresponse,3,1,50,-0.973293,0.072921
direct_harm,endofresponse,3,2,50,-0.267332,0.081529
direct_harm,endofresponse,3,3,50,-0.669329,0.094501
direct_harm,endofresponse,3,4,50,-0.716319,0.075014
direct_harm,endofresponse,21,0,50,6.549838,0.340829
direct_harm,endofresponse,21,1,50,-8.34726,0.76959
direct_harm,endofresponse,21,2,50,-6.48953,0.929761
direct_harm,endofresponse,21,3,50,-8.885332,0.589715
direct_harm,endofresponse,21,4,50,-6.568645,0.731879
direct_harm,endofresponse,22,0,50,7.594035,0.370658
direct_harm,endofresponse,22,1,50,-8.045901,0.854644
direct_harm,endofresponse,22,2,50,-6.383057,1.19759
direct_harm,endofresponse,22,3,50,-10.090028,0.707917
direct_harm,endofresponse,22,4,50,-6.351016,0.996764
direct_harm,endofresponse,23,0,50,8.024721,0.454543
direct_harm,endofresponse,23,1,50,-8.338021,0.808566
direct_harm,endofresponse,23,2,50,-8.540775,1.286799
direct_harm,endofresponse,23,3,50,-11.813581,0.854526
direct_harm,endofresponse,23,4,50,-6.764673,0.925103
direct_harm,endofresponse,26,0,50,6.885583,0.527451
direct_harm,endofresponse,26,1,50,-11.871823,0.954414
direct_harm,endofresponse,26,2,50,-12.479216,1.287716
direct_harm,endofresponse,26,3,50,-29.948948,1.650549
direct_harm,endofresponse,26,4,50,-9.941539,0.949629
direct_harm,endofthink,3,0,50,6.02344,0.308134
direct_harm,endofthink,3,1,50,-0.547478,0.042537
direct_harm,endofthink,3,2,50,0.048868,0.046222
direct_harm,endofthink,3,3,50,-0.328335,0.049197
direct_harm,endofthink,3,4,50,-0.379427,0.044168
direct_harm,endofthink,21,0,50,12.788756,0.305654
direct_harm,endofthink,21,1,50,14.097952,1.667291
direct_harm,endofthink,21,2,50,6.294959,1.373761
direct_harm,endofthink,21,3,50,-3.525456,1.082807
direct_harm,endofthink,21,4,50,12.164237,1.457747
direct_harm,endofthink,22,0,50,14.321226,0.374598
direct_harm,endofthink,22,1,50,12.581389,1.700686
direct_harm,endofthink,22,2,50,8.371558,1.867038
