layer,subspace_rank,n_complied,n_refused,auc_raw,auc,p_value
26,4,108,91,0.7502,0.7502,0.0
23,4,108,91,0.7496,0.7496,0.0
23,1,108,91,0.7451,0.7451,0.0
26,1,108,91,0.7437,0.7437,0.0
21,1,108,91,0.7373,0.7373,0.0
22,4,108,91,0.7322,0.7322,0.0
22,1,108,91,0.7191,0.7191,0.0
21,4,108,91,0.7173,0.7173,0.0
26,2,108,91,0.6956,0.6956,0.0
3,0,108,91,0.682,0.682,0.0
3,3,108,91,0.3226,0.6774,0.0
26,3,108,91,0.6756,0.6756,0.0
23,3,108,91,0.6741,0.6741,0.0
3,2,108,91,0.3296,0.6704,0.0
22,3,108,91,0.6676,0.6676,0.0
26,0,108,91,0.6615,0.6615,0.0001
21,3,108,91,0.6491,0.6491,0.0003
23,2,108,91,0.6486,0.6486,0.0003
23,0,108,91,0.6375,0.6375,0.0008
22,0,108,91,0.6332,0.6332,0.0012
3,4,108,91,0.3718,0.6282,0.0019
22,2,108,91,0.6189,0.6189,0.0039
21,0,108,91,0.6156,0.6156,0.005
3,1,108,91,0.4069,0.5931,0.0238
21,2,108,91,0.5026,0.5026,0.9498
