bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,3,0,complied,30735,1.378139,0.594076
0,0.05,3,0,refused,27821,1.20821,0.518504
0,0.05,3,1,complied,30735,-0.290667,0.325282
0,0.05,3,1,refused,27821,-0.27889,0.286941
0,0.05,3,2,complied,30735,0.473986,0.36326
0,0.05,3,2,refused,27821,0.520573,0.341625
0,0.05,3,3,complied,30735,0.138066,0.329695
0,0.05,3,3,refused,27821,0.185585,0.302108
0,0.05,3,4,complied,30735,-0.286228,0.319537
0,0.05,3,4,refused,27821,-0.270206,0.289884
0,0.05,21,0,complied,30735,5.168622,2.269559
0,0.05,21,0,refused,27821,4.825059,2.125537
0,0.05,21,1,complied,30735,-1.533076,2.155932
0,0.05,21,1,refused,27821,-1.976227,2.103625
0,0.05,21,2,complied,30735,2.474432,2.169341
0,0.05,21,2,refused,27821,2.176388,1.998145
0,0.05,21,3,complied,30735,2.230685,1.838383
0,0.05,21,3,refused,27821,1.744781,1.761041
0,0.05,21,4,complied,30735,-1.21792,2.122538
0,0.05,21,4,refused,27821,-1.626204,2.044995
0,0.05,22,0,complied,30735,6.176467,2.477031
0,0.05,22,0,refused,27821,5.862888,2.29325
0,0.05,22,1,complied,30735,-1.931829,2.389915
0,0.05,22,1,refused,27821,-2.407267,2.347679
0,0.05,22,2,complied,30735,3.172529,2.501368
0,0.05,22,2,refused,27821,2.731289,2.352839
0,0.05,22,3,complied,30735,2.931263,2.256649
0,0.05,22,3,refused,27821,2.198939,2.209293
0,0.05,22,4,complied,30735,-1.572659,2.514169
0,0.05,22,4,refused,27821,-2.113488,2.441863
0,0.05,23,0,complied,30735,6.971914,2.813427
0,0.05,23,0,refused,27821,6.620244,2.594288
0,0.05,23,1,complied,30735,-2.640103,2.859675
0,0.05,23,1,refused,27821,-3.168009,2.765905
0,0.05,23,2,complied,30735,3.193813,2.883487
0,0.05,23,2,refused,27821,2.697612,2.720803
0,0.05,23,3,complied,30735,2.747806,2.515504
0,0.05,23,3,refused,27821,1.958367,2.456453
0,0.05,23,4,complied,30735,-2.141109,2.85747
0,0.05,23,4,refused,27821,-2.689711,2.760988
0,0.05,26,0,complied,30735,8.850661,3.535562
0,0.05,26,0,refused,27821,8.264021,3.2173
0,0.05,26,1,complied,30735,-3.391359,3.919513
0,0.05,26,1,refused,27821,-4.044599,3.875149
0,0.05,26,2,complied,30735,4.85502,3.792042
0,0.05,26,2,refused,27821,4.371104,3.62675
0,0.05,26,3,complied,30735,4.515719,3.717184
0,0.05,26,3,refused,27821,3.740455,3.549666
0,0.05,26,4,complied,30735,-2.76313,3.760216
0,0.05,26,4,refused,27821,-3.355671,3.736477
1,0.15,3,0,complied,30634,1.433258,0.609034
1,0.15,3,0,refused,27730,1.243193,0.538617
1,0.15,3,1,complied,30634,-0.221216,0.320549
1,0.15,3,1,refused,27730,-0.215961,0.287862
1,0.15,3,2,complied,30634,0.561162,0.336134
1,0.15,3,2,refused,27730,0.610652,0.309249
1,0.15,3,3,complied,30634,0.203292,0.312205
1,0.15,3,3,refused,27730,0.258626,0.27963
1,0.15,3,4,complied,30634,-0.215139,0.30869
1,0.15,3,4,refused,27730,-0.197953,0.280274
1,0.15,21,0,complied,30634,4.99664,2.132933
1,0.15,21,0,refused,27730,4.780274,2.051358
1,0.15,21,1,complied,30634,-1.687883,1.846102
1,0.15,21,1,refused,27730,-2.149693,1.875925
1,0.15,21,2,complied,30634,2.384,1.915079
1,0.15,21,2,refused,27730,2.212231,1.822725
1,0.15,21,3,complied,30634,1.684829,1.687841
1,0.15,21,3,refused,27730,1.307853,1.627206
1,0.15,21,4,complied,30634,-1.303169,1.863307
1,0.15,21,4,refused,27730,-1.714531,1.872634
1,0.15,22,0,complied,30634,6.174039,2.277558
1,0.15,22,0,refused,27730,5.91792,2.201652
1,0.15,22,1,complied,30634,-2.237037,2.043459
1,0.15,22,1,refused,27730,-2.67892,2.106963
1,0.15,22,2,complied,30634,3.092564,2.288776
1,0.15,22,2,refused,27730,2.694356,2.256065
1,0.15,22,3,complied,30634,2.245829,2.191334
1,0.15,22,3,refused,27730,1.55398,2.200049
1,0.15,22,4,complied,30634,-1.869123,2.241892
1,0.15,22,4,refused,27730,-2.414583,2.296477
1,0.15,23,0,complied,30634,6.899827,2.621461
1,0.15,23,0,refused,27730,6.60937,2.498596
1,0.15,23,1,complied,30634,-3.092013,2.382869
1,0.15,23,1,refused,27730,-3.661584,2.42373
1,0.15,23,2,complied,30634,3.142511,2.612463
1,0.15,23,2,refused,27730,2.589234,2.625069
1,0.15,23,3,complied,30634,2.093454,2.442604
1,0.15,23,3,refused,27730,1.25081,2.506199
1,0.15,23,4,complied,30634,-2.551229,2.494173
1,0.15,23,4,refused,27730,-3.239823,2.56905
1,0.15,26,0,complied,30634,9.043042,3.253111
1,0.15,26,0,refused,27730,8.510328,3.037912
1,0.15,26,1,complied,30634,-3.964353,3.209623
1,0.15,26,1,refused,27730,-4.816659,3.341653
1,0.15,26,2,complied,30634,4.769398,3.418132
1,0.15,26,2,refused,27730,4.002031,3.464637
1,0.15,26,3,complied,30634,3.319367,3.737217
1,0.15,26,3,refused,27730,2.297714,3.780028
1,0.15,26,4,complied,30634,-3.233809,3.322566
1,0.15,26,4,refused,27730,-4.204179,3.552872
2,0.25,3,0,complied,30638,1.425978,0.59953
2,0.25,3,0,refused,27730,1.230225,0.524954
2,0.25,3,1,complied,30638,-0.225907,0.317953
2,0.25,3,1,refused,27730,-0.205351,0.282323
2,0.25,3,2,complied,30638,0.573008,0.333745
2,0.25,3,2,refused,27730,0.631217,0.307287
2,0.25,3,3,complied,30638,0.21213,0.308954
2,0.25,3,3,refused,27730,0.27397,0.27815
2,0.25,3,4,complied,30638,-0.215238,0.307606
2,0.25,3,4,refused,27730,-0.186256,0.27631
2,0.25,21,0,complied,30638,4.862875,2.080538
2,0.25,21,0,refused,27730,4.665606,1.992225
2,0.25,21,1,complied,30638,-1.499316,1.760412
2,0.25,21,1,refused,27730,-1.919411,1.759662
2,0.25,21,2,complied,30638,2.432236,1.835363
2,0.25,21,2,refused,27730,2.364286,1.749297
2,0.25,21,3,complied,30638,1.608144,1.582107
2,0.25,21,3,refused,27730,1.323667,1.513389
2,0.25,21,4,complied,30638,-1.160516,1.782489
2,0.25,21,4,refused,27730,-1.511694,1.759996
2,0.25,22,0,complied,30638,6.097126,2.235687
2,0.25,22,0,refused,27730,5.875926,2.16571
2,0.25,22,1,complied,30638,-2.100489,1.945462
2,0.25,22,1,refused,27730,-2.522943,1.969489
2,0.25,22,2,complied,30638,3.155816,2.158168
2,0.25,22,2,refused,27730,2.894045,2.085844
2,0.25,22,3,complied,30638,2.12513,2.045009
2,0.25,22,3,refused,27730,1.547268,2.01869
2,0.25,22,4,complied,30638,-1.814351,2.130559
2,0.25,22,4,refused,27730,-2.288741,2.141438
2,0.25,23,0,complied,30638,6.785715,2.565338
2,0.25,23,0,refused,27730,6.521726,2.464887
2,0.25,23,1,complied,30638,-2.970451,2.267981
2,0.25,23,1,refused,27730,-3.508168,2.265006
2,0.25,23,2,complied,30638,3.229767,2.480718
2,0.25,23,2,refused,27730,2.882296,2.421118
2,0.25,23,3,complied,30638,2.002827,2.277657
2,0.25,23,3,refused,27730,1.323065,2.274885
2,0.25,23,4,complied,30638,-2.498161,2.367807
2,0.25,23,4,refused,27730,-3.09461,2.389456
2,0.25,26,0,complied,30638,8.967368,3.197911
2,0.25,26,0,refused,27730,8.501807,2.961254
2,0.25,26,1,complied,30638,-3.727445,3.044228
2,0.25,26,1,refused,27730,-4.558136,3.098998
2,0.25,26,2,complied,30638,4.817782,3.214469
2,0.25,26,2,refused,27730,4.270584,3.141558
2,0.25,26,3,complied,30638,3.137985,3.524612
2,0.25,26,3,refused,27730,2.167406,3.469623
2,0.25,26,4,complied,30638,-3.162617,3.151567
2,0.25,26,4,refused,27730,-4.029209,3.25421
3,0.35,3,0,complied,30632,1.409572,0.598768
3,0.35,3,0,refused,27731,1.210316,0.513175
3,0.35,3,1,complied,30632,-0.222571,0.316563
3,0.35,3,1,refused,27731,-0.204808,0.280793
3,0.35,3,2,complied,30632,0.580695,0.334039
3,0.35,3,2,refused,27731,0.632928,0.305839
3,0.35,3,3,complied,30632,0.216364,0.311461
3,0.35,3,3,refused,27731,0.276413,0.274947
3,0.35,3,4,complied,30632,-0.210614,0.3058
3,0.35,3,4,refused,27731,-0.185219,0.275237
3,0.35,21,0,complied,30632,4.697692,2.056567
3,0.35,21,0,refused,27731,4.561635,1.932442
3,0.35,21,1,complied,30632,-1.483856,1.733339
3,0.35,21,1,refused,27731,-1.899922,1.718864
3,0.35,21,2,complied,30632,2.347656,1.80986
3,0.35,21,2,refused,27731,2.34961,1.727246
3,0.35,21,3,complied,30632,1.459226,1.539639
3,0.35,21,3,refused,27731,1.258538,1.464299
3,0.35,21,4,complied,30632,-1.162571,1.742671
3,0.35,21,4,refused,27731,-1.512299,1.721724
3,0.35,22,0,complied,30632,5.996674,2.229164
3,0.35,22,0,refused,27731,5.790089,2.123894
3,0.35,22,1,complied,30632,-2.11963,1.90654
3,0.35,22,1,refused,27731,-2.57056,1.928183
3,0.35,22,2,complied,30632,3.08405,2.098672
3,0.35,22,2,refused,27731,2.883575,2.028604
3,0.35,22,3,complied,30632,1.949218,1.958881
3,0.35,22,3,refused,27731,1.436263,1.93714
3,0.35,22,4,complied,30632,-1.880141,2.078973
3,0.35,22,4,refused,27731,-2.371663,2.098009
3,0.35,23,0,complied,30632,6.630015,2.564657
3,0.35,23,0,refused,27731,6.400442,2.424615
3,0.35,23,1,complied,30632,-2.966801,2.232716
3,0.35,23,1,refused,27731,-3.525747,2.220657
3,0.35,23,2,complied,30632,3.168926,2.435192
3,0.35,23,2,refused,27731,2.896637,2.370577
3,0.35,23,3,complied,30632,1.819156,2.213376
3,0.35,23,3,refused,27731,1.248198,2.191764
3,0.35,23,4,complied,30632,-2.549546,2.328929
3,0.35,23,4,refused,27731,-3.150848,2.345294
3,0.35,26,0,complied,30632,8.741161,3.207632
3,0.35,26,0,refused,27731,8.342316,2.922177
3,0.35,26,1,complied,30632,-3.675466,3.009394
3,0.35,26,1,refused,27731,-4.595855,3.01349
3,0.35,26,2,complied,30632,4.706367,3.167091
3,0.35,26,2,refused,27731,4.194259,3.091712
3,0.35,26,3,complied,30632,2.850583,3.449422
3,0.35,26,3,refused,27731,2.002574,3.346812
3,0.35,26,4,complied,30632,-3.241867,3.124737
3,0.35,26,4,refused,27731,-4.17197,3.177499
4,0.45,3,0,complied,30634,1.382663,0.579551
4,0.45,3,0,refused,27730,1.195396,0.506525
4,0.45,3,1,complied,30634,-0.228727,0.315705
4,0.45,3,1,refused,27730,-0.208074,0.279383
4,0.45,3,2,complied,30634,0.582488,0.331432
4,0.45,3,2,refused,27730,0.63563,0.30453
4,0.45,3,3,complied,30634,0.221503,0.304775
4,0.45,3,3,refused,27730,0.276339,0.275698
4,0.45,3,4,complied,30634,-0.214102,0.303954
4,0.45,3,4,refused,27730,-0.186389,0.273118
4,0.45,21,0,complied,30634,4.616243,2.017217
4,0.45,21,0,refused,27730,4.418758,1.915129
4,0.45,21,1,complied,30634,-1.545222,1.719458
4,0.45,21,1,refused,27730,-1.852751,1.643015
4,0.45,21,2,complied,30634,2.327739,1.770409
4,0.45,21,2,refused,27730,2.329239,1.698526
4,0.45,21,3,complied,30634,1.3647,1.493758
4,0.45,21,3,refused,27730,1.168716,1.389486
4,0.45,21,4,complied,30634,-1.181893,1.716082
4,0.45,21,4,refused,27730,-1.478392,1.644318
4,0.45,22,0,complied,30634,5.904017,2.193677
4,0.45,22,0,refused,27730,5.680585,2.112642
4,0.45,22,1,complied,30634,-2.196094,1.892059
4,0.45,22,1,refused,27730,-2.542459,1.841239
4,0.45,22,2,complied,30634,3.057523,2.03216
4,0.45,22,2,refused,27730,2.888165,1.960117
4,0.45,22,3,complied,30634,1.790661,1.901656
4,0.45,22,3,refused,27730,1.335934,1.798103
4,0.45,22,4,complied,30634,-1.925131,2.033725
4,0.45,22,4,refused,27730,-2.361273,1.984714
4,0.45,23,0,complied,30634,6.520234,2.528988
4,0.45,23,0,refused,27730,6.260584,2.406978
4,0.45,23,1,complied,30634,-3.016904,2.216642
4,0.45,23,1,refused,27730,-3.484538,2.144381
4,0.45,23,2,complied,30634,3.176997,2.357758
4,0.45,23,2,refused,27730,2.919404,2.290524
4,0.45,23,3,complied,30634,1.693297,2.15753
4,0.45,23,3,refused,27730,1.147526,2.051577
4,0.45,23,4,complied,30634,-2.563264,2.284411
4,0.45,23,4,refused,27730,-3.125218,2.242631
4,0.45,26,0,complied,30634,8.579562,3.155283
4,0.45,26,0,refused,27730,8.211516,2.955066
4,0.45,26,1,complied,30634,-3.658977,2.955424
4,0.45,26,1,refused,27730,-4.495646,2.888486
4,0.45,26,2,complied,30634,4.707364,3.07002
4,0.45,26,2,refused,27730,4.201727,3.015594
4,0.45,26,3,complied,30634,2.771253,3.299859
4,0.45,26,3,refused,27730,1.843391,3.171883
4,0.45,26,4,complied,30634,-3.228903,3.026937
4,0.45,26,4,refused,27730,-4.170916,3.051503
5,0.55,3,0,complied,30640,1.362763,0.573619
5,0.55,3,0,refused,27730,1.175259,0.493141
5,0.55,3,1,complied,30640,-0.232366,0.313489
5,0.55,3,1,refused,27730,-0.216018,0.281465
5,0.55,3,2,complied,30640,0.582666,0.326574
5,0.55,3,2,refused,27730,0.629886,0.30638
5,0.55,3,3,complied,30640,0.221929,0.303596
5,0.55,3,3,refused,27730,0.277329,0.275493
5,0.55,3,4,complied,30640,-0.217955,0.302873
5,0.55,3,4,refused,27730,-0.193935,0.275452
5,0.55,21,0,complied,30640,4.538774,1.989731
5,0.55,21,0,refused,27730,4.371905,1.896229
5,0.55,21,1,complied,30640,-1.479471,1.714133
5,0.55,21,1,refused,27730,-1.790589,1.66773
5,0.55,21,2,complied,30640,2.349001,1.776799
5,0.55,21,2,refused,27730,2.352301,1.726105
5,0.55,21,3,complied,30640,1.300207,1.489673
5,0.55,21,3,refused,27730,1.162751,1.413972
5,0.55,21,4,complied,30640,-1.139524,1.71499
5,0.55,21,4,refused,27730,-1.419631,1.670059
5,0.55,22,0,complied,30640,5.873415,2.165511
5,0.55,22,0,refused,27730,5.638206,2.089085
5,0.55,22,1,complied,30640,-2.12154,1.883137
5,0.55,22,1,refused,27730,-2.474394,1.870815
5,0.55,22,2,complied,30640,3.085049,2.043272
5,0.55,22,2,refused,27730,2.929124,2.002421
5,0.55,22,3,complied,30640,1.696654,1.905346
