layer,subspace_rank,n_complied,n_refused,auc_raw,auc,p_value
37,0,108,91,0.264,0.736,0.0
36,0,108,91,0.2678,0.7322,0.0
35,0,108,91,0.2694,0.7306,0.0
33,0,108,91,0.2697,0.7303,0.0
38,0,108,91,0.2712,0.7288,0.0
34,0,108,91,0.2729,0.7271,0.0
31,0,108,91,0.2741,0.7259,0.0
32,0,108,91,0.2763,0.7237,0.0
34,1,108,91,0.7093,0.7093,0.0
1,3,108,91,0.7065,0.7065,0.0
9,2,108,91,0.7065,0.7065,0.0
30,0,108,91,0.2943,0.7057,0.0
1,2,108,91,0.2979,0.7021,0.0
36,1,108,91,0.699,0.699,0.0
17,0,108,91,0.3013,0.6987,0.0
35,1,108,91,0.6982,0.6982,0.0
1,1,108,91,0.3026,0.6974,0.0
26,1,108,91,0.6971,0.6971,0.0
0,2,108,91,0.3047,0.6953,0.0
18,0,108,91,0.3064,0.6936,0.0
0,3,108,91,0.6909,0.6909,0.0
0,0,108,91,0.3093,0.6907,0.0
37,1,108,91,0.6889,0.6889,0.0
2,3,108,91,0.6874,0.6874,0.0
1,0,108,91,0.3128,0.6872,0.0
2,1,108,91,0.3129,0.6871,0.0
29,0,108,91,0.3136,0.6864,0.0
28,0,108,91,0.3148,0.6852,0.0
39,1,108,91,0.6841,0.6841,0.0
14,0,108,91,0.316,0.684,0.0
39,0,108,91,0.3163,0.6837,0.0
12,4,108,91,0.3167,0.6833,0.0
33,1,108,91,0.6827,0.6827,0.0
38,1,108,91,0.6801,0.6801,0.0
0,1,108,91,0.32,0.68,0.0
11,4,108,91,0.3213,0.6787,0.0
15,0,108,91,0.3224,0.6776,0.0
27,0,108,91,0.3253,0.6747,0.0
10,4,108,91,0.3258,0.6742,0.0
27,1,108,91,0.6736,0.6736,0.0
3,3,108,91,0.6711,0.6711,0.0
2,2,108,91,0.3304,0.6696,0.0
24,1,108,91,0.6691,0.6691,0.0
23,1,108,91,0.6687,0.6687,0.0
9,0,108,91,0.3325,0.6675,0.0
16,0,108,91,0.3344,0.6656,0.0001
32,1,108,91,0.6655,0.6655,0.0001
4,3,108,91,0.6639,0.6639,0.0001
22,1,108,91,0.6614,0.6614,0.0001
13,4,108,91,0.3393,0.6607,0.0001
5,3,108,91,0.6591,0.6591,0.0001
10,3,108,91,0.3414,0.6586,0.0001
1,4,108,91,0.6568,0.6568,0.0001
11,3,108,91,0.3462,0.6538,0.0002
8,0,108,91,0.3471,0.6529,0.0002
19,0,108,91,0.3475,0.6525,0.0002
3,2,108,91,0.3487,0.6513,0.0002
37,3,108,91,0.3492,0.6508,0.0003
29,1,108,91,0.6484,0.6484,0.0003
26,0,108,91,0.3525,0.6475,0.0003
25,1,108,91,0.6445,0.6445,0.0005
38,3,108,91,0.3562,0.6438,0.0005
4,1,108,91,0.3563,0.6437,0.0005
0,4,108,91,0.6429,0.6429,0.0005
6,4,108,91,0.3578,0.6422,0.0006
25,0,108,91,0.3603,0.6397,0.0007
28,1,108,91,0.6393,0.6393,0.0007
3,1,108,91,0.3639,0.6361,0.001
36,3,108,91,0.3652,0.6348,0.0011
13,0,108,91,0.366,0.634,0.0011
12,0,108,91,0.3681,0.6319,0.0014
10,0,108,91,0.3705,0.6295,0.0017
7,2,108,91,0.6294,0.6294,0.0017
5,0,108,91,0.3737,0.6263,0.0022
22,0,108,91,0.3767,0.6233,0.0028
2,4,108,91,0.6229,0.6229,0.0028
20,0,108,91,0.3773,0.6227,0.0029
7,0,108,91,0.3783,0.6217,0.0031
14,4,108,91,0.3788,0.6212,0.0033
4,2,108,91,0.3806,0.6194,0.0038
11,0,108,91,0.3826,0.6174,0.0044
23,0,108,91,0.3852,0.6148,0.0053
35,3,108,91,0.388,0.612,0.0065
6,0,108,91,0.3901,0.6099,0.0076
39,3,108,91,0.3911,0.6089,0.0082
21,0,108,91,0.3915,0.6085,0.0085
9,4,108,91,0.3926,0.6074,0.0091
31,1,108,91,0.6059,0.6059,0.0101
34,3,108,91,0.3947,0.6053,0.0106
5,1,108,91,0.397,0.603,0.0124
33,3,108,91,0.3999,0.6001,0.0151
29,3,108,91,0.4001,0.5999,0.0153
27,3,108,91,0.4012,0.5988,0.0165
25,3,108,91,0.4022,0.5978,0.0176
22,3,108,91,0.4024,0.5976,0.0179
8,2,108,91,0.5957,0.5957,0.0201
7,4,108,91,0.4062,0.5938,0.0228
18,1,108,91,0.5937,0.5937,0.0229
21,1,108,91,0.5931,0.5931,0.0238
32,3,108,91,0.408,0.592,0.0256
26,3,108,91,0.4083,0.5917,0.0261
20,1,108,91,0.5886,0.5886,0.0315
10,1,108,91,0.5883,0.5883,0.0321
19,1,108,91,0.5875,0.5875,0.0337
3,4,108,91,0.5864,0.5864,0.036
24,0,108,91,0.4138,0.5862,0.0365
9,3,108,91,0.4181,0.5819,0.0468
10,2,108,91,0.5811,0.5811,0.0491
16,2,108,91,0.5778,0.5778,0.0589
13,1,108,91,0.5776,0.5776,0.0596
14,3,108,91,0.4229,0.5771,0.0613
8,4,108,91,0.4251,0.5749,0.0692
11,1,108,91,0.5722,0.5722,0.0796
34,2,108,91,0.5721,0.5721,0.08
23,3,108,91,0.4282,0.5718,0.0813
15,2,108,91,0.5695,0.5695,0.0917
28,3,108,91,0.4306,0.5694,0.0922
36,2,108,91,0.569,0.569,0.0941
11,2,108,91,0.5686,0.5686,0.0961
13,3,108,91,0.4335,0.5665,0.1064
35,2,108,91,0.5654,0.5654,0.1124
37,2,108,91,0.5653,0.5653,0.113
30,1,108,91,0.5613,0.5613,0.1372
31,3,108,91,0.4399,0.5601,0.1446
30,3,108,91,0.4424,0.5576,0.1623
6,2,108,91,0.5542,0.5542,0.1883
27,4,108,91,0.446,0.554,0.1899
4,0,108,91,0.4479,0.5521,0.2063
39,4,108,91,0.5502,0.5502,0.2236
26,4,108,91,0.452,0.548,0.244
23,4,108,91,0.4533,0.5467,0.2573
8,3,108,91,0.4537,0.5463,0.2614
14,2,108,91,0.5461,0.5461,0.2635
32,4,108,91,0.5447,0.5447,0.2786
6,1,108,91,0.4558,0.5442,0.2841
24,3,108,91,0.4566,0.5434,0.292
5,4,108,91,0.4574,0.5426,0.3011
22,4,108,91,0.4576,0.5424,0.3034
31,4,108,91,0.5403,0.5403,0.3285
12,3,108,91,0.4601,0.5399,0.3334
15,4,108,91,0.4601,0.5399,0.3334
25,4,108,91,0.4605,0.5395,0.3383
29,2,108,91,0.5389,0.5389,0.3459
28,4,108,91,0.4612,0.5388,0.3471
17,3,108,91,0.5381,0.5381,0.3561
30,4,108,91,0.5375,0.5375,0.3626
36,4,108,91,0.5367,0.5367,0.3731
18,2,108,91,0.5365,0.5365,0.3757
17,1,108,91,0.5356,0.5356,0.3878
33,4,108,91,0.5355,0.5355,0.3892
38,2,108,91,0.535,0.535,0.396
28,2,108,91,0.5348,0.5348,0.3988
35,4,108,91,0.5348,0.5348,0.3988
14,1,108,91,0.534,0.534,0.4099
15,1,108,91,0.5335,0.5335,0.417
27,2,108,91,0.5327,0.5327,0.4284
24,4,108,91,0.4686,0.5314,0.4459
18,3,108,91,0.5282,0.5282,0.4945
21,2,108,91,0.4722,0.5278,0.5008
9,1,108,91,0.5271,0.5271,0.5118
26,2,108,91,0.5264,0.5264,0.523
4,4,108,91,0.5261,0.5261,0.5262
