bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,0,0,complied,30735,0.013986,0.026617
0,0.05,0,0,refused,27821,0.016832,0.027133
0,0.05,0,1,complied,30735,0.035815,0.05189
0,0.05,0,1,refused,27821,0.042941,0.053893
0,0.05,0,2,complied,30735,0.017776,0.033261
0,0.05,0,2,refused,27821,0.021629,0.033622
0,0.05,0,3,complied,30735,-0.027124,0.063294
0,0.05,0,3,refused,27821,-0.033642,0.068238
0,0.05,0,4,complied,30735,0.00219,0.029022
0,0.05,0,4,refused,27821,0.001162,0.029345
0,0.05,1,0,complied,30735,0.63283,0.201023
0,0.05,1,0,refused,27821,0.643744,0.193653
0,0.05,1,1,complied,30735,0.636331,0.292322
0,0.05,1,1,refused,27821,0.668213,0.287492
0,0.05,1,2,complied,30735,0.028615,0.234462
0,0.05,1,2,refused,27821,0.052363,0.231073
0,0.05,1,3,complied,30735,-2.18903,0.446828
0,0.05,1,3,refused,27821,-2.235641,0.421205
0,0.05,1,4,complied,30735,-0.492534,0.151623
0,0.05,1,4,refused,27821,-0.508694,0.141345
0,0.05,2,0,complied,30735,0.982671,0.306224
0,0.05,2,0,refused,27821,0.97035,0.286747
0,0.05,2,1,complied,30735,0.815572,0.395141
0,0.05,2,1,refused,27821,0.844748,0.374593
0,0.05,2,2,complied,30735,-0.02545,0.307369
0,0.05,2,2,refused,27821,-0.008145,0.291216
0,0.05,2,3,complied,30735,-3.223303,0.761973
0,0.05,2,3,refused,27821,-3.291763,0.716117
0,0.05,2,4,complied,30735,-0.799902,0.247695
0,0.05,2,4,refused,27821,-0.817543,0.227009
0,0.05,3,0,complied,30735,1.203022,0.364572
0,0.05,3,0,refused,27821,1.194288,0.345025
0,0.05,3,1,complied,30735,0.919906,0.457787
0,0.05,3,1,refused,27821,0.949543,0.432137
0,0.05,3,2,complied,30735,0.013508,0.354717
0,0.05,3,2,refused,27821,0.034809,0.333949
0,0.05,3,3,complied,30735,-3.802631,0.895834
0,0.05,3,3,refused,27821,-3.877322,0.829768
0,0.05,3,4,complied,30735,-0.965494,0.308305
0,0.05,3,4,refused,27821,-0.98493,0.27534
0,0.05,4,0,complied,30735,1.388617,0.399096
0,0.05,4,0,refused,27821,1.370411,0.371287
0,0.05,4,1,complied,30735,1.057918,0.492034
0,0.05,4,1,refused,27821,1.087875,0.459515
0,0.05,4,2,complied,30735,0.078825,0.393733
0,0.05,4,2,refused,27821,0.096139,0.364054
0,0.05,4,3,complied,30735,-4.294788,0.941448
0,0.05,4,3,refused,27821,-4.37542,0.863742
0,0.05,4,4,complied,30735,-1.143964,0.357692
0,0.05,4,4,refused,27821,-1.164807,0.323173
0,0.05,5,0,complied,30735,1.674609,0.470571
0,0.05,5,0,refused,27821,1.689181,0.444796
0,0.05,5,1,complied,30735,1.429554,0.530012
0,0.05,5,1,refused,27821,1.459106,0.496564
0,0.05,5,2,complied,30735,0.277032,0.420017
0,0.05,5,2,refused,27821,0.292436,0.384114
0,0.05,5,3,complied,30735,-5.591911,0.975894
0,0.05,5,3,refused,27821,-5.674533,0.898683
0,0.05,5,4,complied,30735,-1.533362,0.428307
0,0.05,5,4,refused,27821,-1.551247,0.388186
0,0.05,6,0,complied,30735,1.805252,0.598933
0,0.05,6,0,refused,27821,1.856384,0.572614
0,0.05,6,1,complied,30735,1.651482,0.595236
0,0.05,6,1,refused,27821,1.688084,0.550948
0,0.05,6,2,complied,30735,0.459819,0.476077
0,0.05,6,2,refused,27821,0.444107,0.42459
0,0.05,6,3,complied,30735,-6.412406,1.007951
0,0.05,6,3,refused,27821,-6.473312,0.920577
0,0.05,6,4,complied,30735,-1.792987,0.503022
0,0.05,6,4,refused,27821,-1.805735,0.45508
0,0.05,7,0,complied,30735,2.117591,0.749349
0,0.05,7,0,refused,27821,2.215698,0.69695
0,0.05,7,1,complied,30735,2.152338,0.615139
0,0.05,7,1,refused,27821,2.164415,0.565792
0,0.05,7,2,complied,30735,0.776354,0.511007
0,0.05,7,2,refused,27821,0.718831,0.455885
0,0.05,7,3,complied,30735,-7.355509,0.912249
0,0.05,7,3,refused,27821,-7.384982,0.83728
0,0.05,7,4,complied,30735,-2.062743,0.554271
0,0.05,7,4,refused,27821,-2.066858,0.50918
0,0.05,8,0,complied,30735,2.579282,0.813562
0,0.05,8,0,refused,27821,2.732393,0.75476
0,0.05,8,1,complied,30735,2.80264,0.641929
0,0.05,8,1,refused,27821,2.83447,0.590231
0,0.05,8,2,complied,30735,1.404814,0.561741
0,0.05,8,2,refused,27821,1.345507,0.488013
0,0.05,8,3,complied,30735,-8.662198,0.86984
0,0.05,8,3,refused,27821,-8.697883,0.801193
0,0.05,8,4,complied,30735,-2.217015,0.559165
0,0.05,8,4,refused,27821,-2.241026,0.504353
0,0.05,9,0,complied,30735,2.906719,0.989247
0,0.05,9,0,refused,27821,3.134515,0.907152
0,0.05,9,1,complied,30735,3.43858,0.685456
0,0.05,9,1,refused,27821,3.46178,0.632109
0,0.05,9,2,complied,30735,2.054788,0.618057
0,0.05,9,2,refused,27821,1.907629,0.541652
0,0.05,9,3,complied,30735,-9.846266,0.987848
0,0.05,9,3,refused,27821,-9.86998,0.936446
0,0.05,9,4,complied,30735,-2.320156,0.649388
0,0.05,9,4,refused,27821,-2.345134,0.597572
0,0.05,10,0,complied,30735,3.269361,1.044079
