layer,subspace_rank,n_complied,n_refused,auc_raw,auc,p_value
29,2,108,91,0.75,0.75,0.0
26,2,108,91,0.7436,0.7436,0.0
28,2,108,91,0.7397,0.7397,0.0
2,1,108,91,0.729,0.729,0.0
22,2,108,91,0.7167,0.7167,0.0
2,4,108,91,0.7015,0.7015,0.0
2,3,108,91,0.686,0.686,0.0
22,1,108,91,0.6855,0.6855,0.0
26,1,108,91,0.6798,0.6798,0.0
2,0,108,91,0.654,0.654,0.0002
29,0,108,91,0.6491,0.6491,0.0003
29,1,108,91,0.6477,0.6477,0.0003
28,1,108,91,0.6327,0.6327,0.0013
28,0,108,91,0.6025,0.6025,0.0129
29,4,108,91,0.563,0.563,0.1265
29,3,108,91,0.5497,0.5497,0.2284
28,3,108,91,0.5452,0.5452,0.2732
26,0,108,91,0.5433,0.5433,0.2931
28,4,108,91,0.5357,0.5357,0.3865
22,3,108,91,0.4684,0.5316,0.443
2,2,108,91,0.4883,0.5117,0.7772
22,4,108,91,0.5035,0.5035,0.934
22,0,108,91,0.4978,0.5022,0.9576
26,3,108,91,0.4979,0.5021,0.9596
26,4,108,91,0.5,0.5,1.0
