bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,2,0,complied,30735,0.116942,0.196218
0,0.05,2,0,refused,27821,0.092717,0.184573
0,0.05,2,1,complied,30735,-0.29552,0.395637
0,0.05,2,1,refused,27821,-0.377058,0.371138
0,0.05,2,2,complied,30735,-0.528565,0.220942
0,0.05,2,2,refused,27821,-0.529973,0.19812
0,0.05,2,3,complied,30735,-0.535989,0.275099
0,0.05,2,3,refused,27821,-0.582414,0.268023
0,0.05,2,4,complied,30735,-0.90813,0.323806
0,0.05,2,4,refused,27821,-0.959972,0.319746
0,0.05,22,0,complied,30735,-2.476022,1.943398
0,0.05,22,0,refused,27821,-2.593111,1.860059
0,0.05,22,1,complied,30735,-3.986119,1.919175
0,0.05,22,1,refused,27821,-4.262682,1.848127
0,0.05,22,2,complied,30735,-5.772555,2.543603
0,0.05,22,2,refused,27821,-6.384089,2.359623
0,0.05,22,3,complied,30735,-9.45554,2.141338
0,0.05,22,3,refused,27821,-9.478599,2.046394
0,0.05,22,4,complied,30735,-11.341749,2.144344
0,0.05,22,4,refused,27821,-11.422575,2.052249
0,0.05,26,0,complied,30735,-4.896896,3.876712
0,0.05,26,0,refused,27821,-5.141965,3.87175
0,0.05,26,1,complied,30735,-7.420402,3.105963
0,0.05,26,1,refused,27821,-7.883035,2.950931
0,0.05,26,2,complied,30735,-9.515541,4.202505
0,0.05,26,2,refused,27821,-10.540846,4.053153
0,0.05,26,3,complied,30735,-14.86174,4.194988
0,0.05,26,3,refused,27821,-14.91073,4.040843
0,0.05,26,4,complied,30735,-17.90455,4.165255
0,0.05,26,4,refused,27821,-18.166718,3.995964
0,0.05,28,0,complied,30735,-5.70204,5.27789
0,0.05,28,0,refused,27821,-6.10661,5.276986
0,0.05,28,1,complied,30735,-9.630392,4.525715
0,0.05,28,1,refused,27821,-9.929344,4.234732
0,0.05,28,2,complied,30735,-12.688611,5.561528
0,0.05,28,2,refused,27821,-14.169956,5.357262
0,0.05,28,3,complied,30735,-18.64818,6.226377
0,0.05,28,3,refused,27821,-18.865235,6.04562
0,0.05,28,4,complied,30735,-22.835509,6.410967
0,0.05,28,4,refused,27821,-23.338731,6.222586
0,0.05,29,0,complied,30735,-5.461636,6.243098
0,0.05,29,0,refused,27821,-6.088803,6.001787
0,0.05,29,1,complied,30735,-11.21334,5.302721
0,0.05,29,1,refused,27821,-11.599661,4.896139
0,0.05,29,2,complied,30735,-13.695663,6.837721
0,0.05,29,2,refused,27821,-15.604505,6.526234
0,0.05,29,3,complied,30735,-21.034028,7.286626
0,0.05,29,3,refused,27821,-21.203921,6.921347
0,0.05,29,4,complied,30735,-26.176939,7.724422
0,0.05,29,4,refused,27821,-26.65253,7.429828
1,0.15,2,0,complied,30634,0.11889,0.190666
1,0.15,2,0,refused,27730,0.090273,0.178561
1,0.15,2,1,complied,30634,-0.298365,0.371798
1,0.15,2,1,refused,27730,-0.393879,0.342338
1,0.15,2,2,complied,30634,-0.502899,0.22014
1,0.15,2,2,refused,27730,-0.507772,0.194894
1,0.15,2,3,complied,30634,-0.52696,0.268417
1,0.15,2,3,refused,27730,-0.577537,0.261369
1,0.15,2,4,complied,30634,-0.893752,0.3114
1,0.15,2,4,refused,27730,-0.951906,0.305171
1,0.15,22,0,complied,30634,-1.145374,1.600704
1,0.15,22,0,refused,27730,-1.207611,1.486073
1,0.15,22,1,complied,30634,-4.204843,1.83422
1,0.15,22,1,refused,27730,-4.521733,1.744446
1,0.15,22,2,complied,30634,-4.717669,2.037524
1,0.15,22,2,refused,27730,-5.438192,1.95564
1,0.15,22,3,complied,30634,-8.150904,1.697792
1,0.15,22,3,refused,27730,-8.200126,1.624614
1,0.15,22,4,complied,30634,-10.21301,1.706652
1,0.15,22,4,refused,27730,-10.314736,1.698975
1,0.15,26,0,complied,30634,-2.559329,3.572832
1,0.15,26,0,refused,27730,-2.805065,3.367427
1,0.15,26,1,complied,30634,-7.830782,2.945426
1,0.15,26,1,refused,27730,-8.293995,2.801638
1,0.15,26,2,complied,30634,-7.669948,3.543549
1,0.15,26,2,refused,27730,-8.962287,3.383284
1,0.15,26,3,complied,30634,-12.733937,3.352493
1,0.15,26,3,refused,27730,-12.816635,3.25538
1,0.15,26,4,complied,30634,-16.179032,3.372481
1,0.15,26,4,refused,27730,-16.377146,3.326705
1,0.15,28,0,complied,30634,-2.864864,4.960429
1,0.15,28,0,refused,27730,-3.311046,4.676472
1,0.15,28,1,complied,30634,-10.494373,4.253328
1,0.15,28,1,refused,27730,-10.88424,4.04636
1,0.15,28,2,complied,30634,-10.589498,4.877885
1,0.15,28,2,refused,27730,-12.338372,4.656136
1,0.15,28,3,complied,30634,-16.150674,5.222957
1,0.15,28,3,refused,27730,-16.513775,5.040136
1,0.15,28,4,complied,30634,-20.790442,5.456699
1,0.15,28,4,refused,27730,-21.277888,5.384979
1,0.15,29,0,complied,30634,-2.373231,5.931427
1,0.15,29,0,refused,27730,-3.176218,5.424634
1,0.15,29,1,complied,30634,-12.110094,5.027692
1,0.15,29,1,refused,27730,-12.453815,4.768014
1,0.15,29,2,complied,30634,-11.48495,5.974832
1,0.15,29,2,refused,27730,-13.823516,5.77505
1,0.15,29,3,complied,30634,-18.693952,6.193893
1,0.15,29,3,refused,27730,-19.075243,5.897952
1,0.15,29,4,complied,30634,-24.396328,6.499961
1,0.15,29,4,refused,27730,-24.887449,6.364728
2,0.25,2,0,complied,30638,0.11766,0.189704
2,0.25,2,0,refused,27730,0.097767,0.172832
2,0.25,2,1,complied,30638,-0.314229,0.367431
2,0.25,2,1,refused,27730,-0.410446,0.335933
2,0.25,2,2,complied,30638,-0.504243,0.21694
2,0.25,2,2,refused,27730,-0.502486,0.187052
2,0.25,2,3,complied,30638,-0.528471,0.26646
2,0.25,2,3,refused,27730,-0.575088,0.257084
2,0.25,2,4,complied,30638,-0.89665,0.307204
2,0.25,2,4,refused,27730,-0.950392,0.302077
2,0.25,22,0,complied,30638,-0.860162,1.644671
2,0.25,22,0,refused,27730,-0.897958,1.477361
2,0.25,22,1,complied,30638,-4.393523,1.791118
2,0.25,22,1,refused,27730,-4.684667,1.704528
2,0.25,22,2,complied,30638,-4.494058,1.99989
2,0.25,22,2,refused,27730,-5.090596,1.824662
2,0.25,22,3,complied,30638,-7.859404,1.676386
2,0.25,22,3,refused,27730,-7.883963,1.576356
2,0.25,22,4,complied,30638,-9.94185,1.677983
2,0.25,22,4,refused,27730,-10.027221,1.645228
2,0.25,26,0,complied,30638,-2.062792,3.648996
2,0.25,26,0,refused,27730,-2.236176,3.263805
2,0.25,26,1,complied,30638,-8.058037,2.885778
2,0.25,26,1,refused,27730,-8.510043,2.771935
2,0.25,26,2,complied,30638,-7.284599,3.468867
2,0.25,26,2,refused,27730,-8.326868,3.080473
2,0.25,26,3,complied,30638,-12.273121,3.317066
2,0.25,26,3,refused,27730,-12.263283,3.108406
2,0.25,26,4,complied,30638,-15.752357,3.309318
2,0.25,26,4,refused,27730,-15.846357,3.198893
2,0.25,28,0,complied,30638,-2.300424,5.047459
2,0.25,28,0,refused,27730,-2.697175,4.596219
2,0.25,28,1,complied,30638,-10.926765,4.148085
2,0.25,28,1,refused,27730,-11.32151,3.930707
2,0.25,28,2,complied,30638,-10.0787,4.79986
2,0.25,28,2,refused,27730,-11.605194,4.292136
2,0.25,28,3,complied,30638,-15.727495,5.163171
2,0.25,28,3,refused,27730,-15.983915,4.800922
2,0.25,28,4,complied,30638,-20.400417,5.364196
2,0.25,28,4,refused,27730,-20.780227,5.134739
2,0.25,29,0,complied,30638,-1.766555,5.995413
2,0.25,29,0,refused,27730,-2.541728,5.32095
2,0.25,29,1,complied,30638,-12.567074,4.934656
2,0.25,29,1,refused,27730,-12.917374,4.716038
2,0.25,29,2,complied,30638,-10.94743,5.796786
2,0.25,29,2,refused,27730,-13.049289,5.258835
2,0.25,29,3,complied,30638,-18.38928,6.128145
