layer,subspace_rank,n_complied,n_refused,auc_raw,auc,p_value
19,2,108,91,0.2791,0.7209,0.0
1,3,108,91,0.7163,0.7163,0.0
1,2,108,91,0.2839,0.7161,0.0
18,2,108,91,0.2849,0.7151,0.0
2,1,108,91,0.2889,0.7111,0.0
3,0,108,91,0.7085,0.7085,0.0
2,3,108,91,0.708,0.708,0.0
5,3,108,91,0.7032,0.7032,0.0
17,2,108,91,0.2983,0.7017,0.0
2,0,108,91,0.6996,0.6996,0.0
1,0,108,91,0.6957,0.6957,0.0
4,4,108,91,0.3068,0.6932,0.0
0,2,108,91,0.3075,0.6925,0.0
3,1,108,91,0.3083,0.6917,0.0
3,3,108,91,0.6916,0.6916,0.0
1,1,108,91,0.3091,0.6909,0.0
4,3,108,91,0.6892,0.6892,0.0
0,3,108,91,0.6886,0.6886,0.0
4,0,108,91,0.6844,0.6844,0.0
5,4,108,91,0.3168,0.6832,0.0
9,2,108,91,0.6826,0.6826,0.0
38,4,108,91,0.6823,0.6823,0.0
0,1,108,91,0.3182,0.6818,0.0
6,4,108,91,0.3183,0.6817,0.0
20,2,108,91,0.3184,0.6816,0.0
1,4,108,91,0.3198,0.6802,0.0
3,4,108,91,0.3202,0.6798,0.0
2,2,108,91,0.3213,0.6787,0.0
4,1,108,91,0.323,0.677,0.0
2,4,108,91,0.3254,0.6746,0.0
39,4,108,91,0.6697,0.6697,0.0
12,4,108,91,0.3316,0.6684,0.0
25,2,108,91,0.3325,0.6675,0.0
0,0,108,91,0.6661,0.6661,0.0001
3,2,108,91,0.3352,0.6648,0.0001
31,2,108,91,0.3353,0.6647,0.0001
36,4,108,91,0.6645,0.6645,0.0001
21,2,108,91,0.3432,0.6568,0.0001
14,4,108,91,0.3433,0.6567,0.0001
30,2,108,91,0.3434,0.6566,0.0001
5,0,108,91,0.6501,0.6501,0.0003
23,2,108,91,0.3502,0.6498,0.0003
32,2,108,91,0.3503,0.6497,0.0003
10,3,108,91,0.352,0.648,0.0003
5,1,108,91,0.3539,0.6461,0.0004
37,4,108,91,0.6451,0.6451,0.0004
21,0,108,91,0.642,0.642,0.0006
4,2,108,91,0.3593,0.6407,0.0006
10,1,108,91,0.638,0.638,0.0008
0,4,108,91,0.3622,0.6378,0.0008
13,4,108,91,0.3626,0.6374,0.0009
38,0,108,91,0.3631,0.6369,0.0009
36,1,108,91,0.6367,0.6367,0.0009
34,4,108,91,0.6352,0.6352,0.001
11,1,108,91,0.6317,0.6317,0.0014
7,4,108,91,0.3701,0.6299,0.0016
11,3,108,91,0.3701,0.6299,0.0016
35,4,108,91,0.6299,0.6299,0.0016
37,3,108,91,0.3701,0.6299,0.0016
26,1,108,91,0.6294,0.6294,0.0017
35,1,108,91,0.6294,0.6294,0.0017
37,1,108,91,0.6281,0.6281,0.0019
38,3,108,91,0.3719,0.6281,0.0019
6,3,108,91,0.6227,0.6227,0.0029
20,0,108,91,0.6227,0.6227,0.0029
29,2,108,91,0.3801,0.6199,0.0036
28,2,108,91,0.3827,0.6173,0.0044
33,2,108,91,0.3834,0.6166,0.0046
22,2,108,91,0.3844,0.6156,0.005
37,0,108,91,0.3852,0.6148,0.0053
34,1,108,91,0.6145,0.6145,0.0055
36,3,108,91,0.386,0.614,0.0057
24,0,108,91,0.6128,0.6128,0.0062
5,2,108,91,0.3877,0.6123,0.0064
25,0,108,91,0.611,0.611,0.0071
36,0,108,91,0.389,0.611,0.0071
38,1,108,91,0.611,0.611,0.0071
30,0,108,91,0.6093,0.6093,0.008
30,1,108,91,0.3913,0.6087,0.0083
33,4,108,91,0.6083,0.6083,0.0086
8,4,108,91,0.392,0.608,0.0088
9,1,108,91,0.6068,0.6068,0.0095
28,0,108,91,0.6061,0.6061,0.01
39,0,108,91,0.3962,0.6038,0.0118
27,2,108,91,0.3966,0.6034,0.0121
16,0,108,91,0.6026,0.6026,0.0128
10,4,108,91,0.399,0.601,0.0142
27,1,108,91,0.5992,0.5992,0.016
39,3,108,91,0.4016,0.5984,0.0169
26,0,108,91,0.5981,0.5981,0.0173
22,1,108,91,0.598,0.598,0.0174
24,2,108,91,0.4038,0.5962,0.0196
10,2,108,91,0.5939,0.5939,0.0226
31,1,108,91,0.4069,0.5931,0.0238
11,2,108,91,0.5889,0.5889,0.0309
23,0,108,91,0.5889,0.5889,0.0309
35,3,108,91,0.412,0.588,0.0327
34,3,108,91,0.4126,0.5874,0.0339
19,0,108,91,0.5871,0.5871,0.0345
6,1,108,91,0.416,0.584,0.0414
31,0,108,91,0.5833,0.5833,0.0431
8,1,108,91,0.583,0.583,0.0439
32,0,108,91,0.5827,0.5827,0.0447
39,1,108,91,0.5816,0.5816,0.0477
9,4,108,91,0.4188,0.5812,0.0488
35,0,108,91,0.4219,0.5781,0.0579
22,3,108,91,0.4224,0.5776,0.0596
27,0,108,91,0.5774,0.5774,0.0602
33,3,108,91,0.4251,0.5749,0.0692
32,4,108,91,0.5746,0.5746,0.0703
29,0,108,91,0.574,0.574,0.0726
22,0,108,91,0.5722,0.5722,0.0796
12,1,108,91,0.5718,0.5718,0.0813
26,4,108,91,0.57,0.57,0.0894
26,2,108,91,0.4311,0.5689,0.0946
29,3,108,91,0.432,0.568,0.0991
9,0,108,91,0.4357,0.5643,0.1187
29,4,108,91,0.5639,0.5639,0.121
18,3,108,91,0.5623,0.5623,0.1308
16,2,108,91,0.4383,0.5617,0.1346
6,0,108,91,0.5603,0.5603,0.1432
11,4,108,91,0.4412,0.5588,0.1536
34,0,108,91,0.4413,0.5587,0.1543
21,1,108,91,0.4416,0.5584,0.1565
7,3,108,91,0.5563,0.5563,0.1722
25,3,108,91,0.4443,0.5557,0.1769
15,2,108,91,0.4445,0.5555,0.1785
23,1,108,91,0.5551,0.5551,0.1809
17,3,108,91,0.555,0.555,0.1817
33,1,108,91,0.5543,0.5543,0.1874
27,3,108,91,0.446,0.554,0.1899
26,3,108,91,0.4461,0.5539,0.1908
13,0,108,91,0.5528,0.5528,0.2001
32,3,108,91,0.4479,0.5521,0.2063
37,2,108,91,0.5508,0.5508,0.2181
23,3,108,91,0.4498,0.5502,0.2236
14,3,108,91,0.4501,0.5499,0.2265
18,0,108,91,0.5499,0.5499,0.2265
7,2,108,91,0.5488,0.5488,0.2361
13,1,108,91,0.5467,0.5467,0.2573
9,3,108,91,0.4536,0.5464,0.2604
8,0,108,91,0.4563,0.5437,0.2897
38,2,108,91,0.5429,0.5429,0.2977
13,2,108,91,0.4585,0.5415,0.314
16,4,108,91,0.4589,0.5411,0.3188
19,3,108,91,0.5411,0.5411,0.3188
13,3,108,91,0.4593,0.5407,0.3236
8,2,108,91,0.5405,0.5405,0.326
25,1,108,91,0.5384,0.5384,0.3522
14,2,108,91,0.4617,0.5383,0.3535
10,0,108,91,0.4619,0.5381,0.3561
35,2,108,91,0.4627,0.5373,0.3652
17,1,108,91,0.4669,0.5331,0.4227
24,3,108,91,0.4672,0.5328,0.427
36,2,108,91,0.5307,0.5307,0.4563
14,0,108,91,0.5301,0.5301,0.4653
28,3,108,91,0.471,0.529,0.4821
15,3,108,91,0.5277,0.5277,0.5023
25,4,108,91,0.5268,0.5268,0.5166
24,1,108,91,0.5246,0.5246,0.5507
12,3,108,91,0.4756,0.5244,0.554
22,4,108,91,0.5243,0.5243,0.5557
16,3,108,91,0.5242,0.5242,0.5573
34,2,108,91,0.4776,0.5224,0.5876
11,0,108,91,0.4782,0.5218,0.5978
20,1,108,91,0.479,0.521,0.6116
27,4,108,91,0.5205,0.5205,0.6203
8,3,108,91,0.5199,0.5199,0.6291
6,2,108,91,0.4802,0.5198,0.6308
7,1,108,91,0.5192,0.5192,0.6414
18,1,108,91,0.5192,0.5192,0.6414
12,2,108,91,0.481,0.519,0.6449
17,4,108,91,0.4818,0.5182,0.6592
21,3,108,91,0.5164,0.5164,0.6917
30,4,108,91,0.5162,0.5162,0.6953
