bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,0,0,complied,30735,-0.012006,0.046764
0,0.05,0,0,refused,27821,-0.015318,0.050617
0,0.05,0,1,complied,30735,0.040331,0.071593
0,0.05,0,1,refused,27821,0.048809,0.076387
0,0.05,0,2,complied,30735,0.037401,0.05803
0,0.05,0,2,refused,27821,0.045844,0.061286
0,0.05,0,3,complied,30735,-0.044131,0.069126
0,0.05,0,3,refused,27821,-0.052728,0.073937
0,0.05,0,4,complied,30735,0.020358,0.030414
0,0.05,0,4,refused,27821,0.022923,0.031294
0,0.05,1,0,complied,30735,-0.780785,0.282974
0,0.05,1,0,refused,27821,-0.829834,0.273541
0,0.05,1,1,complied,30735,1.314677,0.426615
0,0.05,1,1,refused,27821,1.373744,0.427112
0,0.05,1,2,complied,30735,1.203513,0.394207
0,0.05,1,2,refused,27821,1.25969,0.398481
0,0.05,1,3,complied,30735,-2.661037,0.50425
0,0.05,1,3,refused,27821,-2.731954,0.48007
0,0.05,1,4,complied,30735,0.698281,0.21756
0,0.05,1,4,refused,27821,0.716641,0.21424
0,0.05,2,0,complied,30735,-1.112965,0.463779
0,0.05,2,0,refused,27821,-1.196901,0.451722
0,0.05,2,1,complied,30735,1.841579,0.613611
0,0.05,2,1,refused,27821,1.900272,0.596279
0,0.05,2,2,complied,30735,1.809842,0.604457
0,0.05,2,2,refused,27821,1.871544,0.590965
0,0.05,2,3,complied,30735,-3.912807,0.855237
0,0.05,2,3,refused,27821,-4.009431,0.810025
0,0.05,2,4,complied,30735,1.018074,0.357654
0,0.05,2,4,refused,27821,1.043397,0.34787
0,0.05,3,0,complied,30735,-1.229833,0.547612
0,0.05,3,0,refused,27821,-1.326835,0.538371
0,0.05,3,1,complied,30735,2.161255,0.706416
0,0.05,3,1,refused,27821,2.228504,0.678419
0,0.05,3,2,complied,30735,2.160627,0.717582
0,0.05,3,2,refused,27821,2.232529,0.694337
0,0.05,3,3,complied,30735,-4.567829,1.0133
0,0.05,3,3,refused,27821,-4.676793,0.943601
0,0.05,3,4,complied,30735,1.174838,0.449838
0,0.05,3,4,refused,27821,1.216982,0.434372
0,0.05,4,0,complied,30735,-1.338286,0.61398
0,0.05,4,0,refused,27821,-1.452548,0.601806
0,0.05,4,1,complied,30735,2.477174,0.728171
0,0.05,4,1,refused,27821,2.54219,0.693662
0,0.05,4,2,complied,30735,2.519192,0.754649
0,0.05,4,2,refused,27821,2.595298,0.724825
0,0.05,4,3,complied,30735,-5.152587,1.068639
0,0.05,4,3,refused,27821,-5.271416,0.984865
0,0.05,4,4,complied,30735,1.295867,0.500395
0,0.05,4,4,refused,27821,1.348998,0.482686
0,0.05,5,0,complied,30735,-1.787788,0.671528
0,0.05,5,0,refused,27821,-1.882047,0.650637
0,0.05,5,1,complied,30735,3.283966,0.737439
0,0.05,5,1,refused,27821,3.353025,0.707111
0,0.05,5,2,complied,30735,3.47529,0.753967
0,0.05,5,2,refused,27821,3.55476,0.722911
0,0.05,5,3,complied,30735,-6.652706,1.105488
0,0.05,5,3,refused,27821,-6.776944,1.017043
0,0.05,5,4,complied,30735,1.692384,0.551078
0,0.05,5,4,refused,27821,1.742182,0.528667
0,0.05,6,0,complied,30735,-2.041922,0.783885
0,0.05,6,0,refused,27821,-2.129826,0.7668
0,0.05,6,1,complied,30735,3.81741,0.732603
0,0.05,6,1,refused,27821,3.88404,0.696553
0,0.05,6,2,complied,30735,4.160288,0.736331
0,0.05,6,2,refused,27821,4.202243,0.697148
0,0.05,6,3,complied,30735,-7.556055,1.141905
0,0.05,6,3,refused,27821,-7.673514,1.033988
0,0.05,6,4,complied,30735,1.902806,0.607391
0,0.05,6,4,refused,27821,1.95195,0.582092
