bin,normalized_position,layer,subspace_rank,group,n_examples,mean_proj,std_proj
0,0.05,0,0,complied,30735,-0.007269,0.031355
0,0.05,0,0,refused,27821,-0.00987,0.032964
0,0.05,0,1,complied,30735,0.0,0.0
0,0.05,0,1,refused,27821,0.0,0.0
0,0.05,0,2,complied,30735,-0.040835,0.065435
0,0.05,0,2,refused,27821,-0.053444,0.070036
0,0.05,1,0,complied,30735,0.551798,0.429797
0,0.05,1,0,refused,27821,0.433087,0.427884
0,0.05,1,1,complied,30735,0.0,0.0
0,0.05,1,1,refused,27821,0.0,0.0
0,0.05,1,2,complied,30735,-2.222778,0.694074
0,0.05,1,2,refused,27821,-2.417719,0.703375
0,0.05,2,0,complied,30735,1.048348,0.550549
0,0.05,2,0,refused,27821,0.915785,0.526436
0,0.05,2,1,complied,30735,0.0,0.0
0,0.05,2,1,refused,27821,0.0,0.0
0,0.05,2,2,complied,30735,-3.114804,1.010741
0,0.05,2,2,refused,27821,-3.334026,1.005997
1,0.15,0,0,complied,30634,-0.007728,0.030517
1,0.15,0,0,refused,27730,-0.010711,0.03255
1,0.15,0,1,complied,30634,0.0,0.0
1,0.15,0,1,refused,27730,0.0,0.0
1,0.15,0,2,complied,30634,-0.038439,0.060784
1,0.15,0,2,refused,27730,-0.051098,0.066345
1,0.15,1,0,complied,30634,0.517613,0.406601
1,0.15,1,0,refused,27730,0.38279,0.392844
1,0.15,1,1,complied,30634,0.0,0.0
1,0.15,1,1,refused,27730,0.0,0.0
1,0.15,1,2,complied,30634,-2.221663,0.652296
1,0.15,1,2,refused,27730,-2.439606,0.645093
1,0.15,2,0,complied,30634,1.024165,0.522612
1,0.15,2,0,refused,27730,0.870327,0.487806
1,0.15,2,1,complied,30634,0.0,0.0
1,0.15,2,1,refused,27730,0.0,0.0
1,0.15,2,2,complied,30634,-3.126859,0.946584
1,0.15,2,2,refused,27730,-3.375106,0.929932
2,0.25,0,0,complied,30638,-0.007898,0.030622
2,0.25,0,0,refused,27730,-0.010639,0.032674
2,0.25,0,1,complied,30638,0.0,0.0
2,0.25,0,1,refused,27730,0.0,0.0
2,0.25,0,2,complied,30638,-0.039484,0.061166
2,0.25,0,2,refused,27730,-0.054093,0.067924
2,0.25,1,0,complied,30638,0.502856,0.414198
2,0.25,1,0,refused,27730,0.371531,0.382241
2,0.25,1,1,complied,30638,0.0,0.0
2,0.25,1,1,refused,27730,0.0,0.0
2,0.25,1,2,complied,30638,-2.235498,0.652103
2,0.25,1,2,refused,27730,-2.454635,0.639264
2,0.25,2,0,complied,30638,1.008891,0.529423
2,0.25,2,0,refused,27730,0.861911,0.475042
2,0.25,2,1,complied,30638,0.0,0.0
2,0.25,2,1,refused,27730,0.0,0.0
2,0.25,2,2,complied,30638,-3.148224,0.938123
2,0.25,2,2,refused,27730,-3.396515,0.923771
3,0.35,0,0,complied,30632,-0.007729,0.030654
3,0.35,0,0,refused,27731,-0.010838,0.032624
3,0.35,0,1,complied,30632,0.0,0.0
3,0.35,0,1,refused,27731,0.0,0.0
3,0.35,0,2,complied,30632,-0.040386,0.062022
3,0.35,0,2,refused,27731,-0.054176,0.067456
3,0.35,1,0,complied,30632,0.491385,0.408685
3,0.35,1,0,refused,27731,0.360302,0.378743
3,0.35,1,1,complied,30632,0.0,0.0
3,0.35,1,1,refused,27731,0.0,0.0
3,0.35,1,2,complied,30632,-2.248625,0.64779
3,0.35,1,2,refused,27731,-2.457282,0.6329
3,0.35,2,0,complied,30632,0.995458,0.524156
3,0.35,2,0,refused,27731,0.847428,0.471269
3,0.35,2,1,complied,30632,0.0,0.0
3,0.35,2,1,refused,27731,0.0,0.0
3,0.35,2,2,complied,30632,-3.165208,0.942908
3,0.35,2,2,refused,27731,-3.398127,0.915341
4,0.45,0,0,complied,30634,-0.007649,0.031007
4,0.45,0,0,refused,27730,-0.011174,0.032484
4,0.45,0,1,complied,30634,0.0,0.0
4,0.45,0,1,refused,27730,0.0,0.0
4,0.45,0,2,complied,30634,-0.041885,0.063388
4,0.45,0,2,refused,27730,-0.054524,0.067065
4,0.45,1,0,complied,30634,0.476673,0.403062
4,0.45,1,0,refused,27730,0.356074,0.377397
4,0.45,1,1,complied,30634,0.0,0.0
4,0.45,1,1,refused,27730,0.0,0.0
4,0.45,1,2,complied,30634,-2.271933,0.644594
4,0.45,1,2,refused,27730,-2.460535,0.628241
4,0.45,2,0,complied,30634,0.978177,0.518035
4,0.45,2,0,refused,27730,0.840231,0.466708
4,0.45,2,1,complied,30634,0.0,0.0
4,0.45,2,1,refused,27730,0.0,0.0
4,0.45,2,2,complied,30634,-3.194658,0.935043
4,0.45,2,2,refused,27730,-3.408767,0.91089
5,0.55,0,0,complied,30640,-0.007908,0.031027
5,0.55,0,0,refused,27730,-0.01092,0.032896
5,0.55,0,1,complied,30640,0.0,0.0
5,0.55,0,1,refused,27730,0.0,0.0
5,0.55,0,2,complied,30640,-0.043636,0.064228
5,0.55,0,2,refused,27730,-0.055587,0.068252
5,0.55,1,0,complied,30640,0.463376,0.404237
5,0.55,1,0,refused,27730,0.345003,0.373764
5,0.55,1,1,complied,30640,0.0,0.0
5,0.55,1,1,refused,27730,0.0,0.0
5,0.55,1,2,complied,30640,-2.293328,0.647279
5,0.55,1,2,refused,27730,-2.472629,0.627317
5,0.55,2,0,complied,30640,0.960454,0.516333
5,0.55,2,0,refused,27730,0.828792,0.46501
5,0.55,2,1,complied,30640,0.0,0.0
5,0.55,2,1,refused,27730,0.0,0.0
5,0.55,2,2,complied,30640,-3.223641,0.940824
5,0.55,2,2,refused,27730,-3.426984,0.90931
6,0.65,0,0,complied,30634,-0.007966,0.031028
6,0.65,0,0,refused,27731,-0.010169,0.033006
6,0.65,0,1,complied,30634,0.0,0.0
6,0.65,0,1,refused,27731,0.0,0.0
6,0.65,0,2,complied,30634,-0.043304,0.063898
6,0.65,0,2,refused,27731,-0.054878,0.068667
6,0.65,1,0,complied,30634,0.456804,0.404869
6,0.65,1,0,refused,27731,0.34987,0.372309
6,0.65,1,1,complied,30634,0.0,0.0
6,0.65,1,1,refused,27731,0.0,0.0
6,0.65,1,2,complied,30634,-2.292216,0.640496
6,0.65,1,2,refused,27731,-2.462056,0.622879
6,0.65,2,0,complied,30634,0.952618,0.516249
6,0.65,2,0,refused,27731,0.831046,0.464564
6,0.65,2,1,complied,30634,0.0,0.0
6,0.65,2,1,refused,27731,0.0,0.0
6,0.65,2,2,complied,30634,-3.232577,0.932895
6,0.65,2,2,refused,27731,-3.419232,0.901597
7,0.75,0,0,complied,30636,-0.00791,0.031394
7,0.75,0,0,refused,27730,-0.010445,0.033172
7,0.75,0,1,complied,30636,0.0,0.0
7,0.75,0,1,refused,27730,0.0,0.0
7,0.75,0,2,complied,30636,-0.043311,0.063829
7,0.75,0,2,refused,27730,-0.055275,0.068796
7,0.75,1,0,complied,30636,0.449076,0.402357
7,0.75,1,0,refused,27730,0.348094,0.368883
7,0.75,1,1,complied,30636,0.0,0.0
7,0.75,1,1,refused,27730,0.0,0.0
7,0.75,1,2,complied,30636,-2.299448,0.635074
7,0.75,1,2,refused,27730,-2.465335,0.617593
7,0.75,2,0,complied,30636,0.937374,0.512257
7,0.75,2,0,refused,27730,0.827663,0.460511
7,0.75,2,1,complied,30636,0.0,0.0
7,0.75,2,1,refused,27730,0.0,0.0
7,0.75,2,2,complied,30636,-3.242702,0.91761
7,0.75,2,2,refused,27730,-3.429211,0.888755
8,0.85,0,0,complied,30636,-0.007718,0.031135
8,0.85,0,0,refused,27730,-0.010196,0.033309
8,0.85,0,1,complied,30636,0.0,0.0
8,0.85,0,1,refused,27730,0.0,0.0
8,0.85,0,2,complied,30636,-0.043398,0.064239
8,0.85,0,2,refused,27730,-0.05607,0.069626
8,0.85,1,0,complied,30636,0.456819,0.407325
8,0.85,1,0,refused,27730,0.351462,0.368102
8,0.85,1,1,complied,30636,0.0,0.0
8,0.85,1,1,refused,27730,0.0,0.0
8,0.85,1,2,complied,30636,-2.28628,0.641985
8,0.85,1,2,refused,27730,-2.456911,0.622169
8,0.85,2,0,complied,30636,0.946201,0.517176
8,0.85,2,0,refused,27730,0.83071,0.459328
8,0.85,2,1,complied,30636,0.0,0.0
8,0.85,2,1,refused,27730,0.0,0.0
8,0.85,2,2,complied,30636,-3.233254,0.927137
8,0.85,2,2,refused,27730,-3.418938,0.906444
9,0.95,0,0,complied,30627,-0.007592,0.03151
9,0.95,0,0,refused,27730,-0.010636,0.033163
9,0.95,0,1,complied,30627,0.0,0.0
9,0.95,0,1,refused,27730,0.0,0.0
9,0.95,0,2,complied,30627,-0.044397,0.065074
9,0.95,0,2,refused,27730,-0.056317,0.069032
9,0.95,1,0,complied,30627,0.453713,0.405528
9,0.95,1,0,refused,27730,0.333353,0.369133
9,0.95,1,1,complied,30627,0.0,0.0
9,0.95,1,1,refused,27730,0.0,0.0
9,0.95,1,2,complied,30627,-2.292399,0.644757
9,0.95,1,2,refused,27730,-2.476389,0.61802
9,0.95,2,0,complied,30627,0.939979,0.514695
9,0.95,2,0,refused,27730,0.807062,0.456594
9,0.95,2,1,complied,30627,0.0,0.0
9,0.95,2,1,refused,27730,0.0,0.0
9,0.95,2,2,complied,30627,-3.239039,0.931308
9,0.95,2,2,refused,27730,-3.452594,0.886269
