bin,normalized_position,layer,subspace_rank,mean_complied,mean_refused,mean_diff,cohens_d
0,0.05,3,0,1.378139,1.20821,0.169929,0.303746
0,0.05,3,1,-0.290667,-0.27889,-0.011777,-0.038279
0,0.05,3,2,0.473986,0.520573,-0.046587,-0.13192
0,0.05,3,3,0.138066,0.185585,-0.047519,-0.149955
0,0.05,3,4,-0.286228,-0.270206,-0.016022,-0.052393
0,0.05,21,0,5.168622,4.825059,0.343563,0.156001
0,0.05,21,1,-1.533076,-1.976227,0.443151,0.207931
0,0.05,21,2,2.474432,2.176388,0.298044,0.142622
0,0.05,21,3,2.230685,1.744781,0.485904,0.26964
0,0.05,21,4,-1.21792,-1.626204,0.408284,0.195721
0,0.05,22,0,6.176467,5.862888,0.313579,0.131124
0,0.05,22,1,-1.931829,-2.407267,0.475438,0.200612
0,0.05,22,2,3.172529,2.731289,0.44124,0.181436
0,0.05,22,3,2.931263,2.198939,0.732324,0.327768
0,0.05,22,4,-1.572659,-2.113488,0.540829,0.218069
0,0.05,23,0,6.971914,6.620244,0.35167,0.129695
0,0.05,23,1,-2.640103,-3.168009,0.527906,0.187499
0,0.05,23,2,3.193813,2.697612,0.496201,0.176749
0,0.05,23,3,2.747806,1.958367,0.789439,0.317347
0,0.05,23,4,-2.141109,-2.689711,0.548602,0.19509
0,0.05,26,0,8.850661,8.264021,0.58664,0.173148
0,0.05,26,1,-3.391359,-4.044599,0.65324,0.167562
0,0.05,26,2,4.85502,4.371104,0.483916,0.13028
0,0.05,26,3,4.515719,3.740455,0.775264,0.213069
0,0.05,26,4,-2.76313,-3.355671,0.592541,0.158055
1,0.15,3,0,1.433258,1.243193,0.190065,0.329602
1,0.15,3,1,-0.221216,-0.215961,-0.005255,-0.017204
1,0.15,3,2,0.561162,0.610652,-0.04949,-0.152917
1,0.15,3,3,0.203292,0.258626,-0.055334,-0.186201
1,0.15,3,4,-0.215139,-0.197953,-0.017186,-0.058153
1,0.15,21,0,4.99664,4.780274,0.216366,0.103298
1,0.15,21,1,-1.687883,-2.149693,0.46181,0.248241
1,0.15,21,2,2.384,2.212231,0.171769,0.091768
1,0.15,21,3,1.684829,1.307853,0.376976,0.227189
1,0.15,21,4,-1.303169,-1.714531,0.411362,0.220245
1,0.15,22,0,6.174039,5.91792,0.256119,0.114246
1,0.15,22,1,-2.237037,-2.67892,0.441883,0.213071
1,0.15,22,2,3.092564,2.694356,0.398208,0.175168
1,0.15,22,3,2.245829,1.55398,0.691849,0.315124
1,0.15,22,4,-1.869123,-2.414583,0.54546,0.240504
1,0.15,23,0,6.899827,6.60937,0.290457,0.113291
1,0.15,23,1,-3.092013,-3.661584,0.569571,0.237087
1,0.15,23,2,3.142511,2.589234,0.553277,0.211299
1,0.15,23,3,2.093454,1.25081,0.842644,0.340734
1,0.15,23,4,-2.551229,-3.239823,0.688594,0.272169
1,0.15,26,0,9.043042,8.510328,0.532714,0.168971
1,0.15,26,1,-3.964353,-4.816659,0.852306,0.260404
1,0.15,26,2,4.769398,4.002031,0.767367,0.223052
1,0.15,26,3,3.319367,2.297714,1.021653,0.271888
1,0.15,26,4,-3.233809,-4.204179,0.97037,0.282584
2,0.25,3,0,1.425978,1.230225,0.195753,0.346265
2,0.25,3,1,-0.225907,-0.205351,-0.020556,-0.068168
2,0.25,3,2,0.573008,0.631217,-0.058209,-0.181084
2,0.25,3,3,0.21213,0.27397,-0.06184,-0.209825
2,0.25,3,4,-0.215238,-0.186256,-0.028982,-0.098863
2,0.25,21,0,4.862875,4.665606,0.197269,0.096745
2,0.25,21,1,-1.499316,-1.919411,0.420095,0.238683
2,0.25,21,2,2.432236,2.364286,0.06795,0.037855
2,0.25,21,3,1.608144,1.323667,0.284477,0.183553
2,0.25,21,4,-1.160516,-1.511694,0.351178,0.1982
2,0.25,22,0,6.097126,5.875926,0.2212,0.100421
2,0.25,22,1,-2.100489,-2.522943,0.422454,0.215878
2,0.25,22,2,3.155816,2.894045,0.261771,0.123238
2,0.25,22,3,2.12513,1.547268,0.577862,0.284304
2,0.25,22,4,-1.814351,-2.288741,0.47439,0.22212
2,0.25,23,0,6.785715,6.521726,0.263989,0.104836
2,0.25,23,1,-2.970451,-3.508168,0.537717,0.237238
2,0.25,23,2,3.229767,2.882296,0.347471,0.141676
