bin,normalized_position,layer,subspace_rank,mean_complied,mean_refused,mean_diff,cohens_d
0,0.05,2,0,0.116942,0.092717,0.024225,0.126983
0,0.05,2,1,-0.29552,-0.377058,0.081538,0.212232
0,0.05,2,2,-0.528565,-0.529973,0.001408,0.006692
0,0.05,2,3,-0.535989,-0.582414,0.046425,0.170831
0,0.05,2,4,-0.90813,-0.959972,0.051842,0.161058
0,0.05,22,0,-2.476022,-2.593111,0.117089,0.061488
0,0.05,22,1,-3.986119,-4.262682,0.276563,0.146659
0,0.05,22,2,-5.772555,-6.384089,0.611534,0.248803
0,0.05,22,3,-9.45554,-9.478599,0.023059,0.010997
0,0.05,22,4,-11.341749,-11.422575,0.080826,0.038469
0,0.05,26,0,-4.896896,-5.141965,0.245069,0.063254
0,0.05,26,1,-7.420402,-7.883035,0.462633,0.152518
0,0.05,26,2,-9.515541,-10.540846,1.025305,0.248125
0,0.05,26,3,-14.86174,-14.91073,0.04899,0.011884
0,0.05,26,4,-17.90455,-18.166718,0.262168,0.064167
0,0.05,28,0,-5.70204,-6.10661,0.40457,0.07666
0,0.05,28,1,-9.630392,-9.929344,0.298952,0.0681
0,0.05,28,2,-12.688611,-14.169956,1.481345,0.271039
0,0.05,28,3,-18.64818,-18.865235,0.217055,0.035344
0,0.05,28,4,-22.835509,-23.338731,0.503222,0.079596
0,0.05,29,0,-5.461636,-6.088803,0.627167,0.102317
0,0.05,29,1,-11.21334,-11.599661,0.386321,0.075548
0,0.05,29,2,-13.695663,-15.604505,1.908842,0.285262
0,0.05,29,3,-21.034028,-21.203921,0.169893,0.023877
0,0.05,29,4,-26.176939,-26.65253,0.475591,0.062694
1,0.15,2,0,0.11889,0.090273,0.028617,0.154675
1,0.15,2,1,-0.298365,-0.393879,0.095514,0.266722
1,0.15,2,2,-0.502899,-0.507772,0.004873,0.023369
1,0.15,2,3,-0.52696,-0.577537,0.050577,0.190791
1,0.15,2,4,-0.893752,-0.951906,0.058154,0.188532
1,0.15,22,0,-1.145374,-1.207611,0.062237,0.040223
1,0.15,22,1,-4.204843,-4.521733,0.31689,0.176823
1,0.15,22,2,-4.717669,-5.438192,0.720523,0.360435
1,0.15,22,3,-8.150904,-8.200126,0.049222,0.029591
1,0.15,22,4,-10.21301,-10.314736,0.101726,0.059733
1,0.15,26,0,-2.559329,-2.805065,0.245736,0.07068
1,0.15,26,1,-7.830782,-8.293995,0.463213,0.160949
1,0.15,26,2,-7.669948,-8.962287,1.292339,0.372612
1,0.15,26,3,-12.733937,-12.816635,0.082698,0.025009
1,0.15,26,4,-16.179032,-16.377146,0.198114,0.059124
1,0.15,28,0,-2.864864,-3.311046,0.446182,0.092423
1,0.15,28,1,-10.494373,-10.88424,0.389867,0.093802
1,0.15,28,2,-10.589498,-12.338372,1.748874,0.366347
1,0.15,28,3,-16.150674,-16.513775,0.363101,0.070685
1,0.15,28,4,-20.790442,-21.277888,0.487446,0.089889
1,0.15,29,0,-2.373231,-3.176218,0.802987,0.140967
1,0.15,29,1,-12.110094,-12.453815,0.343721,0.070061
1,0.15,29,2,-11.48495,-13.823516,2.338566,0.397664
1,0.15,29,3,-18.693952,-19.075243,0.381291,0.06297
1,0.15,29,4,-24.396328,-24.887449,0.491121,0.076308
2,0.25,2,0,0.11766,0.097767,0.019893,0.109372
2,0.25,2,1,-0.314229,-0.410446,0.096217,0.27271
2,0.25,2,2,-0.504243,-0.502486,-0.001757,-0.008643
2,0.25,2,3,-0.528471,-0.575088,0.046617,0.177895
2,0.25,2,4,-0.89665,-0.950392,0.053742,0.176331
2,0.25,22,0,-0.860162,-0.897958,0.037796,0.024114
2,0.25,22,1,-4.393523,-4.684667,0.291144,0.166319
2,0.25,22,2,-4.494058,-5.090596,0.596538,0.310917
2,0.25,22,3,-7.859404,-7.883963,0.024559,0.01507
2,0.25,22,4,-9.94185,-10.027221,0.085371,0.051351
2,0.25,26,0,-2.062792,-2.236176,0.173384,0.049947
2,0.25,26,1,-8.058037,-8.510043,0.452006,0.159592
2,0.25,26,2,-7.284599,-8.326868,1.042269,0.316793
2,0.25,26,3,-12.273121,-12.263283,-0.009838,-0.003056
2,0.25,26,4,-15.752357,-15.846357,0.094,0.028858
2,0.25,28,0,-2.300424,-2.697175,0.396751,0.082002
2,0.25,28,1,-10.926765,-11.32151,0.394745,0.097558
2,0.25,28,2,-10.0787,-11.605194,1.526494,0.33434
2,0.25,28,3,-15.727495,-15.983915,0.25642,0.051342
2,0.25,28,4,-20.400417,-20.780227,0.37981,0.072256
2,0.25,29,0,-1.766555,-2.541728,0.775173,0.136355
2,0.25,29,1,-12.567074,-12.917374,0.3503,0.072495
2,0.25,29,2,-10.94743,-13.049289,2.101859,0.378869
2,0.25,29,3,-18.38928,-18.746589,0.357309,0.060436
2,0.25,29,4,-24.140747,-24.638023,0.497276,0.079449
3,0.35,2,0,0.118073,0.094751,0.023322,0.129792
3,0.35,2,1,-0.328322,-0.416222,0.0879,0.252034
3,0.35,2,2,-0.502284,-0.502457,0.000173,0.000861
3,0.35,2,3,-0.525576,-0.573635,0.048059,0.183411
3,0.35,2,4,-0.894535,-0.948563,0.054028,0.177318
