model_name,subset,split,n_samples,n_events,n_nonevents,log_loss,brier_score,roc_auc,balanced_accuracy
model0_covariates,all,train,41,19,22,0.5235197592148358,0.17195157158734922,0.8301435406698564,0.8002392344497608
model0_covariates,all,loo,41,19,22,0.7780773484077559,0.24790723146172142,0.6435406698564593,0.6495215311004785
model0_covariates_excl,excl_censored,train,40,19,21,0.5239836684549847,0.17331421009837342,0.8220551378446115,0.7969924812030075
model0_covariates_excl,excl_censored,loo,40,19,21,0.7836921806856296,0.2531343692959558,0.6240601503759399,0.6491228070175439
model1_projection_only,all,train,41,19,22,0.5117906017739579,0.1660281890708632,0.7894736842105263,0.8265550239234449
model1_projection_only,all,loo,41,19,22,0.5718407714993495,0.1840597925890585,0.7535885167464115,0.8265550239234449
model1_projection_only_excl,excl_censored,train,40,19,21,0.5180651861803055,0.16912990389389027,0.7869674185463659,0.8233082706766917
model1_projection_only_excl,excl_censored,loo,40,19,21,0.5792161320416873,0.187890477723837,0.7468671679197995,0.8233082706766917
model2_primary,all,train,41,19,22,0.4602753521315271,0.1492905375482424,0.8851674641148325,0.7476076555023923
model2_primary,all,loo,41,19,22,0.8195807475121206,0.24233492033479404,0.6626794258373205,0.6722488038277512
model2_primary_excl,excl_censored,train,40,19,21,0.466170149295195,0.15188440277097906,0.8771929824561403,0.7205513784461153
model2_primary_excl,excl_censored,loo,40,19,21,0.8291924132906555,0.24771075826645425,0.656641604010025,0.644110275689223
model2_bin0,all,train,41,19,22,0.43595527239711673,0.14242343437718497,0.8851674641148325,0.7739234449760766
model2_bin0,all,loo,41,19,22,0.796477523176794,0.23562898373559882,0.7009569377990431,0.6758373205741627
model2_layer13,all,train,41,19,22,0.3943356252621236,0.12934892743259355,0.8995215311004785,0.8038277511961722
model2_layer13,all,loo,41,19,22,0.7169440255762994,0.21286690293506996,0.7583732057416268,0.7284688995215312
model2_layer16,all,train,41,19,22,0.41259392978274106,0.13446477153934247,0.8995215311004785,0.777511961722488
model2_layer16,all,loo,41,19,22,0.7655593999160489,0.22176414691065383,0.7368421052631579,0.65311004784689
