goal_index,layer,normalized_bin,n_success,n_failure,success_mean,failure_mean,mean_difference,hedges_g,bootstrap_ci_low,bootstrap_ci_high,warning
0,13,0,4,8,3.099,2.661,0.438,0.872,-0.023,0.878,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,1,4,8,3.126,2.803,0.323,0.835,-0.003,0.620,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,2,4,8,3.158,2.896,0.263,0.671,-0.058,0.575,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,3,4,8,3.254,2.992,0.262,0.640,-0.100,0.634,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,4,4,8,3.192,2.984,0.207,0.541,-0.109,0.507,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,5,4,8,3.467,3.034,0.433,0.979,-0.053,0.891,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,6,4,8,3.309,3.098,0.211,0.487,-0.190,0.637,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,7,4,8,3.424,3.139,0.285,0.664,-0.095,0.660,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,8,4,8,3.401,3.118,0.282,0.708,-0.043,0.612,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,13,9,4,8,3.440,3.202,0.238,0.645,-0.156,0.578,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,0,7,5,3.084,2.632,0.452,0.755,-0.154,1.022,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,1,7,5,3.102,2.689,0.413,0.835,-0.072,0.879,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,2,7,5,3.179,2.885,0.294,0.728,-0.107,0.688,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,3,7,5,3.297,2.951,0.346,0.877,-0.012,0.744,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,4,7,5,3.266,2.991,0.276,0.633,-0.096,0.693,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,5,7,5,3.340,2.849,0.491,1.177,0.133,0.882,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,6,7,5,3.241,2.986,0.255,0.819,-0.045,0.536,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,7,7,5,3.294,3.024,0.270,0.916,-0.027,0.564,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,8,7,5,3.248,3.140,0.108,0.296,-0.236,0.433,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,13,9,7,5,3.358,3.126,0.233,0.815,-0.022,0.513,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,0,5,6,3.435,2.403,1.032,5.400,0.848,1.227,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,1,5,6,3.437,2.575,0.861,3.264,0.604,1.167,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,2,5,6,3.446,2.710,0.737,2.398,0.471,1.083,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,13,3,5,6,3.471,2.781,0.689,2.928,0.469,0.951,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
