goal_index,feature,feature_label,outcome,n,mean,median,std,boot_ci_low,boot_ci_high,diff_suc_minus_fai,hedges_g,diff_boot_ci_low,diff_boot_ci_high,warning
0,layer22_first500,L22 first 500 thinking tokens,success,4,4.080,4.112,1.138,3.041,5.089,0.855,0.870,-0.259,1.953,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_first500,L22 first 500 thinking tokens,failure,8,3.225,3.159,0.789,2.773,3.754,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer13_first500,L13 first 500 thinking tokens,success,4,3.086,3.186,0.352,2.744,3.329,0.414,0.862,-0.038,0.805,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer13_first500,L13 first 500 thinking tokens,failure,8,2.673,2.493,0.477,2.376,2.988,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer16_first500,L16 first 500 thinking tokens,success,4,3.064,3.018,0.530,2.618,3.554,0.564,1.195,0.040,1.063,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer16_first500,L16 first 500 thinking tokens,failure,8,2.500,2.330,0.388,2.259,2.750,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_bin0,L22 normalized bin 0 (first 10%),success,4,4.097,4.132,1.263,2.922,5.236,0.975,0.999,-0.206,2.107,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_bin0,L22 normalized bin 0 (first 10%),failure,8,3.121,2.896,0.691,2.729,3.597,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_bin9,L22 normalized bin 9 (last 10%),success,4,6.755,6.565,1.688,5.484,8.181,2.106,1.569,0.694,3.770,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_bin9,L22 normalized bin 9 (last 10%),failure,8,4.648,4.281,0.987,4.019,5.299,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_think_mean,L22 full think-phase mean,success,4,5.116,5.301,1.361,3.971,6.260,1.075,0.916,-0.252,2.375,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_think_mean,L22 full think-phase mean,failure,8,4.041,3.781,0.939,3.446,4.635,,,,,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
0,layer22_final_mean,L22 final-phase mean,success,4,5.588,5.357,0.927,4.945,6.553,0.750,0.897,-0.057,1.703,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
