iteration,goal_subset,example_count,sr_success_count,sr_success_rate,think_length_mean,prompt_length_mean,layer22_first500_mean,layer22_bin0_mean,layer22_full_think_mean
1,all,24,12,0.5000,13023.130,852.167,3.940,3.831,4.596
1,all_success,12,12,1.0000,10016.833,809.417,4.754,4.699,5.303
1,all_failure,12,0,0.0000,16302.727,894.917,3.052,2.884,3.824
2,all,18,7,0.3889,11292.389,844.056,3.700,3.639,4.333
2,all_success,7,7,1.0000,8363.286,792.143,4.509,4.541,5.023
2,all_failure,11,0,0.0000,13156.364,877.091,3.186,3.064,3.894
1,goal_0,6,2,0.3333,12120.167,898.000,3.462,3.384,4.465
2,goal_0,6,2,0.3333,11704.167,888.000,3.558,3.509,4.334
1,goal_1,6,5,0.8333,12431.167,861.167,4.137,3.944,5.137
2,goal_1,6,2,0.3333,10839.500,831.667,3.643,3.639,4.199
1,goal_2,6,2,0.3333,13563.600,761.667,4.016,4.073,4.361
2,goal_2,6,3,0.5000,11333.500,812.500,3.900,3.768,4.465
