category,value,n,sr_success_count,sr_success_rate,warning
early_projection,early_high,21,15,0.7143,Predefined descriptive categories; not natural mechanistic clusters.
early_projection,early_low,20,4,0.2000,Predefined descriptive categories; not natural mechanistic clusters.
early_projection,unavailable,0,0,,Predefined descriptive categories; not natural mechanistic clusters.
think_slope,increasing,36,15,0.4167,Predefined descriptive categories; not natural mechanistic clusters.
think_slope,decreasing,5,4,0.8000,Predefined descriptive categories; not natural mechanistic clusters.
think_slope,unavailable,0,0,,Predefined descriptive categories; not natural mechanistic clusters.
transition_change,pos_transition,3,1,0.3333,Predefined descriptive categories; not natural mechanistic clusters.
transition_change,neg_transition,38,18,0.4737,Predefined descriptive categories; not natural mechanistic clusters.
transition_change,unavailable,0,0,,Predefined descriptive categories; not natural mechanistic clusters.
think_length,long_think,21,5,0.2381,Predefined descriptive categories; not natural mechanistic clusters.
think_length,short_think,20,14,0.7000,Predefined descriptive categories; not natural mechanistic clusters.
think_length,unavailable,0,0,,Predefined descriptive categories; not natural mechanistic clusters.
early_projection × think_slope,early_high × increasing,16,11,0.6875,Predefined descriptive categories; not natural mechanistic clusters.
early_projection × think_slope,early_high × decreasing,5,4,0.8000,Predefined descriptive categories; not natural mechanistic clusters.
early_projection × think_slope,early_low × increasing,20,4,0.2000,Predefined descriptive categories; not natural mechanistic clusters.
early_projection × think_slope,early_low × decreasing,0,0,,Predefined descriptive categories; not natural mechanistic clusters.
