goal_index,condition,n,n_sr_success,mean_sr_score,mean_think_tokens
0,A,3,2,0.625,14579.0
0,D,3,0,0.0,3893.0
0,F,3,1,0.3333333333333333,884.3333333333334
0,E,3,0,0.0,0.0
1,A,3,2,0.6666666666666666,11613.666666666666
1,D,3,1,0.20833333333333334,1438.6666666666667
1,F,3,0,0.0,1043.6666666666667
1,E,3,1,0.3333333333333333,0.0
2,A,3,3,1.0,9260.0
2,D,3,2,0.6666666666666666,3656.6666666666665
2,F,3,1,0.3333333333333333,749.3333333333334
2,E,3,1,0.3333333333333333,0.0
3,A,3,3,1.0,10379.0
3,D,3,2,0.6666666666666666,2709.0
3,F,3,1,0.3333333333333333,618.6666666666666
3,E,3,2,0.6666666666666666,0.0
