layer,window,feature,contrast,n_pairs,mean_diff,ci_low_95,ci_high_95,sign_positive,sign_negative,sign_p,is_primary,spearman_rho_vs_sr_score_A,spearman_p_vs_sr_score_A,spearman_rho_vs_log_think_A,spearman_p_vs_log_think_A
22,first_500,layer22_first_500_mean_projection,A_vs_D,12,-1.7926692654192447,-3.4706945466292396,-0.44042621173610286,2,10,0.03857421875,True,0.32223525316298485,0.30702516632208926,-0.6783216783216784,0.015317329053281715
22,first_500,layer22_first_500_mean_projection,A_vs_F,12,-1.2344728110929328,-3.2290850223238277,0.01014510352437727,3,9,0.14599609375,True,0.32223525316298485,0.30702516632208926,-0.6783216783216784,0.015317329053281715
22,first_500,layer22_first_500_mean_projection,D_vs_F,12,0.5581964543263117,-0.5676104622237388,1.9923503334385648,6,6,1.0,True,,,,
22,first_2000,layer22_first_2000_mean_projection,A_vs_D,12,-2.044645484857755,-3.827934185618293,-0.9071847256684056,1,11,0.00634765625,False,0.3360453354413985,0.28554198545825304,-0.7202797202797203,0.008239768712338435
22,first_2000,layer22_first_2000_mean_projection,A_vs_F,12,-1.5141201988735247,-2.421890100786437,-0.5575406779793888,1,11,0.00634765625,False,0.3360453354413985,0.28554198545825304,-0.7202797202797203,0.008239768712338435
22,first_2000,layer22_first_2000_mean_projection,D_vs_F,12,0.5305252859842298,-0.6963442257660515,1.9107703406067194,8,4,0.3876953125,False,,,,
13,first_500,layer13_first_500_mean_projection,A_vs_D,12,-0.32077091991901385,-0.6917637232940642,-0.006674763070295108,3,9,0.14599609375,False,0.2623915632898591,0.40999385639971164,-0.6153846153846154,0.033169901090105904
13,first_500,layer13_first_500_mean_projection,A_vs_F,12,-0.09120924659570055,-0.6198009910970925,0.3090903096395233,6,6,1.0,False,0.2623915632898591,0.40999385639971164,-0.6153846153846154,0.033169901090105904
13,first_500,layer13_first_500_mean_projection,D_vs_F,12,0.22956167332331331,-0.06941554885370058,0.6071478406018266,6,6,1.0,False,,,,
13,first_2000,layer13_first_2000_mean_projection,A_vs_D,12,-0.4365075198906716,-0.9318136837393618,-0.1128020840942354,3,9,0.14599609375,False,0.5017663227823621,0.09648572696660208,-0.6713286713286714,0.016831456186893416
13,first_2000,layer13_first_2000_mean_projection,A_vs_F,12,-0.30906582305104063,-0.6361947796359937,0.059370833285568234,3,9,0.14599609375,False,0.5017663227823621,0.09648572696660208,-0.6713286713286714,0.016831456186893416
13,first_2000,layer13_first_2000_mean_projection,D_vs_F,12,0.127441696839631,-0.27873442747128296,0.578275596411058,5,7,0.7744140625,False,,,,
16,first_500,layer16_first_500_mean_projection,A_vs_D,12,-0.3556351555337507,-0.9303458047550172,0.1384222669038922,4,8,0.3876953125,False,0.3820789430361106,0.2203255430391364,-0.6573426573426573,0.020185498509854093
16,first_500,layer16_first_500_mean_projection,A_vs_F,12,-0.30372950227061907,-1.0311241280894727,0.2012617843113838,4,8,0.3876953125,False,0.3820789430361106,0.2203255430391364,-0.6573426573426573,0.020185498509854093
16,first_500,layer16_first_500_mean_projection,D_vs_F,12,0.0519056532631316,-0.29941945126540975,0.49380945684686267,6,6,1.0,False,,,,
16,first_2000,layer16_first_2000_mean_projection,A_vs_D,12,-0.5762309725889904,-1.3043094676944065,-0.12519706796631938,2,10,0.03857421875,False,0.44192263290923633,0.15032411580065688,-0.6293706293706295,0.028319671295760004
16,first_2000,layer16_first_2000_mean_projection,A_vs_F,12,-0.702783793815593,-1.0429161081032519,-0.32651836274149315,2,10,0.03857421875,False,0.44192263290923633,0.15032411580065688,-0.6293706293706295,0.028319671295760004
16,first_2000,layer16_first_2000_mean_projection,D_vs_F,12,-0.12655282122660264,-0.5882904284933816,0.43946575835139723,3,9,0.14599609375,False,,,,
